Выборы Президента Российской Федерации																																														
Дата голосования: 18.03.2018																																														
																																														
Наименование Избирательной комиссии:    Мирнинская																																														
																																														
Сводная таблица итогов голосования																																														
																																														
	Число участковых избирательных комиссий	35																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	35																																												
																																														
		Сумма	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №808									
1	"Число избирателей, включенных в список избирателей"	55542	1308	1334	756	1941	2351	841	1255	1705	754	1789	2564	2095	2067	2415	2638	982	1078	163	258	1077	1108	2119	1127	1696	2136	2318	2336	1895	413	736	1970	2354	2249	1606	2108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48400	1000	1000	600	1400	2000	600	1000	1400	600	1400	2200	1700	1700	1900	1900	800	1000	200	300	1250	1000	2000	1100	1600	2100	2200	2100	1800	350	600	1800	2100	2100	1400	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1007	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	41	0	0	0	707	0	0	0	26	0	24	0	0	27	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35304	642	666	348	1178	1322	435	758	925	269	1024	1313	1295	1283	1617	1726	535	687	131	231	258	725	1324	683	836	1554	1662	1725	1574	300	413	1380	1726	1613	1214	1932									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	522	3	3	4	8	2	2	3	5	3	8	97	18	15	11	25	3	28	0	9	12	29	38	17	78	6	6	38	13	0	0	17	5	11	5	0									
6	Число погашенных избирательных бюллетеней	11567	355	331	248	214	676	163	239	470	146	368	790	387	402	272	149	221	285	69	60	273	246	638	400	660	540	508	337	213	23	187	403	369	476	181	268									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1529	3	3	4	8	2	2	3	5	185	8	97	18	15	11	25	44	28	0	9	719	29	38	17	104	6	30	38	13	27	0	17	5	11	5	0									
8	Число бюллетеней в стационарных ящиках для голосования	35288	642	665	348	1178	1322	435	758	925	269	1024	1313	1295	1283	1617	1723	535	687	131	231	258	725	1323	683	836	1554	1662	1725	1574	300	413	1380	1726	1613	1213	1922									
9	Число недействительных избирательных бюллетеней	603	8	7	2	15	18	3	11	16	10	15	19	16	27	27	23	5	5	1	8	8	13	16	11	14	33	41	32	12	4	13	40	27	36	26	41									
10	Число действительных избирательных бюллетеней	36214	637	661	350	1171	1306	434	750	914	444	1017	1391	1297	1271	1601	1725	574	710	130	232	969	741	1345	689	926	1527	1651	1731	1575	323	400	1357	1704	1588	1192	1881									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
13	Бабурин Сергей Николаевич	187	3	3	2	5	9	1	4	7	4	2	7	11	10	6	12	2	2	0	0	1	1	5	5	5	7	15	3	6	0	1	16	7	3	10	12									
		0.51%	0.47%	0.45%	0.57%	0.42%	0.68%	0.23%	0.53%	0.75%	0.88%	0.19%	0.50%	0.84%	0.77%	0.37%	0.69%	0.35%	0.28%	0.00%	0.00%	0.10%	0.13%	0.37%	0.71%	0.53%	0.45%	0.89%	0.17%	0.38%	0.00%	0.24%	1.15%	0.40%	0.18%	0.82%	0.62%									
14	Грудинин Павел Николаевич	7664	165	155	82	262	292	92	186	220	86	220	297	274	278	357	392	162	295	12	54	288	179	270	165	213	330	382	256	205	45	101	234	333	284	230	268									
		20.82%	25.58%	23.20%	23.30%	22.09%	22.05%	21.05%	24.44%	23.66%	18.94%	21.32%	21.06%	20.87%	21.42%	21.93%	22.43%	27.98%	41.26%	9.16%	22.50%	29.48%	23.74%	19.84%	23.57%	22.66%	21.15%	22.58%	14.52%	12.92%	13.76%	24.46%	16.75%	19.24%	17.49%	18.88%	13.94%									
15	Жириновский Владимир Вольфович	2536	47	47	29	77	71	24	39	58	59	59	84	80	70	99	100	40	6	2	5	80	47	94	47	67	107	111	115	85	27	35	100	138	116	73	298									
		6.89%	7.29%	7.04%	8.24%	6.49%	5.36%	5.49%	5.12%	6.24%	12.99%	5.72%	5.96%	6.09%	5.39%	6.08%	5.72%	6.91%	0.84%	1.53%	2.08%	8.19%	6.23%	6.91%	6.71%	7.13%	6.86%	6.56%	6.52%	5.36%	8.26%	8.47%	7.16%	7.97%	7.14%	5.99%	15.50%									
16	Путин Владимир Владимирович	24764	403	443	227	789	885	306	496	608	282	703	950	879	874	1082	1168	356	391	115	169	571	499	947	455	618	1045	1104	1313	1240	244	254	969	1183	1131	846	1219									
		67.26%	62.48%	66.32%	64.49%	66.53%	66.84%	70.02%	65.18%	65.38%	62.11%	68.12%	67.38%	66.95%	67.33%	66.46%	66.82%	61.49%	54.69%	87.79%	70.42%	58.44%	66.18%	69.58%	65.00%	65.74%	66.99%	65.25%	74.48%	78.13%	74.62%	61.50%	69.36%	68.34%	69.64%	69.46%	63.42%									
17	Собчак Ксения Анатольевна	447	6	6	2	17	20	4	7	11	5	11	28	22	12	31	24	7	11	0	4	15	5	18	5	5	12	15	19	15	0	4	15	20	17	11	43									
		1.21%	0.93%	0.90%	0.57%	1.43%	1.51%	0.92%	0.92%	1.18%	1.10%	1.07%	1.99%	1.68%	0.92%	1.90%	1.37%	1.21%	1.54%	0.00%	1.67%	1.54%	0.66%	1.32%	0.71%	0.53%	0.77%	0.89%	1.08%	0.95%	0.00%	0.97%	1.07%	1.16%	1.05%	0.90%	2.24%									
18	Сурайкин Максим Александрович	209	6	3	4	1	12	3	4	2	2	5	6	9	9	4	7	2	1	0	0	4	4	3	5	7	15	10	10	12	3	3	10	6	15	7	15									
		0.57%	0.93%	0.45%	1.14%	0.08%	0.91%	0.69%	0.53%	0.22%	0.44%	0.48%	0.43%	0.69%	0.69%	0.25%	0.40%	0.35%	0.14%	0.00%	0.00%	0.41%	0.53%	0.22%	0.71%	0.74%	0.96%	0.59%	0.57%	0.76%	0.92%	0.73%	0.72%	0.35%	0.92%	0.57%	0.78%									
19	Титов Борис Юрьевич	190	4	4	3	10	9	1	8	2	3	9	8	9	9	13	5	0	0	1	0	7	1	5	4	7	5	4	9	5	4	2	6	7	9	4	13									
		0.52%	0.62%	0.60%	0.85%	0.84%	0.68%	0.23%	1.05%	0.22%	0.66%	0.87%	0.57%	0.69%	0.69%	0.80%	0.29%	0.00%	0.00%	0.76%	0.00%	0.72%	0.13%	0.37%	0.57%	0.74%	0.32%	0.24%	0.51%	0.32%	1.22%	0.48%	0.43%	0.40%	0.55%	0.33%	0.68%									
20	Явлинский Григорий Алексеевич	217	3	0	1	10	8	3	6	6	3	8	11	13	9	9	17	5	4	0	0	3	5	3	3	4	6	10	6	7	0	0	7	10	13	11	13									
		0.59%	0.47%	0.00%	0.28%	0.84%	0.60%	0.69%	0.79%	0.65%	0.66%	0.78%	0.78%	0.99%	0.69%	0.55%	0.97%	0.86%	0.56%	0.00%	0.00%	0.31%	0.66%	0.22%	0.43%	0.43%	0.38%	0.59%	0.34%	0.44%	0.00%	0.00%	0.50%	0.58%	0.80%	0.90%	0.68%									
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
