Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Момская														
														
Итоги голосования 														
														
		Сумма	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331					
1	"Число избирателей, внесенных в список"	2738	1504	87	259	182	131	407	168					
2	Число полученных избирательных бюллетеней	2852	1560	95	270	190	125	440	172					
3	"Число избирательных бюллетеней, выданных  досрочно"	119	15	2	18	6	10	57	11					
4	"Число избирательных бюллетеней, выданных в день голосования"	2151	1147	77	220	165	108	286	148					
5	"Число избирательных бюллетеней, выданных вне помещения"	185	120	5	17	10	6	21	6					
6	Число погашенных избирательных бюллетеней	397	278	11	15	9	1	76	7					
7	Число избирательных бюллетеней в переносных ящиках	304	135	7	35	16	16	78	17					
8	Число бюллетеней в стационарных ящиках для голосования	2151	1147	77	220	165	108	286	148					
9	Число недействительных избирательных бюллетеней	15	10	1	0	0	1	1	2					
10	Число действительных избирательных бюллетеней	2440	1272	83	255	181	123	363	163					
11	Число полученных открепительных  удостоверений	170	70	10	20	20	10	20	20					
12	Число выданных открепительных удостоверений	68	39	3	7	7	1	8	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	17	1	2	3	3	5	6					
14	Число неиспользованных открепительных удостоверений	102	31	7	13	13	9	12	17					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	159	93	1	12	29	2	19	3					
		6.48%	7.25%	1.19%	4.71%	16.02%	1.61%	5.22%	1.82%					
19	. Малышкин Олег Александрович	43	23	0	5	3	6	4	2					
		1.75%	1.79%	0.00%	1.96%	1.66%	4.84%	1.10%	1.21%					
20	. Миронов Сергей Михайлович	37	16	0	3	2	2	12	2					
		1.51%	1.25%	0.00%	1.18%	1.10%	1.61%	3.30%	1.21%					
21	. Путин Владимир Владимирович	1547	781	53	168	80	90	251	124					
		63.01%	60.92%	63.10%	65.88%	44.20%	72.58%	68.96%	75.15%					
22	. Хакамада Ирина Муцуовна	226	147	8	12	30	3	21	5					
		9.21%	11.47%	9.52%	4.71%	16.57%	2.42%	5.77%	3.03%					
23	. Харитонов Николай Михайлович	363	174	16	50	32	18	49	24					
		14.79%	13.57%	19.05%	19.61%	17.68%	14.52%	13.46%	14.55%					
														
24	Против всех	65	38	5	5	5	2	7	3					
		2.65%	2.96%	5.95%	1.96%	2.76%	1.61%	1.92%	1.82%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
