Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Олекминская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491					
1	"Число избирателей, внесенных в список"	16921	52	515	251	88	369	302	787	485	83	551	49	283	380	260	571	211	651	213	287	444	236	133	486	77	562	162	158	124	225	439	61	1161	1020	1022	1321	523	850	856	204	310	159					
2	Число полученных избирательных бюллетеней	17304	57	530	250	90	390	316	830	520	83	580	55	310	400	260	570	230	640	230	330	470	250	151	490	82	590	175	180	120	275	460	80	1100	1000	1000	1350	530	800	800	220	340	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	138	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	50	0	0	4	0	0	0	0	0	38	0	7	0	16	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12336	52	429	231	68	271	264	728	421	25	449	45	244	311	210	386	181	490	175	192	352	212	129	371	67	475	154	138	114	153	310	41	611	564	767	803	294	539	526	179	215	150					
5	"Число избирательных бюллетеней, выданных вне помещения"	1285	0	36	16	6	26	11	26	40	50	43	2	22	15	13	68	11	94	24	27	23	23	0	43	0	58	8	3	0	0	66	0	67	120	120	61	51	56	42	1	13	0					
6	Число погашенных избирательных бюллетеней	3545	5	65	3	16	93	41	76	59	8	88	8	44	74	14	116	38	56	31	111	45	15	22	72	15	57	13	39	6	84	84	32	422	300	113	486	185	205	232	40	112	20					
7	Число избирательных бюллетеней в переносных ящиках	1423	0	36	16	6	26	11	26	40	50	43	2	22	15	36	68	11	94	24	27	73	23	0	47	0	58	8	3	0	38	66	7	67	136	120	61	51	56	42	1	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	12336	52	429	231	68	271	264	728	421	25	449	45	244	311	210	386	181	490	175	192	352	212	129	371	67	475	154	138	114	153	310	41	611	564	767	803	294	539	526	179	215	150					
9	Число недействительных избирательных бюллетеней	158	2	3	1	1	9	5	0	7	2	11	0	3	2	2	12	3	16	1	2	3	0	4	9	1	4	0	1	0	3	2	0	6	3	12	6	4	8	3	7	0	0					
10	Число действительных избирательных бюллетеней	13601	50	462	246	73	288	270	754	454	73	481	47	263	324	244	442	189	568	198	217	422	235	125	409	66	529	162	140	114	188	374	48	672	697	875	858	341	587	565	173	228	150					
11	Число полученных открепительных  удостоверений	463	5	10	10	5	10	10	20	15	5	15	5	20	10	5	10	10	26	5	10	15	10	5	15	5	10	5	5	5	5	5	5	5	20	20	45	20	20	10	7	10	10					
12	Число выданных открепительных удостоверений	239	0	1	1	1	3	7	19	12	1	5	2	15	5	5	9	3	21	3	3	15	8	0	1	0	8	0	3	3	5	2	5	4	13	19	10	9	5	3	1	7	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	0	3	0	0	4	2	5	4	1	9	1	3	2	1	2	0	5	0	6	5	1	0	1	0	6	0	0	0	0	0	0	10	3	10	3	8	6	6	5	1	1					
14	Число неиспользованных открепительных удостоверений	224	5	9	9	4	7	3	1	3	4	10	3	5	5	0	1	7	5	2	7	0	2	5	14	5	2	5	2	2	0	3	0	1	7	1	35	11	15	7	6	3	8					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	1	1	1	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	332	3	10	7	0	0	11	18	20	3	9	2	7	1	5	3	3	9	3	3	18	2	1	7	0	15	3	4	6	9	14	0	15	15	25	24	9	21	19	2	2	4					
		2.41%	5.77%	2.15%	2.83%	0.00%	0.00%	4.00%	2.39%	4.34%	4.00%	1.83%	4.26%	2.63%	0.31%	2.03%	0.66%	1.56%	1.54%	1.51%	1.37%	4.24%	0.85%	0.78%	1.67%	0.00%	2.81%	1.85%	2.84%	5.26%	4.71%	3.72%	0.00%	2.21%	2.14%	2.82%	2.78%	2.61%	3.53%	3.35%	1.11%	0.88%	2.67%					
19	. Малышкин Олег Александрович	162	1	5	5	0	4	4	5	4	0	2	0	1	1	2	4	1	19	3	7	5	5	1	2	0	1	0	4	0	5	3	0	10	9	5	14	1	11	4	4	8	2					
		1.18%	1.92%	1.08%	2.02%	0.00%	1.35%	1.45%	0.66%	0.87%	0.00%	0.41%	0.00%	0.38%	0.31%	0.81%	0.88%	0.52%	3.25%	1.51%	3.20%	1.18%	2.13%	0.78%	0.48%	0.00%	0.19%	0.00%	2.84%	0.00%	2.62%	0.80%	0.00%	1.47%	1.29%	0.56%	1.62%	0.29%	1.85%	0.70%	2.22%	3.51%	1.33%					
20	. Миронов Сергей Михайлович	79	0	2	1	0	3	0	6	1	1	4	0	1	3	1	5	2	3	3	1	5	0	0	2	0	3	1	0	2	4	1	0	6	3	4	5	1	1	1	1	2	0					
		0.57%	0.00%	0.43%	0.40%	0.00%	1.01%	0.00%	0.80%	0.22%	1.33%	0.81%	0.00%	0.38%	0.92%	0.41%	1.10%	1.04%	0.51%	1.51%	0.46%	1.18%	0.00%	0.00%	0.48%	0.00%	0.56%	0.62%	0.00%	1.75%	2.09%	0.27%	0.00%	0.88%	0.43%	0.45%	0.58%	0.29%	0.17%	0.18%	0.56%	0.88%	0.00%					
21	. Путин Владимир Владимирович	10189	43	312	221	54	235	194	574	295	59	348	35	173	211	191	342	120	419	129	170	291	215	110	359	59	338	107	92	83	86	300	44	507	514	650	658	283	482	437	148	178	123					
		74.05%	82.69%	67.10%	89.47%	72.97%	79.12%	70.55%	76.13%	63.99%	78.67%	70.73%	74.47%	65.04%	64.72%	77.64%	75.33%	62.50%	71.75%	64.82%	77.63%	68.47%	91.49%	85.27%	85.89%	88.06%	63.41%	66.05%	65.25%	72.81%	45.03%	79.79%	91.67%	74.78%	73.43%	73.28%	76.16%	82.03%	81.01%	76.94%	82.22%	78.07%	82.00%					
22	. Хакамада Ирина Муцуовна	537	1	19	5	1	7	6	11	37	5	27	3	21	18	15	11	8	15	8	11	24	3	3	14	1	19	9	14	7	9	4	1	36	29	33	36	7	14	31	2	8	4					
		3.90%	1.92%	4.09%	2.02%	1.35%	2.36%	2.18%	1.46%	8.03%	6.67%	5.49%	6.38%	7.89%	5.52%	6.10%	2.42%	4.17%	2.57%	4.02%	5.02%	5.65%	1.28%	2.33%	3.35%	1.49%	3.56%	5.56%	9.93%	6.14%	4.71%	1.06%	2.08%	5.31%	4.14%	3.72%	4.17%	2.03%	2.35%	5.46%	1.11%	3.51%	2.67%					
23	. Харитонов Николай Михайлович	2076	2	102	6	14	34	54	131	94	4	86	6	51	88	29	72	53	92	52	22	72	9	9	23	6	147	41	24	16	71	46	3	83	109	129	104	35	50	59	12	27	9					
		15.09%	3.85%	21.94%	2.43%	18.92%	11.45%	19.64%	17.37%	20.39%	5.33%	17.48%	12.77%	19.17%	26.99%	11.79%	15.86%	27.60%	15.75%	26.13%	10.05%	16.94%	3.83%	6.98%	5.50%	8.96%	27.58%	25.31%	17.02%	14.04%	37.17%	12.23%	6.25%	12.24%	15.57%	14.54%	12.04%	10.14%	8.40%	10.39%	6.67%	11.84%	6.00%					
																																																
24	Против всех	226	0	12	1	4	5	1	9	3	1	5	1	9	2	1	5	2	11	0	3	7	1	1	2	0	6	1	2	0	4	6	0	15	18	29	17	5	8	14	4	3	8					
		1.64%	0.00%	2.58%	0.40%	5.41%	1.68%	0.36%	1.19%	0.65%	1.33%	1.02%	2.13%	3.38%	0.61%	0.41%	1.10%	1.04%	1.88%	0.00%	1.37%	1.65%	0.43%	0.78%	0.48%	0.00%	1.13%	0.62%	1.42%	0.00%	2.09%	1.60%	0.00%	2.21%	2.57%	3.27%	1.97%	1.45%	1.34%	2.46%	2.22%	1.32%	5.33%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
