Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Чурапчинская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685									
1	"Число избирателей, включенных в список избирателей"	13753	462	206	251	376	31	714	275	463	679	49	312	39	528	96	77	38	279	487	364	41	340	717	31	333	988	1449	1414	1131	1583									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15005	550	269	293	449	28	837	324	601	775	46	385	38	607	93	75	39	329	566	407	44	429	845	30	433	941	1400	1471	1224	1477									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10476	329	179	192	305	28	487	242	384	533	46	265	33	387	81	67	35	238	388	281	33	278	520	29	289	730	1062	1031	797	1207									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	582	22	7	13	18	0	25	11	27	45	0	14	0	27	3	2	0	15	36	20	0	28	49	0	12	35	38	48	52	35									
6	Число погашенных избирательных бюллетеней	3947	199	83	88	126	0	325	71	190	197	0	106	5	193	9	6	4	76	142	106	11	123	276	1	132	176	300	392	375	235									
7	Число избирательных бюллетеней в переносных ящиках для голосования	582	22	7	13	18	0	25	11	27	45	0	14	0	27	3	2	0	15	36	20	0	28	49	0	12	35	38	48	52	35									
8	Число бюллетеней в стационарных ящиках для голосования	10476	329	179	192	305	28	487	242	384	533	46	265	33	387	81	67	35	238	388	281	33	278	520	29	289	730	1062	1031	797	1207									
9	Число недействительных избирательных бюллетеней	52	0	0	0	2	0	2	2	0	4	0	1	0	3	0	0	0	2	4	0	0	1	1	0	0	3	7	4	6	10									
10	Число действительных избирательных бюллетеней	11006	351	186	205	321	28	510	251	411	574	46	278	33	411	84	69	35	251	420	301	33	305	568	29	301	762	1093	1075	843	1232									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	21	1	0	0	1	0	1	0	1	2	0	0	0	2	0	0	0	0	1	0	0	2	1	0	0	1	4	2	2	0									
		0.19%	0.28%	0.00%	0.00%	0.31%	0.00%	0.20%	0.00%	0.24%	0.35%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.65%	0.18%	0.00%	0.00%	0.13%	0.36%	0.19%	0.24%	0.00%									
14	Грудинин Павел Николаевич	3281	95	43	46	96	6	126	55	144	148	3	45	4	89	6	17	3	40	162	63	5	72	205	1	88	233	391	399	284	412									
		29.67%	27.07%	23.12%	22.44%	29.72%	21.43%	24.61%	21.74%	35.04%	25.61%	6.52%	16.13%	12.12%	21.50%	7.14%	24.64%	8.57%	15.81%	38.21%	20.93%	15.15%	23.53%	36.03%	3.45%	29.24%	30.46%	35.55%	36.98%	33.45%	33.17%									
15	Жириновский Владимир Вольфович	54	2	1	0	2	1	2	3	1	1	0	0	0	4	0	0	0	2	2	0	1	3	1	0	1	3	7	3	7	7									
		0.49%	0.57%	0.54%	0.00%	0.62%	3.57%	0.39%	1.19%	0.24%	0.17%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.79%	0.47%	0.00%	3.03%	0.98%	0.18%	0.00%	0.33%	0.39%	0.64%	0.28%	0.82%	0.56%									
16	Путин Владимир Владимирович	7500	251	140	159	219	21	375	192	259	414	43	230	29	313	78	52	32	206	254	238	26	223	348	28	206	513	668	654	533	796									
		67.82%	71.51%	75.27%	77.56%	67.80%	75.00%	73.24%	75.89%	63.02%	71.63%	93.48%	82.44%	87.88%	75.60%	92.86%	75.36%	91.43%	81.42%	59.91%	79.07%	78.79%	72.88%	61.16%	96.55%	68.44%	67.06%	60.73%	60.61%	62.78%	64.09%									
17	Собчак Ксения Анатольевна	95	2	2	0	3	0	1	1	3	4	0	3	0	2	0	0	0	2	0	0	1	5	10	0	4	8	10	10	11	13									
		0.86%	0.57%	1.08%	0.00%	0.93%	0.00%	0.20%	0.40%	0.73%	0.69%	0.00%	1.08%	0.00%	0.48%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	3.03%	1.63%	1.76%	0.00%	1.33%	1.05%	0.91%	0.93%	1.30%	1.05%									
18	Сурайкин Максим Александрович	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	5	3	0	1									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.18%	0.00%	0.66%	0.00%	0.45%	0.28%	0.00%	0.08%									
19	Титов Борис Юрьевич	23	0	0	0	0	0	5	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	4	1	2	3									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.49%	0.17%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.26%	0.36%	0.09%	0.24%	0.24%									
20	Явлинский Григорий Алексеевич	19	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	3	4	0									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.26%	0.36%	0.28%	0.47%	0.00%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
