Выборы Президента Российской Федерации																																					
Дата голосования: 18.03.2018																																					
																																					
Наименование Избирательной комиссии:    Ирафская																																					
																																					
Сводная таблица итогов голосования																																					
																																					
	Число участковых избирательных комиссий	26																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	26																																			
																																					
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №350									
1	"Число избирателей, включенных в список избирателей"	12818	568	570	1012	560	992	601	575	1115	406	544	741	117	458	310	694	307	975	828	314	122	247	96	120	212	191	143									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12765	570	570	1000	560	1000	600	570	1100	400	540	750	115	460	300	700	300	950	840	320	120	250	95	120	200	190	145									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10619	467	475	789	451	864	548	483	836	335	448	706	101	373	248	620	268	720	623	259	112	225	84	104	180	157	143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	832	22	19	146	36	30	37	22	95	10	29	29	5	9	22	49	29	110	110	11	0	10	0	0	2	0	0									
6	Число погашенных избирательных бюллетеней	1314	81	76	65	73	106	15	65	169	55	63	15	9	78	30	31	3	120	107	50	8	15	11	16	18	33	2									
7	Число избирательных бюллетеней в переносных ящиках для голосования	832	22	19	146	36	30	37	22	95	10	29	29	5	9	22	49	29	110	110	11	0	10	0	0	2	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	10619	467	475	789	451	864	548	483	836	335	448	706	101	373	248	620	268	720	623	259	112	225	84	104	180	157	143									
9	Число недействительных избирательных бюллетеней	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	11449	489	494	933	487	894	585	505	931	345	477	735	106	382	270	669	297	830	733	270	112	235	84	104	182	157	143									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
13	Бабурин Сергей Николаевич	18	1	0	1	0	0	1	2	4	2	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0									
		0.16%	0.20%	0.00%	0.11%	0.00%	0.00%	0.17%	0.40%	0.43%	0.58%	0.21%	0.14%	0.94%	0.26%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%									
14	Грудинин Павел Николаевич	1365	86	50	92	45	90	63	55	105	59	57	121	11	25	37	115	27	85	69	110	5	37	4	4	4	6	3									
		11.92%	17.59%	10.12%	9.84%	9.24%	10.07%	10.77%	10.89%	11.28%	17.10%	11.95%	16.46%	10.38%	6.54%	13.70%	17.19%	9.09%	10.24%	9.41%	40.74%	4.46%	15.74%	4.76%	3.85%	2.20%	3.82%	2.10%									
15	Жириновский Владимир Вольфович	242	3	7	60	4	5	3	1	20	4	4	10	2	13	2	0	1	43	35	9	2	7	1	0	4	2	0									
		2.11%	0.61%	1.42%	6.42%	0.82%	0.56%	0.51%	0.20%	2.15%	1.16%	0.84%	1.36%	1.89%	3.40%	0.74%	0.00%	0.34%	5.18%	4.77%	3.33%	1.79%	2.98%	1.19%	0.00%	2.20%	1.27%	0.00%									
16	Путин Владимир Владимирович	9556	392	428	727	432	795	512	419	794	276	410	600	89	327	228	535	268	668	585	150	99	189	79	100	174	140	140									
		83.45%	80.16%	86.64%	77.75%	88.71%	88.93%	87.52%	82.97%	85.28%	80.00%	85.95%	81.63%	83.96%	85.60%	84.44%	79.97%	90.24%	80.48%	79.81%	55.56%	88.39%	80.43%	94.05%	96.15%	95.60%	89.17%	97.90%									
17	Собчак Ксения Анатольевна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	192	5	9	42	6	4	5	27	8	3	5	2	1	8	3	10	1	20	24	1	3	2	0	0	0	3	0									
		1.68%	1.02%	1.82%	4.49%	1.23%	0.45%	0.85%	5.35%	0.86%	0.87%	1.05%	0.27%	0.94%	2.09%	1.11%	1.49%	0.34%	2.41%	3.27%	0.37%	2.68%	0.85%	0.00%	0.00%	0.00%	1.91%	0.00%									
19	Титов Борис Юрьевич	69	1	0	10	0	0	0	1	0	1	0	1	1	8	0	9	0	13	16	0	3	0	0	0	0	5	0									
		0.60%	0.20%	0.00%	1.07%	0.00%	0.00%	0.00%	0.20%	0.00%	0.29%	0.00%	0.14%	0.94%	2.09%	0.00%	1.35%	0.00%	1.57%	2.18%	0.00%	2.68%	0.00%	0.00%	0.00%	0.00%	3.18%	0.00%									
20	Явлинский Григорий Алексеевич	7	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0									
		0.06%	0.20%	0.00%	0.11%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.12%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
