Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Моздокская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список"	61378	2443	1810	1501	2122	2041	1512	1669	1910	1445	1585	1642	2198	1446	2246	534	1284	219	204	305	480	472	2388	1802	213	1751	2067	2819	1289	2714	1762	2323	1082	1040	2603	2765	760	54	810	1748	537	330	745	708					
2	Число полученных избирательных бюллетеней	58530	2200	1700	1600	2000	1900	1400	1600	1900	1400	1500	1600	2100	1300	2200	500	1200	200	190	300	450	450	2200	1650	250	1750	1900	2900	1200	2550	1600	2100	1000	1000	2600	2780	700	55	810	1600	500	300	745	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47474	1288	1386	1029	1438	1340	1067	1291	1302	1084	929	1340	1543	1028	1778	331	1037	184	143	255	368	360	1923	1523	198	1501	1711	2532	920	1879	1454	1815	974	828	2574	2738	649	50	760	1019	332	269	745	559					
5	"Число избирательных бюллетеней, выданных вне помещения"	2969	71	70	120	111	105	80	49	66	39	160	65	18	56	85	55	15	0	4	20	28	64	93	104	0	93	88	116	96	658	102	102	8	60	0	0	42	0	18	22	53	23	0	10					
6	Число погашенных избирательных бюллетеней	8087	841	244	451	451	455	253	260	532	277	411	195	539	216	337	114	148	16	43	25	54	26	184	23	52	156	101	252	184	13	44	183	18	112	26	42	9	5	32	559	115	8	0	81					
7	Число избирательных бюллетеней в переносных ящиках	2969	71	70	120	111	105	80	49	66	39	160	65	18	56	85	55	15	0	4	20	28	64	93	104	0	93	88	116	96	658	102	102	8	60	0	0	42	0	18	22	53	23	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	47473	1288	1386	1029	1438	1340	1067	1291	1302	1084	929	1340	1543	1028	1778	331	1037	184	143	255	368	360	1923	1523	198	1501	1711	2532	919	1879	1454	1815	974	828	2574	2738	649	50	760	1019	332	269	745	559					
9	Число недействительных избирательных бюллетеней	233	14	4	8	17	10	6	10	9	7	9	8	5	3	1	8	13	1	5	6	21	0	0	10	0	0	5	8	9	5	0	3	0	3	0	3	7	0	2	4	0	0	0	9					
10	Число действительных избирательных бюллетеней	50209	1345	1452	1141	1532	1435	1141	1330	1359	1116	1080	1397	1556	1081	1862	378	1039	183	142	269	375	424	2016	1617	198	1594	1794	2640	1006	2532	1556	1914	982	885	2574	2735	684	50	776	1037	385	292	745	560					
