Выборы Президента Российской Федерации																																																																				
Дата голосования: 04.03.2012																																																																				
																																																																				
Наименование Избирательной комиссии:    Апастовская																																																																				
																																																																				
Сводная таблица итогов голосования																																																																				
																																																																				
	Число участковых избирательных комиссий	57																																																																		
	Число участковых избирательных комиссий, приступивших к передаче сведений	57																																																																		
																																																																				
		Сумма	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933									
1	Число избирателей, включенных в список избирателей	15850	751	698	1054	852	297	254	134	191	323	198	222	330	176	217	232	198	165	90	225	161	326	193	216	117	326	111	136	107	668	592	379	435	278	73	199	220	90	317	284	112	438	230	100	306	200	398	116	268	126	303	396	296	145	138	151	205	87									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	16600	805	780	1160	925	303	257	138	194	406	212	246	333	182	224	244	202	165	92	233	164	338	200	224	117	329	118	136	108	701	610	386	450	284	77	208	233	91	327	290	114	445	234	101	322	209	408	120	273	126	305	402	298	140	140	160	220	91									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	14183	701	658	928	813	269	223	119	154	288	181	198	280	160	202	226	175	150	73	170	130	250	163	199	108	269	95	110	97	627	524	347	409	259	58	187	198	73	283	226	102	378	219	92	275	188	358	98	238	121	284	363	276	119	113	126	174	79									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1598	41	40	97	37	28	31	15	37	35	17	24	50	16	15	6	23	15	17	55	31	66	30	17	9	57	16	26	7	38	65	32	26	19	15	12	22	14	34	58	10	60	11	8	31	12	40	18	30	5	19	33	20	21	23	25	31	8									
6	Число погашенных избирательных бюллетеней	819	63	82	135	75	6	3	4	3	83	14	24	3	6	7	12	4	0	2	8	3	22	7	8	0	3	7	0	4	36	21	7	15	6	4	9	13	4	10	6	2	7	4	1	16	9	10	4	5	0	2	6	2	0	4	9	15	4									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1598	41	40	97	37	28	31	15	37	35	17	24	50	16	15	6	23	15	17	55	31	66	30	17	9	57	16	26	7	38	65	32	26	19	15	12	22	14	34	58	10	60	11	8	31	12	40	18	30	5	19	33	20	21	23	25	31	8									
8	Число бюллетеней в стационарных ящиках для голосования	14183	701	658	928	813	269	223	119	154	288	181	198	280	160	202	226	175	150	73	170	130	250	163	199	108	269	95	110	97	627	524	347	409	259	58	187	198	73	283	226	102	378	219	92	275	188	358	98	238	121	284	363	276	119	113	126	174	79									
9	Число недействительных избирательных бюллетеней	33	3	0	3	3	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	6	0	0	0	1	1	1	0	1	1	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	15748	739	698	1022	847	297	254	134	191	323	198	222	330	176	217	230	195	165	90	224	161	310	193	216	117	325	110	135	104	664	588	379	433	278	73	197	220	87	316	284	112	438	230	100	306	200	396	116	268	126	303	396	296	140	136	151	205	87									
11	Число полученных открепительных  удостоверений	394	31	22	30	31	7	5	3	3	10	3	18	4	3	3	8	4	3	1	6	3	13	6	7	1	5	3	5	3	22	15	5	13	1	3	5	10	3	5	3	1	5	3	3	10	3	3	1	3	3	3	5	2	5	5	3	7	3									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	364	31	22	30	31	7	1	3	3	9	3	18	4	3	3	8	4	3	0	6	3	13	6	7	1	3	1	5	3	22	15	5	13	0	2	5	10	3	5	3	0	5	3	2	10	3	3	0	0	0	0	1	0	5	5	3	7	3									
13	Число избирателей, проголосовавших по открепительным удостоверениям	98	4	6	6	10	3	0	0	2	1	2	0	4	0	0	2	1	3	0	0	1	5	0	3	2	5	0	0	0	4	4	2	3	2	0	0	1	0	1	0	1	5	1	2	1	1	1	0	2	1	2	0	1	0	2	1	0	0									
14	Число неиспользованных открепительных удостоверений	30	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	3	3	3	4	2	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	6	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	Жириновский Владимир Вольфович	29	1	4	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0									
		0.18%	0.13%	0.57%	0.68%	0.47%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.30%	0.17%	0.00%	0.00%	0.00%	0.00%	1.01%	0.45%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.49%	0.00%									
20	Зюганов Геннадий Андреевич	144	2	12	14	4	2	0	0	0	3	1	1	1	1	1	2	3	2	1	1	1	26	1	1	1	2	1	0	1	4	2	5	2	1	1	10	1	1	1	1	1	4	2	1	2	2	2	0	1	0	1	6	1	0	2	3	2	0									
		0.91%	0.27%	1.72%	1.37%	0.47%	0.67%	0.00%	0.00%	0.00%	0.93%	0.51%	0.45%	0.30%	0.57%	0.46%	0.86%	1.52%	1.21%	1.11%	0.44%	0.62%	8.23%	0.52%	0.46%	0.85%	0.61%	0.90%	0.00%	0.96%	0.60%	0.34%	1.32%	0.46%	0.36%	1.37%	5.03%	0.45%	1.15%	0.32%	0.35%	0.89%	0.91%	0.87%	1.00%	0.65%	1.00%	0.50%	0.00%	0.37%	0.00%	0.33%	1.52%	0.34%	0.00%	1.47%	1.99%	0.98%	0.00%									
21	Миронов Сергей Михайлович	17	0	1	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.00%	0.14%	0.39%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.26%	0.00%	0.36%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	Прохоров Михаил Дмитриевич	45	3	7	2	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	2	0	3	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	2	3	1	0	0	0	1	0									
