Выборы Президента Российской Федерации																																																																									
Дата голосования: 04.03.2012																																																																									
																																																																									
Наименование Избирательной комиссии:    Арская																																																																									
																																																																									
Сводная таблица итогов голосования																																																																									
																																																																									
	Число участковых избирательных комиссий	62																																																																							
	Число участковых избирательных комиссий, приступивших к передаче сведений	62																																																																							
																																																																									
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995									
1	Число избирателей, включенных в список избирателей	38756	1137	1095	1117	1268	1179	1148	1082	1099	943	1000	924	1024	955	1010	1095	508	491	450	900	693	930	1050	389	345	402	195	195	311	324	315	688	494	221	717	448	589	197	609	202	763	415	158	465	562	647	265	199	568	596	232	636	1238	494	547	251	479	316	178	786	518	363	341									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	39250	1145	1138	1129	1275	1185	1159	1096	1099	961	1015	939	1030	956	1035	1144	514	491	454	916	693	923	1048	392	350	406	200	200	313	328	319	685	501	227	725	454	589	200	615	211	772	419	164	465	568	655	269	202	573	605	242	640	1245	513	558	255	487	327	183	795	526	375	352									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	34051	772	1061	1088	1165	1133	997	1010	919	886	952	865	913	921	958	991	458	429	424	792	539	794	827	290	288	334	165	165	280	289	283	585	437	189	614	331	422	187	567	178	568	387	152	446	543	599	235	142	475	532	197	557	1039	374	461	213	413	265	156	745	446	311	297									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	4315	246	34	29	95	20	132	59	171	21	30	52	91	14	26	104	50	62	26	108	152	123	214	99	56	68	30	30	31	35	32	88	57	32	103	117	165	10	42	24	195	28	6	19	19	47	30	57	93	64	35	79	189	120	80	38	66	51	22	33	72	50	44									
6	Число погашенных избирательных бюллетеней	884	127	43	12	15	32	30	27	9	54	33	22	26	21	51	49	6	0	4	16	2	6	7	3	6	4	5	5	2	4	4	12	7	6	8	6	2	3	6	9	9	4	6	0	6	9	4	3	5	9	10	4	17	19	17	4	8	11	5	17	8	14	11									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4315	246	34	29	95	20	132	59	171	21	30	52	91	14	26	104	50	62	26	108	152	123	214	99	56	68	30	30	31	35	32	88	57	32	103	117	165	10	42	24	195	28	6	19	19	47	30	57	93	64	35	79	189	120	80	38	66	51	22	33	72	50	44									
8	Число бюллетеней в стационарных ящиках для голосования	34051	772	1061	1088	1165	1133	997	1010	919	886	952	865	913	921	958	991	458	429	424	792	539	794	827	290	288	334	165	165	280	289	283	585	437	189	614	331	422	187	567	178	568	387	152	446	543	599	235	142	475	532	197	557	1039	374	461	213	413	265	156	745	446	311	297									
9	Число недействительных избирательных бюллетеней	34	2	2	0	0	3	0	0	0	4	0	0	1	13	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	38332	1016	1093	1117	1260	1150	1129	1069	1090	903	982	917	1003	922	984	1093	508	491	450	898	690	917	1041	389	344	402	195	195	311	324	315	673	494	221	716	448	587	197	606	202	763	415	158	465	562	646	265	199	568	596	232	636	1228	494	541	251	479	316	178	778	518	361	341									
11	Число полученных открепительных  удостоверений	492	9	25	10	6	17	19	17	10	14	12	6	15	8	15	10	3	3	7	34	3	15	8	5	4	3	5	5	3	4	5	5	4	3	5	11	8	3	10	7	3	5	3	3	5	8	3	3	6	3	5	3	36	8	8	3	4	6	2	7	4	3	5									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	450	9	25	10	6	17	19	16	9	8	12	4	15	6	15	10	2	1	7	34	3	15	8	5	4	0	5	5	1	3	1	5	4	0	5	11	8	3	10	7	3	2	3	0	3	8	2	3	4	3	4	3	36	8	8	3	4	6	2	7	4	1	5									
