Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Елабужская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422					
1	"Число избирателей, внесенных в список"	47691	1137	1293	1238	959	969	1151	1115	1228	611	838	1373	2052	995	1408	1288	1839	1802	174	1539	1236	1902	1968	1762	1618	703	1785	1674	1915	1838	1790	1657	1750	1590	227	580	314	117	156	100					
2	Число полученных избирательных бюллетеней	47362	1142	1265	1223	946	980	1151	1077	1252	583	908	1388	2091	995	1380	1274	1875	1769	175	1548	1218	1860	1921	1702	1560	679	1803	1669	1902	1807	1816	1704	1668	1543	220	580	314	117	157	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40057	1010	1180	991	768	690	911	902	1044	514	745	1064	1743	825	1141	1056	1463	1492	152	1289	1112	1537	1658	1476	1360	613	1507	1414	1688	1558	1427	1398	1524	1361	195	562	314	117	156	100					
5	"Число избирательных бюллетеней, выданных вне помещения"	2010	103	32	113	100	236	67	69	87	55	93	104	87	30	68	43	62	55	18	82	50	133	43	25	19	9	28	27	12	43	38	23	18	21	12	5	0	0	0	0					
6	Число погашенных избирательных бюллетеней	5295	29	53	119	78	54	173	106	121	14	70	220	261	140	171	175	350	222	5	177	56	190	220	201	181	57	268	228	202	206	351	283	126	161	13	13	0	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках	2010	103	32	113	100	236	67	69	87	55	93	104	87	30	68	43	62	55	18	82	50	133	43	25	19	9	28	27	12	43	38	23	18	21	12	5	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	40055	1010	1180	991	768	690	911	902	1044	514	745	1064	1743	825	1141	1056	1463	1492	152	1289	1112	1537	1658	1476	1360	611	1507	1414	1688	1558	1427	1398	1524	1361	195	562	314	117	156	100					
9	Число недействительных избирательных бюллетеней	362	0	1	1	10	8	0	17	25	7	7	5	25	13	0	55	0	12	2	16	3	0	11	19	5	0	0	9	5	24	33	17	18	9	5	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	41703	1113	1211	1103	858	918	978	954	1106	562	831	1163	1805	842	1209	1044	1525	1535	168	1355	1159	1670	1690	1482	1374	620	1535	1432	1695	1577	1432	1404	1524	1373	202	567	314	117	156	100					
