Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Елабужская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445					
1	"Число избирателей, внесенных в список"	7374	343	512	182	201	184	182	375	456	156	253	204	635	357	133	387	76	327	445	1085	115	173	209	384					
2	Число полученных избирательных бюллетеней	7409	344	520	179	201	185	182	373	456	156	253	205	645	363	133	389	76	337	445	1085	114	175	209	384					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6703	325	473	166	195	179	164	366	428	156	209	184	532	313	131	350	70	293	423	1011	109	166	206	254					
5	"Число избирательных бюллетеней, выданных вне помещения"	607	17	25	13	6	5	18	7	20	0	40	20	99	30	0	32	6	31	21	72	5	7	3	130					
6	Число погашенных избирательных бюллетеней	99	2	22	0	0	1	0	0	8	0	4	1	14	20	2	7	0	13	1	2	0	2	0	0					
7	Число избирательных бюллетеней в переносных ящиках	607	17	25	13	6	5	18	7	20	0	40	20	99	30	0	32	6	31	21	72	5	7	3	130					
8	Число бюллетеней в стационарных ящиках для голосования	6703	325	473	166	195	179	164	366	428	156	209	184	532	313	131	350	70	293	423	1011	109	166	206	254					
9	Число недействительных избирательных бюллетеней	14	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	6	0	1	0	2	0					
10	Число действительных избирательных бюллетеней	7296	342	498	179	201	184	180	373	448	156	249	204	628	343	131	382	76	324	438	1083	113	173	207	384					
11	Число полученных открепительных  удостоверений	370	10	30	10	10	10	10	10	30	10	10	10	50	20	10	30	10	10	10	30	10	10	10	20					
12	Число выданных открепительных удостоверений	153	1	9	10	5	2	0	1	10	2	1	1	45	8	0	20	0	6	0	16	1	3	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	6	3	7	1	4	2	1	3	2	5	2	8	7	2	5	9	3	2	5	6	2	2	7					
14	Число неиспользованных открепительных удостоверений	217	9	21	0	5	8	10	9	20	8	9	9	5	12	10	10	10	4	10	14	9	7	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	10	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	1	3	0	0	0	0					
		0.14%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.58%	0.00%	0.00%	0.00%	0.00%	0.23%	0.28%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	26	2	2	1	3	1	0	2	2	4	0	0	2	0	0	3	0	3	0	0	1	0	0	0					
		0.36%	0.58%	0.40%	0.56%	1.49%	0.54%	0.00%	0.54%	0.45%	2.56%	0.00%	0.00%	0.32%	0.00%	0.00%	0.79%	0.00%	0.93%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	19	0	1	0	0	0	0	0	3	0	0	0	6	2	0	0	0	0	0	5	1	1	0	0					
		0.26%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.95%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.88%	0.58%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7091	331	489	176	197	180	178	366	440	152	244	200	603	337	128	374	74	316	433	1017	111	169	206	370					
		97.00%	96.78%	98.19%	98.32%	98.01%	97.83%	97.80%	98.12%	98.21%	97.44%	97.99%	98.04%	95.56%	98.25%	97.71%	97.91%	97.37%	97.53%	97.52%	93.91%	97.37%	97.69%	98.56%	96.35%					
22	. Хакамада Ирина Муцуовна	43	1	3	0	0	0	1	2	1	0	0	0	7	1	0	3	0	5	1	15	0	0	0	3					
		0.59%	0.29%	0.60%	0.00%	0.00%	0.00%	0.55%	0.54%	0.22%	0.00%	0.00%	0.00%	1.11%	0.29%	0.00%	0.79%	0.00%	1.54%	0.23%	1.39%	0.00%	0.00%	0.00%	0.78%					
23	. Харитонов Николай Михайлович	87	8	3	1	1	2	0	3	2	0	5	4	3	1	3	2	2	0	1	38	0	3	0	5					
		1.19%	2.34%	0.60%	0.56%	0.50%	1.09%	0.00%	0.80%	0.45%	0.00%	2.01%	1.96%	0.48%	0.29%	2.29%	0.52%	2.63%	0.00%	0.23%	3.51%	0.00%	1.73%	0.00%	1.30%					
																														
24	Против всех	20	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	2	5	0	0	1	6					
		0.27%	0.00%	0.00%	0.56%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.46%	0.00%	0.00%	0.48%	1.56%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
