Выборы Президента Российской Федерации																																																							
Дата голосования: 04.03.2012																																																							
																																																							
Наименование Избирательной комиссии:    Нурлатская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	Число участковых избирательных комиссий, приступивших к передаче сведений	44																																																					
																																																							
		Сумма	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390									
1	Число избирателей, включенных в список избирателей	18364	865	190	188	275	345	130	334	155	306	514	413	212	371	283	314	629	252	657	285	118	429	353	663	588	607	397	952	565	780	442	933	867	491	433	268	155	113	515	583	413	140	192	443	206									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	18616	885	194	190	278	349	131	340	163	314	522	418	216	380	287	317	638	256	662	293	121	438	356	673	588	610	410	968	570	783	448	948	873	491	437	270	156	117	526	586	417	142	197	447	211									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	16754	838	174	161	235	315	120	310	137	292	465	382	185	322	258	268	606	248	573	273	104	375	339	626	564	569	334	845	473	712	418	855	843	458	383	229	139	89	467	539	320	125	180	417	189									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1471	27	15	22	40	28	10	22	18	13	47	31	24	46	25	46	23	4	77	12	14	51	8	35	10	34	63	98	86	59	16	71	20	30	48	38	15	23	40	40	81	15	10	21	15									
6	Число погашенных избирательных бюллетеней	391	20	5	7	3	6	1	8	8	9	10	5	7	12	4	3	9	4	12	8	3	12	9	12	14	7	13	25	11	12	14	22	10	3	6	3	2	5	19	7	16	2	7	9	7									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1471	27	15	22	40	28	10	22	18	13	47	31	24	46	25	46	23	4	77	12	14	51	8	35	10	34	63	98	86	59	16	71	20	30	48	38	15	23	40	40	81	15	10	21	15									
8	Число бюллетеней в стационарных ящиках для голосования	16754	838	174	161	235	315	120	310	137	292	465	382	185	322	258	268	606	248	573	273	104	375	339	626	564	569	334	845	473	712	418	855	843	458	383	229	139	89	467	539	320	125	180	417	189									
9	Число недействительных избирательных бюллетеней	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	18224	865	189	183	275	343	130	332	154	305	512	413	209	368	283	314	629	252	650	285	118	426	347	661	574	603	397	943	559	771	434	926	863	488	431	267	154	112	507	579	401	140	190	438	204									
11	Число полученных открепительных  удостоверений	242	8	4	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	6	6	6	6	10	9	7	6	13	10	5	5	5	5	5	5	5	4	3	3	3	3									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	194	8	1	1	5	4	0	5	5	5	4	0	5	5	2	5	1	1	1	5	5	8	5	6	4	2	2	10	9	7	6	13	10	5	5	5	5	5	5	5	4	0	3	2	0									
