Выборы Президента Российской Федерации																																																		
Дата голосования: 04.03.2012																																																		
																																																		
Наименование Избирательной комиссии:    Спасская																																																		
																																																		
Сводная таблица итогов голосования																																																		
																																																		
	Число участковых избирательных комиссий	39																																																
	Число участковых избирательных комиссий, приступивших к передаче сведений	39																																																
																																																		
		Сумма	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606									
1	Число избирателей, включенных в список избирателей	15998	674	742	680	757	669	783	757	677	775	648	394	125	350	208	173	283	167	431	610	79	106	327	136	541	215	493	154	265	225	235	225	267	309	391	366	467	392	211	691									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	16364	690	748	700	770	670	800	770	700	800	685	405	128	355	210	178	295	178	435	630	82	108	330	140	555	220	496	156	275	230	240	225	270	315	400	385	475	400	215	700									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	14871	622	633	585	627	630	745	715	615	719	602	373	121	331	196	162	252	155	408	573	75	101	311	131	516	215	463	154	251	213	223	225	243	297	373	352	439	371	200	654									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	824	33	77	52	32	25	27	28	35	41	33	21	4	18	10	10	29	11	22	37	4	5	16	5	25	0	28	0	14	12	12	0	20	12	18	14	28	20	11	35									
6	Число погашенных избирательных бюллетеней	669	35	38	63	111	15	28	27	50	40	50	11	3	6	4	6	14	12	5	20	3	2	3	4	14	5	5	2	10	5	5	0	7	6	9	19	8	9	4	11									
7	Число избирательных бюллетеней в переносных ящиках для голосования	824	33	77	52	32	25	27	28	35	41	33	21	4	18	10	10	29	11	22	37	4	5	16	5	25	0	28	0	14	12	12	0	20	12	18	14	28	20	11	35									
8	Число бюллетеней в стационарных ящиках для голосования	14871	622	633	585	627	630	745	715	615	719	602	373	121	331	196	162	252	155	408	573	75	101	311	131	516	215	463	154	251	213	223	225	243	297	373	352	439	371	200	654									
9	Число недействительных избирательных бюллетеней	22	0	9	0	2	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6									
10	Число действительных избирательных бюллетеней	15673	655	701	637	657	654	772	743	648	760	635	394	124	349	206	172	281	166	430	610	78	106	327	136	541	215	491	154	265	225	235	225	263	309	391	366	467	391	211	683									
11	Число полученных открепительных  удостоверений	243	10	20	25	10	17	20	10	10	15	10	5	3	5	2	3	3	4	3	4	3	3	4	3	4	2	3	2	3	2	2	3	3	3	3	7	4	2	3	5									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	147	10	11	24	9	13	13	5	7	11	9	0	3	0	0	2	3	4	1	4	1	0	1	0	0	1	2	0	0	0	0	0	2	0	3	5	2	0	0	1									
13	Число избирателей, проголосовавших по открепительным удостоверениям	85	4	9	2	3	3	6	4	4	0	2	0	3	1	3	1	2	0	0	3	1	3	4	2	2	0	3	1	0	1	2	2	6	1	1	2	0	1	1	2									
14	Число неиспользованных открепительных удостоверений	96	0	9	1	1	4	7	5	3	4	1	5	0	5	2	1	0	0	2	0	2	3	3	3	4	1	1	2	3	2	2	3	1	3	0	2	2	2	3	4									
15	Число открепительных удостоверений, выданных избирателям ТИК	7	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	Жириновский Владимир Вольфович	43	3	3	3	2	3	0	1	3	1	1	1	2	1	1	0	1	0	1	2	0	0	2	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0									
		0.27%	0.46%	0.42%	0.47%	0.30%	0.46%	0.00%	0.13%	0.46%	0.13%	0.16%	0.25%	1.60%	0.29%	0.49%	0.00%	0.36%	0.00%	0.23%	0.33%	0.00%	0.00%	0.61%	0.00%	0.18%	0.47%	0.20%	0.00%	0.38%	0.00%	0.43%	0.44%	0.38%	0.32%	0.00%	0.27%	0.21%	0.26%	0.47%	0.00%									
20	Зюганов Геннадий Андреевич	199	5	5	11	10	21	8	8	8	4	3	2	11	2	1	1	30	2	1	4	5	1	2	2	3	15	3	1	3	2	2	1	1	1	2	2	2	3	0	11									
		1.27%	0.76%	0.70%	1.73%	1.52%	3.21%	1.04%	1.08%	1.23%	0.53%	0.47%	0.51%	8.80%	0.57%	0.49%	0.58%	10.68%	1.20%	0.23%	0.66%	6.33%	0.94%	0.61%	1.47%	0.55%	6.98%	0.61%	0.65%	1.13%	0.89%	0.85%	0.44%	0.38%	0.32%	0.51%	0.55%	0.43%	0.77%	0.00%	1.60%									
21	Миронов Сергей Михайлович	187	21	23	15	8	2	11	11	16	8	6	4	0	3	0	1	30	0	1	2	0	0	1	0	0	3	5	0	1	2	1	0	1	1	1	3	1	3	1	1									
		1.19%	3.21%	3.24%	2.35%	1.21%	0.31%	1.42%	1.48%	2.46%	1.05%	0.94%	1.02%	0.00%	0.86%	0.00%	0.58%	10.68%	0.00%	0.23%	0.33%	0.00%	0.00%	0.31%	0.00%	0.00%	1.40%	1.02%	0.00%	0.38%	0.89%	0.43%	0.00%	0.38%	0.32%	0.26%	0.82%	0.21%	0.77%	0.47%	0.15%									
22	Прохоров Михаил Дмитриевич	45	3	3	3	4	1	5	2	3	2	2	1	2	1	0	0	1	1	0	1	0	0	1	0	1	2	1	2	0	0	0	0	1	0	0	1	0	0	0	1									
		0.29%	0.46%	0.42%	0.47%	0.61%	0.15%	0.65%	0.27%	0.46%	0.26%	0.31%	0.25%	1.60%	0.29%	0.00%	0.00%	0.36%	0.60%	0.00%	0.16%	0.00%	0.00%	0.31%	0.00%	0.18%	0.93%	0.20%	1.30%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.15%									
23	Путин Владимир Владимирович	15199	623	667	605	633	627	748	721	618	745	623	386	109	342	204	170	219	163	427	601	73	105	321	134	536	194	481	151	260	221	231	223	259	306	388	359	463	384	209	670									
		96.84%	95.11%	93.94%	94.98%	96.05%	95.73%	96.89%	97.04%	95.08%	98.03%	98.11%	97.97%	87.20%	97.99%	99.03%	98.84%	77.94%	98.19%	99.30%	98.52%	92.41%	99.06%	98.17%	98.53%	99.08%	90.23%	97.96%	98.05%	98.11%	98.22%	98.30%	99.11%	98.48%	99.03%	99.23%	98.09%	99.14%	98.21%	99.05%	97.24%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
