Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Тандинская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137					
1	"Число избирателей, внесенных в список"	7701	1950	842	504	84	1908	239	217	518	663	236	540					
2	Число полученных избирательных бюллетеней	7585	1878	840	501	80	1832	238	204	523	695	228	566					
3	"Число избирательных бюллетеней, выданных  досрочно"	125	0	0	22	7	57	0	0	16	0	0	23					
4	"Число избирательных бюллетеней, выданных в день голосования"	5180	1149	613	370	72	1067	220	165	405	511	209	399					
5	"Число избирательных бюллетеней, выданных вне помещения"	374	119	53	30	0	66	2	0	28	50	6	20					
6	Число погашенных избирательных бюллетеней	1906	610	174	79	1	642	16	39	74	134	13	124					
7	Число избирательных бюллетеней в переносных ящиках	499	119	53	52	7	123	2	0	44	50	6	43					
8	Число бюллетеней в стационарных ящиках для голосования	5178	1149	613	370	72	1065	220	165	405	511	209	399					
9	Число недействительных избирательных бюллетеней	61	15	12	6	0	11	2	2	3	7	1	2					
10	Число действительных избирательных бюллетеней	5616	1253	654	416	79	1177	220	163	446	554	214	440					
11	Число полученных открепительных  удостоверений	220	43	25	20	8	35	5	10	20	25	9	20					
12	Число выданных открепительных удостоверений	144	35	22	7	4	7	5	1	17	25	8	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	99	48	5	0	3	11	2	1	4	9	6	10					
14	Число неиспользованных открепительных удостоверений	76	8	3	13	4	28	0	9	3	0	1	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	72	24	9	2	0	23	2	1	2	4	0	5					
		1.27%	1.89%	1.35%	0.47%	0.00%	1.94%	0.90%	0.61%	0.45%	0.71%	0.00%	1.13%					
19	. Малышкин Олег Александрович	38	9	7	0	0	10	0	0	7	3	1	1					
		0.67%	0.71%	1.05%	0.00%	0.00%	0.84%	0.00%	0.00%	1.56%	0.53%	0.47%	0.23%					
20	. Миронов Сергей Михайлович	30	7	2	3	0	10	0	0	4	2	2	0					
		0.53%	0.55%	0.30%	0.71%	0.00%	0.84%	0.00%	0.00%	0.89%	0.36%	0.93%	0.00%					
21	. Путин Владимир Владимирович	4735	1035	546	356	77	908	208	143	374	495	175	418					
		83.41%	81.62%	81.98%	84.36%	97.47%	76.43%	93.69%	86.67%	83.30%	88.24%	81.40%	94.57%					
22	. Хакамада Ирина Муцуовна	79	27	9	2	0	19	4	3	8	4	1	2					
		1.39%	2.13%	1.35%	0.47%	0.00%	1.60%	1.80%	1.82%	1.78%	0.71%	0.47%	0.45%					
23	. Харитонов Николай Михайлович	588	133	74	48	2	180	5	15	46	41	35	9					
		10.36%	10.49%	11.11%	11.37%	2.53%	15.15%	2.25%	9.09%	10.24%	7.31%	16.28%	2.04%					
																		
24	Против всех	74	18	7	5	0	27	1	1	5	5	0	5					
		1.30%	1.42%	1.05%	1.18%	0.00%	2.27%	0.45%	0.61%	1.11%	0.89%	0.00%	1.13%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
