Выборы Президента Российской Федерации																																																					
Дата голосования: 18.03.2018																																																					
																																																					
Наименование Избирательной комиссии:    Аскизская																																																					
																																																					
Сводная таблица итогов голосования																																																					
																																																					
	Число участковых избирательных комиссий	42																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	42																																																			
																																																					
		Сумма	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240									
1	"Число избирателей, включенных в список избирателей"	27947	1774	1817	1741	375	350	154	1417	1735	356	649	761	259	153	323	669	155	111	151	551	981	558	177	501	247	723	243	197	172	967	691	812	1151	1365	104	1308	80	1765	1407	364	215	327	91									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29750	1750	2100	1850	400	400	200	1450	1800	350	700	800	300	150	350	750	200	100	150	550	1000	600	200	550	250	800	300	200	200	1000	750	850	1300	1450	100	1400	100	1850	1450	400	250	300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	132	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	22	39	0	27	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16020	1027	1275	1128	255	239	116	709	893	174	346	502	144	142	208	351	114	80	86	315	522	316	110	262	167	433	151	85	81	525	406	478	686	655	50	734	50	956	706	181	132	174	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1063	91	33	86	5	4	0	32	66	6	23	42	19	2	8	27	8	1	31	14	35	16	0	40	7	37	20	20	2	40	37	65	47	58	1	59	17	19	19	8	2	13	3									
6	Число погашенных избирательных бюллетеней	12535	632	792	636	140	157	84	709	841	170	331	256	117	6	134	372	78	19	33	199	404	268	63	248	76	330	129	71	117	435	307	307	567	737	49	607	33	875	725	211	116	113	41									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1195	91	33	86	5	4	0	32	66	6	23	42	39	2	8	27	8	1	31	36	74	16	27	40	7	37	20	44	2	40	37	65	47	58	1	59	17	19	19	8	2	13	3									
8	Число бюллетеней в стационарных ящиках для голосования	16018	1027	1275	1128	255	239	116	709	893	174	346	500	144	142	208	351	114	80	86	315	522	316	110	262	167	433	151	85	81	525	406	478	686	655	50	734	50	956	706	181	132	174	56									
9	Число недействительных избирательных бюллетеней	202	12	12	10	3	1	2	9	17	5	8	3	1	0	1	1	0	0	1	4	5	2	0	2	1	2	1	0	1	7	7	10	20	15	0	15	1	7	9	4	2	0	1									
10	Число действительных избирательных бюллетеней	17011	1106	1296	1204	257	242	114	732	942	175	361	539	182	144	215	377	122	81	116	347	591	330	137	300	173	468	170	129	82	558	436	533	713	698	51	778	66	968	716	185	132	187	58									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
13	Бабурин Сергей Николаевич	97	5	13	5	0	0	0	4	4	1	5	0	1	0	0	2	1	3	0	3	1	1	2	3	1	2	0	1	0	10	7	3	0	3	0	6	0	7	3	0	0	0	0									
		0.56%	0.45%	0.99%	0.41%	0.00%	0.00%	0.00%	0.54%	0.42%	0.56%	1.36%	0.00%	0.55%	0.00%	0.00%	0.53%	0.82%	3.70%	0.00%	0.85%	0.17%	0.30%	1.46%	0.99%	0.57%	0.43%	0.00%	0.78%	0.00%	1.77%	1.58%	0.55%	0.00%	0.42%	0.00%	0.76%	0.00%	0.72%	0.41%	0.00%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	2975	209	279	269	37	31	18	143	180	28	65	59	22	1	9	44	9	5	7	47	116	63	9	33	22	47	3	7	9	100	67	66	202	191	2	95	3	242	163	33	17	19	4									
		17.28%	18.69%	21.33%	22.16%	14.23%	12.76%	15.52%	19.30%	18.77%	15.56%	17.62%	10.89%	12.02%	0.69%	4.17%	11.64%	7.38%	6.17%	5.98%	13.39%	19.46%	18.98%	6.57%	10.93%	12.64%	10.00%	1.75%	5.43%	10.84%	17.70%	15.12%	12.15%	27.56%	26.79%	3.92%	11.98%	4.48%	24.82%	22.48%	17.46%	12.69%	10.16%	6.78%									
15	Жириновский Владимир Вольфович	1170	73	52	50	10	9	4	61	69	18	26	17	10	2	8	16	2	4	3	18	50	15	11	16	6	8	6	5	10	54	33	50	83	113	7	70	4	73	69	17	8	7	3									
		6.80%	6.53%	3.98%	4.12%	3.85%	3.70%	3.45%	8.23%	7.19%	10.00%	7.05%	3.14%	5.46%	1.39%	3.70%	4.23%	1.64%	4.94%	2.56%	5.13%	8.39%	4.52%	8.03%	5.30%	3.45%	1.70%	3.51%	3.88%	12.05%	9.56%	7.45%	9.21%	11.32%	15.85%	13.73%	8.83%	5.97%	7.49%	9.52%	8.99%	5.97%	3.74%	5.08%									
16	Путин Владимир Владимирович	12329	782	908	840	206	194	87	513	666	127	254	453	146	140	191	304	108	68	102	272	405	244	115	234	133	399	156	114	60	382	321	398	408	372	41	601	57	624	467	127	105	156	49									
		71.63%	69.95%	69.42%	69.19%	79.23%	79.84%	75.00%	69.23%	69.45%	70.56%	68.83%	83.58%	79.78%	97.22%	88.43%	80.42%	88.52%	83.95%	87.18%	77.49%	67.95%	73.49%	83.94%	77.48%	76.44%	84.89%	91.23%	88.37%	72.29%	67.61%	72.46%	73.30%	55.66%	52.17%	80.39%	75.79%	85.07%	64.00%	64.41%	67.20%	78.36%	83.42%	83.05%									
17	Собчак Ксения Анатольевна	185	17	22	11	2	4	3	5	12	0	4	2	0	0	4	5	2	1	4	1	10	5	0	5	4	6	0	1	3	5	5	8	6	4	0	4	1	8	7	3	0	0	1									
		1.07%	1.52%	1.68%	0.91%	0.77%	1.65%	2.59%	0.67%	1.25%	0.00%	1.08%	0.37%	0.00%	0.00%	1.85%	1.32%	1.64%	1.23%	3.42%	0.28%	1.68%	1.51%	0.00%	1.66%	2.30%	1.28%	0.00%	0.78%	3.61%	0.88%	1.13%	1.47%	0.82%	0.56%	0.00%	0.50%	1.49%	0.82%	0.97%	1.59%	0.00%	0.00%	1.69%									
18	Сурайкин Максим Александрович	131	10	10	8	1	2	1	3	6	1	3	5	1	0	1	3	0	0	0	5	6	2	0	1	4	3	3	0	0	5	2	5	12	6	1	1	1	9	3	4	1	2	0									
		0.76%	0.89%	0.76%	0.66%	0.38%	0.82%	0.86%	0.40%	0.63%	0.56%	0.81%	0.92%	0.55%	0.00%	0.46%	0.79%	0.00%	0.00%	0.00%	1.42%	1.01%	0.60%	0.00%	0.33%	2.30%	0.64%	1.75%	0.00%	0.00%	0.88%	0.45%	0.92%	1.64%	0.84%	1.96%	0.13%	1.49%	0.92%	0.41%	2.12%	0.75%	1.07%	0.00%									
19	Титов Борис Юрьевич	61	5	5	11	1	2	1	2	1	0	2	2	0	0	0	2	0	0	0	1	0	0	0	4	0	2	1	1	0	1	0	2	2	5	0	1	0	2	1	1	0	2	1									
