Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Аксайская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №2167	УИК №2195	УИК №2493	УИК №2494	УИК №2549	УИК №2563	УИК №2564					
1	"Число избирателей, внесенных в список"	67271	1452	1722	1705	1593	1574	1278	1420	1965	1155	1747	1359	1102	1119	1917	1863	954	1226	1133	331	1268	1239	432	1805	185	304	927	161	1736	1808	1058	890	1337	841	421	417	192	720	1192	350	596	1156	656	194	77	897	916	459	788	1787	2224	570	1994	1200	89	354	211	1230	683	330	1439	1724	1740	2059					
2	Число полученных избирательных бюллетеней	65054	1426	1679	1663	1313	1484	1273	1364	1946	1038	1627	1292	1078	1099	1817	1859	956	1198	1057	311	1260	976	443	1788	179	298	933	165	1683	1901	1076	854	1321	820	410	403	189	708	1169	347	588	1160	649	184	75	887	896	427	771	1768	2188	560	1874	1162	87	346	211	1187	677	310	1381	1681	1727	1855					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47342	1067	1228	1032	1019	1323	779	1003	1579	835	1218	754	689	767	963	920	560	782	694	178	988	949	365	1451	138	193	530	153	980	804	808	729	1236	721	279	379	179	402	976	209	441	1043	531	158	68	769	625	347	482	1562	1900	507	1471	1014	83	314	211	673	564	237	1027	1186	918	1352					
5	"Число избирательных бюллетеней, выданных вне помещения"	3101	51	31	18	48	34	103	66	26	34	141	44	194	145	94	90	61	18	22	45	77	6	10	183	12	50	46	1	62	102	16	16	34	44	16	0	0	158	44	79	38	51	0	4	4	13	48	30	44	50	43	12	148	61	0	9	0	120	25	36	6	81	57	0					
6	Число погашенных избирательных бюллетеней	14610	308	420	613	246	127	391	295	341	169	268	494	195	187	760	849	335	398	340	88	195	21	68	154	29	55	357	11	641	995	252	109	51	55	115	24	10	148	149	59	109	66	118	22	3	105	223	50	245	156	245	41	255	87	4	23	0	394	88	37	348	414	752	503					
7	Число избирательных бюллетеней в переносных ящиках	3101	51	31	18	48	34	103	66	26	34	141	44	194	145	94	90	61	18	22	45	77	6	10	183	12	50	46	1	62	102	16	16	34	44	16	0	0	158	44	79	38	51	0	4	4	13	48	30	44	50	43	12	148	61	0	9	0	120	25	36	6	81	57	0					
8	Число бюллетеней в стационарных ящиках для голосования	47329	1067	1228	1032	1019	1323	779	1003	1579	835	1218	754	689	767	963	920	560	782	694	178	988	949	365	1451	138	193	530	153	980	804	808	729	1236	721	279	379	179	402	976	209	441	1043	531	158	68	769	625	347	482	1549	1900	507	1471	1014	83	314	211	673	564	237	1027	1186	918	1352					
9	Число недействительных избирательных бюллетеней	302	5	16	13	9	18	6	5	4	2	1	4	5	2	7	12	4	7	10	0	4	12	2	2	0	2	7	0	10	10	7	6	7	2	2	0	0	7	0	4	9	9	2	2	0	4	7	3	2	3	0	2	10	6	0	0	0	3	3	0	6	3	5	9					
10	Число действительных избирательных бюллетеней	50128	1113	1243	1037	1058	1339	876	1064	1601	867	1358	794	878	910	1050	998	617	793	706	223	1061	943	373	1632	150	241	569	154	1032	896	817	739	1263	763	293	379	179	553	1020	284	470	1085	529	160	72	778	666	374	524	1596	1943	517	1609	1069	83	323	211	790	586	273	1027	1264	970	1343					
11	Число полученных открепительных  удостоверений	1997	36	43	42	33	48	45	35	49	26	70	33	26	28	46	46	20	29	26	8	31	16	7	45	5	7	23	19	42	78	100	100	33	99	10	10	5	18	30	9	15	29	17	5	2	22	23	11	20	45	56	14	47	29	2	9	0	30	17	8	34	43	43	100					
12	Число выданных открепительных удостоверений	1061	22	25	18	11	33	35	14	24	19	34	29	17	10	19	33	20	16	12	0	24	16	3	36	2	2	23	9	42	77	57	67	10	5	3	2	0	6	11	0	3	9	8	0	1	6	6	2	5	9	26	6	6	6	0	2	0	12	6	1	17	42	30	72					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1350	6	7	7	243	71	7	29	2	4	10	5	12	8	6	22	6	1	2	3	10	454	134	9	0	5	5	2	14	12	5	2	11	3	1	2	1	4	2	0	2	1	2	4	0	4	4	26	8	5	3	3	81	18	0	4	0	5	4	1	11	18	9	10					
14	Число неиспользованных открепительных удостоверений	936	14	18	24	22	15	10	21	25	7	36	4	9	18	27	13	0	13	14	8	7	0	4	9	3	5	0	10	0	1	43	33	23	94	7	8	5	12	19	9	12	20	9	5	1	16	17	9	15	36	30	8	41	23	2	7	0	18	11	7	17	1	13	28					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																						
18	. Глазьев Сергей Юрьевич	1457	48	35	52	45	46	31	46	51	36	38	31	31	25	42	23	12	21	30	8	17	26	9	35	2	8	30	4	46	48	24	9	14	11	9	2	1	12	7	10	9	21	15	4	0	12	17	7	31	29	50	5	47	11	0	4	1	20	22	6	54	33	65	19					
		2.89%	4.29%	2.78%	4.95%	4.22%	3.39%	3.51%	4.30%	3.18%	4.14%	2.80%	3.88%	3.51%	2.74%	3.97%	2.28%	1.93%	2.62%	4.19%	3.59%	1.60%	2.72%	2.40%	2.14%	1.33%	3.29%	5.21%	2.60%	4.41%	5.30%	2.91%	1.21%	1.10%	1.44%	3.05%	0.53%	0.56%	2.14%	0.69%	3.47%	1.88%	1.92%	2.82%	2.47%	0.00%	1.53%	2.53%	1.86%	5.89%	1.81%	2.57%	0.96%	2.90%	1.02%	0.00%	1.24%	0.47%	2.52%	3.74%	2.20%	5.23%	2.60%	6.67%	1.41%					
19	. Малышкин Олег Александрович	816	15	26	9	10	19	17	17	17	13	27	16	12	31	26	27	7	16	12	11	6	13	14	16	1	6	13	6	21	18	21	17	12	10	10	2	1	2	7	2	14	7	11	1	1	7	17	6	13	3	34	2	34	7	2	3	3	1	20	1	19	26	26	32					
