Выборы Президента Российской Федерации																																																																
Дата голосования: 04.03.2012																																																																
																																																																
Наименование Избирательной комиссии:    Волгодонская городская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	Число участковых избирательных комиссий, приступивших к передаче сведений	53																																																														
																																																																
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №2456									
1	Число избирателей, включенных в список избирателей	132964	2903	2099	2325	2973	2202	2403	2269	2242	2841	2008	2335	2397	2361	2498	2115	2383	2259	2370	1366	2088	1565	2912	2986	2690	2934	2705	2397	2703	2747	2749	2560	2637	2537	2455	2826	2806	2895	2882	2885	3051	2927	2808	2410	2563	2733	2705	2429	2078	2409	2115	2251	2767	2410									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	120500	2600	1900	2100	2300	1900	2200	2100	2300	2600	1700	2200	2200	2100	2300	1900	2200	2100	2100	1100	1900	1400	2700	2700	2500	2700	2400	2200	2400	2400	2500	2400	2400	2400	2100	2600	2600	2700	2700	2700	2700	2700	2600	2200	2300	2500	2500	2200	1900	2100	1900	2000	2600	2000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	77471	1556	1187	1497	1449	1357	1270	1204	1518	1631	1073	1128	1315	1431	1391	1322	1431	1196	1419	800	1105	985	1749	1592	1841	2106	1488	1401	1627	1606	1498	1643	1522	1490	1327	1716	1492	1859	1653	1797	1688	1789	1640	1375	1526	1641	1596	1295	1215	1414	1185	1235	1708	1492									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3632	204	128	73	436	70	56	52	107	95	75	53	92	91	64	33	68	34	51	32	142	97	48	41	52	33	59	20	28	39	159	50	33	25	138	29	42	44	59	34	254	83	40	34	31	32	25	15	24	18	21	17	32	20									
6	Число погашенных избирательных бюллетеней	39397	840	585	530	415	473	874	844	675	874	552	1019	793	578	845	545	701	870	630	268	653	318	903	1067	607	561	853	779	745	755	843	707	845	885	635	855	1066	797	988	869	758	828	920	791	743	827	879	890	661	668	694	748	860	488									
