Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Дубовская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  2435	УИК  2436					
1	"Число избирателей, внесенных в список"	16325	1645	1498	733	215	499	403	753	934	215	1138	375	287	807	722	767	294	902	625	486	1380	1647					
2	Число полученных избирательных бюллетеней	17186	1653	1586	751	212	523	425	768	967	245	1260	395	288	888	751	812	304	976	673	532	1467	1710					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11037	1230	1047	500	204	424	330	369	579	130	788	285	123	541	340	516	167	515	417	307	1043	1182					
5	"Число избирательных бюллетеней, выданных вне помещения"	2674	114	65	181	0	56	17	287	150	67	125	67	103	181	295	179	98	283	177	70	60	99					
6	Число погашенных избирательных бюллетеней	3475	309	474	70	8	43	78	112	238	48	347	43	62	166	116	117	39	178	79	155	364	429					
7	Число избирательных бюллетеней в переносных ящиках	2674	114	65	181	0	56	17	287	150	67	125	67	103	181	295	179	98	283	177	70	60	99					
8	Число бюллетеней в стационарных ящиках для голосования	11034	1227	1047	500	204	424	330	369	579	130	788	285	123	541	340	516	167	515	417	307	1043	1182					
9	Число недействительных избирательных бюллетеней	82	11	6	5	1	2	3	0	7	0	2	0	2	4	0	4	1	4	2	2	21	5					
10	Число действительных избирательных бюллетеней	13626	1330	1106	676	203	478	344	656	722	197	911	352	224	718	635	691	264	794	592	375	1082	1276					
11	Число полученных открепительных  удостоверений	698	69	65	5	5	5	5	15	25	25	75	25	5	41	20	45	15	67	21	30	55	80					
12	Число выданных открепительных удостоверений	666	69	63	5	1	4	2	12	22	25	69	25	5	41	20	41	15	66	19	29	55	78					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	6	10	2	2	3	1	5	5	8	8	4	2	7	3	5	1	6	3	4	4	17					
14	Число неиспользованных открепительных удостоверений	32	0	2	0	4	1	3	3	3	0	6	0	0	0	0	4	0	1	2	1	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	301	18	27	13	1	6	3	9	18	6	35	6	3	4	15	12	8	23	6	9	24	55					
		2.20%	1.34%	2.43%	1.91%	0.49%	1.25%	0.86%	1.37%	2.47%	3.05%	3.83%	1.70%	1.33%	0.55%	2.36%	1.73%	3.02%	2.88%	1.01%	2.39%	2.18%	4.29%					
19	. Малышкин Олег Александрович	366	29	40	16	0	17	10	15	23	7	20	14	3	13	7	7	9	23	17	15	31	50					
		2.67%	2.16%	3.60%	2.35%	0.00%	3.54%	2.88%	2.29%	3.16%	3.55%	2.19%	3.98%	1.33%	1.80%	1.10%	1.01%	3.40%	2.88%	2.86%	3.98%	2.81%	3.90%					
20	. Миронов Сергей Михайлович	80	4	10	3	0	2	4	3	4	1	6	1	0	2	3	3	1	4	4	1	7	17					
		0.58%	0.30%	0.90%	0.44%	0.00%	0.42%	1.15%	0.46%	0.55%	0.51%	0.66%	0.28%	0.00%	0.28%	0.47%	0.43%	0.38%	0.50%	0.67%	0.27%	0.63%	1.33%					
21	. Путин Владимир Владимирович	9971	1052	824	466	175	382	257	556	529	146	622	259	189	504	471	535	199	502	365	240	812	886					
		72.74%	78.45%	74.10%	68.43%	85.78%	79.58%	74.06%	84.76%	72.57%	74.11%	68.13%	73.58%	83.63%	69.81%	74.17%	76.98%	75.09%	62.91%	61.45%	63.66%	73.62%	69.16%					
22	. Хакамада Ирина Муцуовна	290	18	15	16	2	6	2	9	15	2	21	6	2	32	27	23	2	17	11	22	8	34					
		2.12%	1.34%	1.35%	2.35%	0.98%	1.25%	0.58%	1.37%	2.06%	1.02%	2.30%	1.70%	0.88%	4.43%	4.25%	3.31%	0.75%	2.13%	1.85%	5.84%	0.73%	2.65%					
23	. Харитонов Николай Михайлович	2390	188	167	152	21	59	57	57	128	30	187	64	24	154	109	100	39	214	174	78	181	207					
		17.44%	14.02%	15.02%	22.32%	10.29%	12.29%	16.43%	8.69%	17.56%	15.23%	20.48%	18.18%	10.62%	21.33%	17.17%	14.39%	14.72%	26.82%	29.29%	20.69%	16.41%	16.16%					
																												
24	Против всех	228	21	23	10	4	6	11	7	5	5	20	2	3	9	3	11	6	11	15	10	19	27					
		1.66%	1.57%	2.07%	1.47%	1.96%	1.25%	3.17%	1.07%	0.69%	2.54%	2.19%	0.57%	1.33%	1.25%	0.47%	1.58%	2.26%	1.38%	2.53%	2.65%	1.72%	2.11%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
