Выборы Президента Российской Федерации																																																																													
Дата голосования: 18.03.2018																																																																													
																																																																													
Наименование Избирательной комиссии:    Красносулинская																																																																													
																																																																													
Сводная таблица итогов голосования																																																																													
																																																																													
	Число участковых избирательных комиссий	66																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																											
																																																																													
		Сумма	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016									
1	"Число избирателей, включенных в список избирателей"	57743	2020	1514	1676	1530	947	1011	974	965	1372	455	1707	2006	1558	1147	1515	1728	1648	1783	1260	1086	754	1121	1440	341	837	1195	112	592	797	306	1803	462	447	495	236	460	539	332	279	543	242	356	283	150	393	75	1340	1548	634	2273	740	235	289	941	369	322	1278	393	398	165	881	212	828	704	1544	157									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53363	1826	1373	1589	1393	859	932	889	909	1304	415	1585	1882	1400	1049	1389	1580	1428	1626	1158	1018	698	1048	1327	310	775	1236	104	557	732	294	1643	460	391	473	230	448	556	297	252	523	222	325	257	140	367	65	1205	1369	578	2083	672	237	265	875	319	291	1182	352	379	158	832	199	812	650	1427	144									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31369	1050	645	715	698	397	415	459	423	620	208	821	937	638	491	947	740	697	820	554	502	350	535	584	300	645	867	90	414	675	194	875	257	233	243	173	362	420	159	154	393	169	243	137	89	290	40	991	816	270	1145	515	201	211	688	297	205	936	256	229	114	691	165	633	542	694	102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3887	122	59	51	55	66	78	50	62	94	49	48	81	41	102	68	124	151	49	339	45	15	62	65	0	40	93	0	63	44	51	152	38	38	56	35	39	40	21	48	33	26	40	53	35	27	20	97	85	20	62	77	0	28	94	9	9	90	17	28	28	48	10	54	72	183	8									
6	Число погашенных избирательных бюллетеней	18105	654	669	823	640	396	439	380	424	590	158	716	864	721	456	372	716	580	757	265	471	333	451	678	10	90	276	14	80	13	49	616	165	120	174	22	47	96	117	50	97	27	42	67	16	50	5	117	468	288	876	80	36	26	93	13	77	156	79	122	16	93	24	125	36	550	34									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3887	122	59	51	55	66	78	50	62	94	49	48	81	41	102	68	124	151	49	339	45	15	62	65	0	40	93	0	63	44	51	152	38	38	56	35	39	40	21	48	33	26	40	53	35	27	20	97	85	20	62	77	0	28	94	9	9	90	17	28	28	48	10	54	72	183	8									
8	Число бюллетеней в стационарных ящиках для голосования	31364	1048	645	715	698	397	415	459	423	620	208	821	937	638	491	946	740	697	820	554	502	350	535	584	300	645	867	90	414	675	194	875	257	233	243	173	362	420	159	154	393	169	243	137	89	290	40	991	816	270	1145	515	201	211	686	297	205	936	256	229	114	691	165	633	542	694	102									
9	Число недействительных избирательных бюллетеней	283	16	4	9	11	7	5	15	7	8	4	10	12	8	1	8	12	7	9	8	9	3	8	5	0	3	6	0	1	1	0	12	2	1	3	0	1	4	0	0	3	0	0	0	0	1	0	9	0	6	20	6	2	3	2	0	0	2	1	0	0	0	0	2	0	6	0									
10	Число действительных избирательных бюллетеней	34968	1154	700	757	742	456	488	494	478	706	253	859	1006	671	592	1006	852	841	860	885	538	362	589	644	300	682	954	90	476	718	245	1015	293	270	296	208	400	456	180	202	423	195	283	190	124	316	60	1079	901	284	1187	586	199	236	778	306	214	1024	272	257	142	739	175	685	614	871	110									
11	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
