Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Мартыновская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638					
1	"Число избирателей, внесенных в список"	27387	2921	2138	76	203	559	365	215	455	259	50	283	137	608	235	204	764	258	217	2170	459	475	471	690	258	274	123	186	999	674	756	623	510	121	1839	1119	886	1216	540	713	372	819	109	888	80	70					
2	Число полученных избирательных бюллетеней	27909	3011	2198	72	203	571	375	228	452	248	50	282	136	616	245	203	762	260	213	2212	472	474	480	696	261	275	124	188	1023	677	765	627	521	122	1916	1149	908	1222	562	713	388	845	109	902	79	74					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19237	1824	1220	69	189	456	253	181	347	229	42	255	98	480	213	186	536	177	160	1243	284	319	362	512	199	187	99	142	768	524	603	522	378	103	1139	693	672	887	410	555	264	646	104	563	76	68					
5	"Число избирательных бюллетеней, выданных вне помещения"	1653	108	157	0	0	38	22	13	32	2	0	0	0	20	8	5	36	24	13	161	45	33	25	101	26	50	5	24	55	0	12	3	19	6	188	141	5	20	33	7	32	96	0	88	0	0					
6	Число погашенных избирательных бюллетеней	7019	1079	821	3	14	77	100	34	73	17	8	27	38	116	24	12	190	59	40	808	143	122	93	83	36	38	20	22	200	153	150	102	124	13	589	315	231	315	119	151	92	103	5	251	3	6					
7	Число избирательных бюллетеней в переносных ящиках	1653	108	157	0	0	38	22	13	32	2	0	0	0	20	8	5	36	24	13	161	45	33	25	101	26	50	5	24	55	0	12	3	19	6	188	141	5	20	33	7	32	96	0	88	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	19236	1823	1220	69	189	456	253	181	347	229	42	255	98	480	213	186	536	177	160	1243	284	319	362	512	199	187	99	142	768	524	603	522	378	103	1139	693	672	887	410	555	264	646	104	563	76	68					
9	Число недействительных избирательных бюллетеней	245	23	8	0	0	8	4	0	0	1	2	4	1	1	2	1	8	1	0	18	5	12	9	2	4	1	0	1	14	7	22	10	14	0	10	10	3	15	7	2	3	11	0	0	0	1					
10	Число действительных избирательных бюллетеней	20644	1908	1369	69	189	486	271	194	379	230	40	251	97	499	219	190	564	200	173	1386	324	340	378	611	221	236	104	165	809	517	593	515	383	109	1317	824	674	892	436	560	293	731	104	651	76	67					
11	Число полученных открепительных  удостоверений	484	60	35	2	3	15	6	13	8	4	2	4	2	10	10	3	12	4	4	26	8	8	10	7	4	5	2	3	25	1	2	10	8	2	35	24	15	14	15	12	6	26	0	15	2	2					
12	Число выданных открепительных удостоверений	357	56	26	1	1	15	6	12	5	2	1	1	1	8	10	0	2	0	0	23	1	3	9	6	3	0	2	1	25	0	0	7	6	0	27	18	15	9	15	2	4	26	0	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	24	3	1	2	2	1	2	4	1	2	1	1	2	1	1	3	0	1	6	0	1	3	1	1	0	1	1	4	1	0	3	0	0	5	6	4	6	0	2	0	6	2	0	1	2					
14	Число неиспользованных открепительных удостоверений	127	4	9	1	2	0	0	1	3	2	1	3	1	2	0	3	10	4	4	3	7	5	1	1	1	5	0	2	0	1	2	3	2	2	8	6	0	5	0	10	2	0	0	7	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	498	64	27	1	2	10	8	4	14	3	0	12	1	6	6	0	7	5	2	41	14	7	6	12	8	5	1	3	17	10	6	13	12	2	32	21	17	39	6	9	3	21	4	17	0	0					
		2.38%	3.31%	1.96%	1.45%	1.06%	2.02%	2.91%	2.06%	3.69%	1.30%	0.00%	4.71%	1.02%	1.20%	2.71%	0.00%	1.22%	2.49%	1.16%	2.92%	4.26%	1.99%	1.55%	1.96%	3.56%	2.11%	0.96%	1.81%	2.07%	1.91%	0.98%	2.48%	3.02%	1.83%	2.41%	2.52%	2.51%	4.30%	1.35%	1.60%	1.01%	2.83%	3.85%	2.61%	0.00%	0.00%					
19	. Малышкин Олег Александрович	668	61	44	0	4	11	7	10	9	9	1	2	4	21	9	2	30	1	6	40	13	24	5	23	8	8	2	7	32	25	14	27	12	3	31	17	12	30	7	28	11	23	9	25	1	0					
		3.20%	3.16%	3.20%	0.00%	2.12%	2.23%	2.55%	5.15%	2.37%	3.90%	2.38%	0.78%	4.08%	4.20%	4.07%	1.05%	5.24%	0.50%	3.47%	2.85%	3.95%	6.82%	1.29%	3.75%	3.56%	3.38%	1.92%	4.22%	3.89%	4.77%	2.28%	5.14%	3.02%	2.75%	2.34%	2.04%	1.77%	3.31%	1.58%	4.98%	3.72%	3.10%	8.65%	3.84%	1.32%	0.00%					
20	. Миронов Сергей Михайлович	157	13	11	0	6	2	4	0	1	0	0	2	1	3	2	0	2	0	0	14	3	4	4	1	4	0	0	1	6	4	7	9	2	0	12	8	8	8	0	7	3	2	0	3	0	0					
		0.75%	0.67%	0.80%	0.00%	3.17%	0.40%	1.45%	0.00%	0.26%	0.00%	0.00%	0.78%	1.02%	0.60%	0.90%	0.00%	0.35%	0.00%	0.00%	1.00%	0.91%	1.14%	1.03%	0.16%	1.78%	0.00%	0.00%	0.60%	0.73%	0.76%	1.14%	1.71%	0.50%	0.00%	0.90%	0.96%	1.18%	0.88%	0.00%	1.25%	1.01%	0.27%	0.00%	0.46%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14024	1207	859	53	136	380	218	163	200	184	24	200	71	375	139	157	393	135	130	907	205	240	297	469	155	135	78	106	552	278	389	341	308	75	795	519	487	665	329	426	216	478	78	370	47	55					
		67.14%	62.51%	62.38%	76.81%	71.96%	76.92%	79.27%	84.02%	52.77%	79.65%	57.14%	78.43%	72.45%	75.00%	62.90%	82.20%	68.71%	67.16%	75.14%	64.60%	62.31%	68.18%	76.74%	76.51%	68.89%	56.96%	75.00%	63.86%	67.07%	53.05%	63.25%	64.95%	77.58%	68.81%	59.91%	62.23%	71.94%	73.32%	74.27%	75.80%	72.97%	64.42%	75.00%	56.84%	61.84%	80.88%					
22	. Хакамада Ирина Муцуовна	374	32	25	0	10	19	1	1	7	6	5	6	0	7	4	4	7	4	5	34	2	8	3	15	5	6	7	3	7	18	6	13	14	2	23	5	12	11	7	7	5	7	2	6	2	1					
		1.79%	1.66%	1.82%	0.00%	5.29%	3.85%	0.36%	0.52%	1.85%	2.60%	11.90%	2.35%	0.00%	1.40%	1.81%	2.09%	1.22%	1.99%	2.89%	2.42%	0.61%	2.27%	0.78%	2.45%	2.22%	2.53%	6.73%	1.81%	0.85%	3.44%	0.98%	2.48%	3.53%	1.83%	1.73%	0.60%	1.77%	1.21%	1.58%	1.25%	1.69%	0.94%	1.92%	0.92%	2.63%	1.47%					
23	. Харитонов Николай Михайлович	4636	484	379	14	30	55	31	15	147	28	8	29	19	81	55	27	116	55	25	329	80	51	60	85	37	81	16	45	187	177	164	107	32	22	403	241	134	122	82	78	45	193	11	221	24	11					
		22.19%	25.06%	27.52%	20.29%	15.87%	11.13%	11.27%	7.73%	38.79%	12.12%	19.05%	11.37%	19.39%	16.20%	24.89%	14.14%	20.28%	27.36%	14.45%	23.43%	24.32%	14.49%	15.50%	13.87%	16.44%	34.18%	15.38%	27.11%	22.72%	33.78%	26.67%	20.38%	8.06%	20.18%	30.37%	28.90%	19.79%	13.45%	18.51%	13.88%	15.20%	26.01%	10.58%	33.95%	31.58%	16.18%					
																																																				
24	Против всех	287	47	24	1	1	9	2	1	1	0	2	0	1	6	4	0	9	0	5	21	7	6	3	6	4	1	0	0	8	5	7	5	3	5	21	13	4	17	5	5	10	7	0	9	2	0					
		1.37%	2.43%	1.74%	1.45%	0.53%	1.82%	0.73%	0.52%	0.26%	0.00%	4.76%	0.00%	1.02%	1.20%	1.81%	0.00%	1.57%	0.00%	2.89%	1.50%	2.13%	1.70%	0.78%	0.98%	1.78%	0.42%	0.00%	0.00%	0.97%	0.95%	1.14%	0.95%	0.76%	4.59%	1.58%	1.56%	0.59%	1.87%	1.13%	0.89%	3.38%	0.94%	0.00%	1.38%	2.63%	0.00%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
