Выборы Президента Российской Федерации																																																																					
Дата голосования: 18.03.2018																																																																					
																																																																					
Наименование Избирательной комиссии:    Миллеровская																																																																					
																																																																					
Сводная таблица итогов голосования																																																																					
																																																																					
	Число участковых избирательных комиссий	58																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	58																																																																			
																																																																					
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174									
1	"Число избирателей, включенных в список избирателей"	52478	2399	2069	2378	1570	1622	1557	2522	2012	1107	2224	2648	414	1759	1511	2415	520	786	154	615	468	113	550	612	2117	265	611	118	266	474	129	111	126	2724	179	246	944	547	570	238	1096	391	585	242	738	567	204	634	163	1147	601	566	469	363	562	1115	550	522	273									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50915	2350	2000	2300	1550	1500	1550	2450	1950	1050	2200	2600	340	1700	1450	2550	500	750	150	600	450	110	550	600	2050	250	600	125	250	450	130	115	125	2600	180	250	900	500	550	240	1050	390	550	240	700	550	200	600	170	1100	550	550	450	350	550	1050	550	500	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29586	1742	1083	1208	1150	762	1153	1364	903	461	1004	1668	270	1049	815	1495	223	342	106	271	254	76	389	300	980	185	382	70	190	244	104	86	93	1173	98	174	484	292	378	186	475	239	339	126	419	344	90	343	96	608	288	449	293	218	416	787	390	306	153									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2989	65	68	59	44	116	50	45	55	36	67	37	21	65	41	28	53	57	25	55	77	15	62	87	154	16	103	14	13	27	8	5	9	94	22	1	62	64	86	12	224	81	38	10	67	62	37	33	15	73	50	35	54	25	82	60	50	43	32									
6	Число погашенных избирательных бюллетеней	18340	543	849	1033	356	622	347	1041	992	553	1129	895	49	586	594	1027	224	351	19	274	119	19	99	213	916	49	115	41	47	179	18	24	23	1333	60	75	354	144	86	42	351	70	173	104	214	144	73	224	59	419	212	66	103	107	52	203	110	151	65									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2989	65	68	59	44	116	50	45	55	36	67	37	21	65	41	28	53	57	25	55	77	15	62	87	154	16	103	14	13	27	8	5	9	94	22	1	62	64	86	12	224	81	38	10	67	62	37	33	15	73	50	35	54	25	82	60	50	43	32									
8	Число бюллетеней в стационарных ящиках для голосования	29545	1742	1083	1206	1150	762	1153	1364	903	461	1004	1631	270	1049	815	1495	223	342	106	271	254	76	389	300	980	185	382	70	190	244	104	86	93	1173	98	174	484	292	378	186	475	239	339	126	419	344	90	343	96	608	288	449	293	218	416	785	390	306	153									
9	Число недействительных избирательных бюллетеней	201	6	3	5	0	6	0	8	10	2	7	11	2	10	9	15	4	3	1	4	1	0	0	4	8	0	1	1	0	0	0	0	0	10	0	0	0	2	0	0	4	0	1	2	5	2	0	3	12	5	1	1	0	1	0	11	2	14	4									
10	Число действительных избирательных бюллетеней	32333	1801	1148	1260	1194	872	1203	1401	948	495	1064	1657	289	1104	847	1508	272	396	130	322	330	91	451	383	1126	201	484	83	203	271	112	91	102	1257	120	175	546	354	464	198	695	320	376	134	481	404	127	373	99	676	337	483	347	242	498	834	438	335	181									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
13	Бабурин Сергей Николаевич	159	6	4	6	4	7	5	6	8	4	10	8	1	0	3	5	0	3	0	4	2	0	3	0	8	0	0	0	1	4	0	1	1	10	1	2	3	2	0	0	0	1	2	1	0	3	0	3	3	9	0	2	1	0	3	4	5	0	0									
