Выборы Президента Российской Федерации																																																																																							
Дата голосования: 02.03.2008																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Неклиновская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
	Число участковых избирательных комиссий	80																																																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	80																																																																																					
																																																																																							
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586	УИК №2638	УИК №2642					
1	"Число избирателей, включенных в списки избирателей"	66802	2854	2880	2707	2821	1059	379	80	781	205	408	778	774	1229	1185	1150	1596	1151	483	1852	2447	1578	1618	1479	719	591	675	1247	1572	161	108	679	158	144	101	148	400	2245	2515	1084	449	417	1378	695	1149	626	781	655	297	286	1113	224	742	436	1675	73	65	134	860	86	731	232	269	1373	147	179	304	1541	246	681	523	631	143	353	93	128	422	230	865	864	665					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59620	2520	2500	2470	2520	955	345	65	690	185	360	700	700	1110	1075	1035	1445	1040	435	1650	2195	1400	1450	1350	650	490	590	1075	1400	145	100	605	165	130	95	140	365	1970	2280	1000	400	360	1150	580	960	525	665	575	260	250	970	200	635	350	1615	80	60	115	795	80	650	220	245	1240	140	165	275	1410	230	640	470	575	125	330	75	115	380	205	805	735	570					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	38644	1718	1904	1286	1455	766	244	51	363	161	318	546	475	568	610	585	828	669	235	1026	1124	803	829	722	448	352	352	464	1078	103	69	462	138	104	75	107	219	1279	1340	434	240	237	851	505	675	451	519	446	221	137	677	158	495	339	1046	42	25	72	494	70	518	176	214	903	123	165	225	832	187	463	343	365	118	229	57	84	324	137	433	427	311					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5431	148	100	226	76	132	78	14	137	17	42	151	216	51	79	118	111	96	45	267	136	98	73	73	21	26	59	43	37	36	24	66	11	26	7	28	65	93	241	105	67	54	72	31	39	50	88	20	29	94	120	23	113	10	97	22	29	35	125	8	51	22	8	186	11	0	17	91	35	49	44	72	0	23	15	10	0	20	70	101	108					
6	Число погашенных избирательных бюллетеней	15544	654	496	958	989	57	23	0	190	7	0	3	9	491	386	332	506	275	155	357	935	499	548	555	181	112	179	568	285	6	7	77	16	0	13	5	81	598	699	461	93	69	227	44	246	24	58	109	10	19	173	19	27	1	472	16	6	8	176	2	81	22	23	151	6	0	33	487	8	128	83	138	7	78	3	21	56	48	302	207	150					
