Выборы Президента Российской Федерации																																																								
Дата голосования: 02.03.2008																																																								
																																																								
Наименование Избирательной комиссии:    Октябрьская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
	Число участковых избирательных комиссий	49																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																						
																																																								
		Сумма	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №2483	УИК №2484	УИК №2506	УИК №2507					
1	"Число избирателей, включенных в списки избирателей"	55613	896	1128	748	1073	267	374	393	227	1955	1343	310	756	168	272	1351	222	1340	1446	1505	460	973	225	846	1138	1867	1109	90	1266	496	2710	1061	2424	269	760	939	2292	1946	2212	841	2567	1970	1555	2812	2732	1537	317	314	1200	911					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	54570	900	1100	750	1050	270	370	400	230	1900	1300	300	750	170	280	1350	220	1300	1450	1500	470	950	220	850	1100	2000	1100	90	1250	500	2700	1000	2400	270	770	900	2100	2000	2000	850	2500	2000	1500	2700	2600	1500	310	300	1200	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	45343	694	955	662	951	232	349	335	197	1643	1150	239	612	130	246	1123	199	1020	1148	1207	339	784	198	635	876	1714	830	77	1057	428	2155	914	2049	152	707	888	1951	1561	1775	755	1977	1708	1083	2129	2189	1080	268	252	1010	710					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2527	93	31	13	25	0	3	41	0	19	8	40	63	13	6	37	8	113	90	72	52	43	0	75	89	153	89	10	15	7	95	10	11	82	36	2	21	36	215	21	333	6	72	64	95	134	13	25	10	38					
6	Число погашенных избирательных бюллетеней	6699	113	114	75	74	38	18	24	33	238	142	21	75	27	28	189	13	167	212	221	79	123	22	140	135	133	181	3	178	65	450	76	340	36	27	10	128	403	10	74	190	286	345	507	316	286	29	23	180	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2527	93	31	13	25	0	3	41	0	19	8	40	63	13	6	37	8	113	90	72	52	43	0	75	89	153	89	10	15	7	95	10	11	82	36	2	21	36	215	21	333	6	72	64	95	134	13	25	10	38					
8	Число бюллетеней в стационарных ящиках для голосования	45343	694	955	662	951	232	349	335	197	1643	1150	239	612	130	246	1123	199	1020	1148	1207	339	784	198	635	876	1714	830	77	1057	428	2155	914	2049	152	707	888	1951	1561	1775	755	1977	1708	1083	2129	2189	1080	268	252	1010	710					
9	Число недействительных избирательных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	47858	787	986	675	976	232	352	376	197	1662	1158	279	675	143	252	1160	207	1133	1238	1279	391	827	198	710	965	1867	919	87	1072	435	2243	924	2060	234	743	890	1972	1597	1990	776	2310	1714	1150	2193	2284	1214	281	277	1020	748					
11	Число полученных открепительных  удостоверений	1390	10	10	10	20	5	10	10	5	15	15	5	10	5	5	15	5	20	15	15	5	10	5	10	10	20	20	5	20	10	20	10	30	5	10	10	170	180	150	20	150	200	15	30	20	20	5	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	483	3	4	3	19	5	0	1	1	6	2	1	2	0	0	9	0	15	7	3	2	8	0	5	6	11	15	0	6	1	4	1	2	1	7	3	36	29	50	8	70	75	13	17	17	6	1	2	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	362	1	3	0	2	4	0	6	0	6	5	10	2	0	0	4	2	3	0	2	0	0	0	7	5	2	1	0	2	0	0	0	1	1	1	0	102	6	113	3	17	18	6	6	9	4	0	2	0	6					
14	Число неиспользованных открепительных удостоверений	907	7	6	7	1	0	10	9	4	9	13	4	8	5	5	6	5	5	8	12	3	2	5	5	4	9	5	5	14	9	16	9	28	4	3	7	134	151	100	12	80	125	2	13	3	14	4	3	9	5					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	3	0	1	0	0	2	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
