Выборы Президента Российской Федерации																																																					
Дата голосования: 18.03.2018																																																					
																																																					
Наименование Избирательной комиссии:    Чертковская																																																					
																																																					
Сводная таблица итогов голосования																																																					
																																																					
	Число участковых избирательных комиссий	42																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	42																																																			
																																																					
		Сумма	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476									
1	"Число избирателей, включенных в список избирателей"	26231	952	799	1053	881	681	872	420	1275	774	901	1119	313	173	447	206	204	532	710	522	817	652	383	336	761	561	530	516	552	403	1135	571	492	1099	560	497	660	608	805	391	539	364	165									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24905	900	800	900	800	600	800	400	1200	700	800	1100	300	170	400	200	200	500	700	500	800	600	380	300	700	500	550	500	500	400	1100	580	500	1000	550	500	600	600	800	400	550	350	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18448	829	693	535	678	511	630	359	996	638	633	813	261	144	286	170	171	331	640	401	422	306	312	284	517	386	386	286	411	190	693	490	427	616	312	291	418	451	668	243	310	168	142									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3397	66	36	134	55	68	99	40	121	37	86	132	34	15	85	26	16	110	55	76	47	67	0	9	100	65	74	55	80	118	221	75	21	189	141	120	121	83	85	99	171	145	20									
6	Число погашенных избирательных бюллетеней	3060	5	71	231	67	21	71	1	83	25	81	155	5	11	29	4	13	59	5	23	331	227	68	7	83	49	90	159	9	92	186	15	52	195	97	89	61	66	47	58	69	37	13									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3397	66	36	134	55	68	99	40	121	37	86	132	34	15	85	26	16	110	55	76	47	67	0	9	100	65	74	55	80	118	221	75	21	189	141	120	121	83	85	99	171	145	20									
8	Число бюллетеней в стационарных ящиках для голосования	18448	829	693	535	678	511	630	359	996	638	633	813	261	144	286	170	171	331	640	401	422	306	312	284	517	386	386	286	411	190	693	490	427	616	312	291	418	451	668	243	310	168	142									
9	Число недействительных избирательных бюллетеней	137	7	9	6	2	0	7	0	10	3	8	4	1	1	2	0	2	1	1	0	2	5	3	7	8	0	7	5	3	2	6	1	2	8	0	2	0	2	3	1	5	1	0									
10	Число действительных избирательных бюллетеней	21708	888	720	663	731	579	722	399	1107	672	711	941	294	158	369	196	185	440	694	477	467	368	309	286	609	451	453	336	488	306	908	564	446	797	453	409	539	532	750	341	476	312	162									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
13	Бабурин Сергей Николаевич	94	2	2	2	3	4	6	1	0	2	5	2	2	0	1	1	1	0	8	0	4	2	0	2	2	1	0	4	3	0	8	0	1	8	7	1	2	1	1	0	4	1	0									
		0.43%	0.22%	0.27%	0.30%	0.41%	0.69%	0.82%	0.25%	0.00%	0.30%	0.70%	0.21%	0.68%	0.00%	0.27%	0.51%	0.53%	0.00%	1.15%	0.00%	0.85%	0.54%	0.00%	0.68%	0.32%	0.22%	0.00%	1.17%	0.61%	0.00%	0.88%	0.00%	0.22%	0.99%	1.55%	0.24%	0.37%	0.19%	0.13%	0.00%	0.83%	0.32%	0.00%									
14	Грудинин Павел Николаевич	1890	57	66	62	88	44	85	18	99	56	80	88	10	2	20	9	11	42	63	27	67	52	25	12	48	19	85	39	39	28	101	23	22	106	77	27	34	25	37	23	36	32	6									
		8.65%	6.37%	9.05%	9.27%	12.01%	7.60%	11.66%	4.51%	8.86%	8.30%	11.13%	9.31%	3.39%	1.26%	5.39%	4.59%	5.88%	9.52%	9.06%	5.66%	14.29%	13.94%	8.01%	4.10%	7.78%	4.21%	18.48%	11.44%	7.94%	9.09%	11.05%	4.07%	4.91%	13.17%	16.99%	6.57%	6.31%	4.68%	4.91%	6.73%	7.48%	10.22%	3.70%									
15	Жириновский Владимир Вольфович	1185	76	28	52	35	28	29	16	53	25	34	43	13	5	26	13	11	17	25	10	33	18	25	10	51	17	28	22	15	34	66	7	43	53	36	35	24	56	21	16	25	5	6									
		5.42%	8.49%	3.84%	7.77%	4.77%	4.84%	3.98%	4.01%	4.74%	3.70%	4.73%	4.55%	4.41%	3.14%	7.01%	6.63%	5.88%	3.85%	3.60%	2.10%	7.04%	4.83%	8.01%	3.41%	8.27%	3.77%	6.09%	6.45%	3.05%	11.04%	7.22%	1.24%	9.60%	6.58%	7.95%	8.52%	4.45%	10.49%	2.79%	4.68%	5.20%	1.60%	3.70%									
16	Путин Владимир Владимирович	18264	737	614	531	598	496	592	359	942	586	582	795	264	151	313	173	158	376	592	435	358	290	255	257	503	409	337	270	419	244	722	524	375	625	322	336	474	439	689	297	406	271	148									
		83.61%	82.35%	84.22%	79.37%	81.58%	85.66%	81.21%	89.97%	84.33%	86.81%	80.95%	84.13%	89.49%	94.97%	84.37%	88.27%	84.49%	85.26%	85.18%	91.19%	76.33%	77.75%	81.73%	87.71%	81.52%	90.69%	73.26%	79.18%	85.34%	79.22%	78.99%	92.74%	83.71%	77.64%	71.08%	81.75%	87.94%	82.21%	91.50%	86.84%	84.41%	86.58%	91.36%									
17	Собчак Ксения Анатольевна	86	5	4	4	1	7	1	2	5	0	4	3	2	0	3	0	3	1	1	1	0	3	0	1	0	2	1	0	3	0	6	1	1	4	2	1	2	2	2	1	4	2	1									
		0.39%	0.56%	0.55%	0.60%	0.14%	1.21%	0.14%	0.50%	0.45%	0.00%	0.56%	0.32%	0.68%	0.00%	0.81%	0.00%	1.60%	0.23%	0.14%	0.21%	0.00%	0.80%	0.00%	0.34%	0.00%	0.44%	0.22%	0.00%	0.61%	0.00%	0.66%	0.18%	0.22%	0.50%	0.44%	0.24%	0.37%	0.37%	0.27%	0.29%	0.83%	0.64%	0.62%									
18	Сурайкин Максим Александрович	100	7	2	9	3	0	5	2	5	0	1	6	2	0	6	0	1	4	3	1	3	1	1	1	4	1	1	0	4	0	1	4	0	1	6	4	3	6	0	2	0	0	0									
		0.46%	0.78%	0.27%	1.35%	0.41%	0.00%	0.69%	0.50%	0.45%	0.00%	0.14%	0.63%	0.68%	0.00%	1.62%	0.00%	0.53%	0.91%	0.43%	0.21%	0.64%	0.27%	0.32%	0.34%	0.65%	0.22%	0.22%	0.00%	0.81%	0.00%	0.11%	0.71%	0.00%	0.12%	1.32%	0.97%	0.56%	1.12%	0.00%	0.58%	0.00%	0.00%	0.00%									
