Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Kлепиковская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180									
1	Число избирателей, внесенных в список	23466	1952	1499	1084	1156	1258	1260	1437	1341	924	1422	189	116	327	231	268	463	787	436	1468	263	185	147	932	193	427	314	403	97	178	341	154	271	149	113	389	83	82	389	322	416									
2	Число полученных избирательных бюллетеней	23367	1938	1501	1037	1150	1265	1255	1405	1346	920	1421	192	117	328	227	263	452	812	443	1487	262	187	151	919	197	427	311	408	99	176	330	153	266	147	115	380	79	83	383	320	415									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	13808	1239	1009	678	675	745	775	850	818	567	939	63	46	151	62	119	239	466	229	929	157	89	88	458	125	241	189	267	50	55	196	54	175	74	83	249	65	54	217	134	189									
5	Число избирательных бюллетеней, выданных вне помещения	2148	13	45	93	70	31	52	57	25	57	30	82	37	76	95	94	74	77	86	39	22	47	29	140	36	78	53	32	24	55	73	51	39	39	3	36	4	11	52	89	102									
6	Число погашенных избирательных бюллетеней	7411	686	447	266	405	489	428	498	503	296	452	47	34	101	70	50	139	269	128	519	83	51	34	321	36	108	69	109	25	66	61	48	52	34	29	95	10	18	114	97	124									
7	Число избирательных бюллетеней в переносных ящиках	2148	13	45	93	70	31	52	57	25	57	30	82	37	76	95	94	74	77	86	39	22	47	29	140	36	78	53	32	24	55	73	51	39	39	3	36	4	11	52	89	102									
8	Число бюллетеней в стационарных ящиках для голосования	13806	1239	1009	677	675	745	775	850	818	567	939	63	46	151	62	119	239	466	229	928	157	89	88	458	125	241	189	267	50	55	196	54	175	74	83	249	65	54	217	134	189									
9	Число недействительных избирательных бюллетеней	306	2	6	14	10	14	4	7	11	3	10	4	1	4	0	3	9	113	17	14	7	1	2	7	6	4	10	2	2	2	6	0	2	0	1	1	0	2	2	2	1									
10	Число действительных избирательных бюллетеней	15648	1250	1048	756	735	762	823	900	832	621	959	141	82	223	157	210	304	430	298	953	172	135	115	591	155	315	232	297	72	108	263	105	212	113	85	284	69	63	267	221	290									
11	Число полученных открепительных  удостоверений	473	33	25	25	25	25	25	30	30	20	25	4	3	6	6	6	8	15	8	30	6	4	3	20	5	8	7	8	3	4	7	3	6	3	3	7	3	3	7	6	8									
12	Число выданных открепительных удостоверений	139	20	9	9	9	8	7	3	4	1	7	0	0	3	1	0	2	13	8	10	1	0	0	4	2	2	0	2	0	0	3	0	1	0	0	6	0	0	2	2	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	210	5	10	15	18	6	2	0	4	9	6	5	3	4	6	6	8	5	8	11	3	5	4	5	4	4	3	2	2	5	5	3	2	3	1	7	3	5	5	4	4									
14	Число неиспользованных открепительных удостоверений	334	13	16	16	16	17	18	27	26	19	18	4	3	3	5	6	6	2	0	20	5	4	3	16	3	6	7	6	3	4	4	3	5	3	3	1	3	3	5	4	8									
15	Число открепительных удостоверений, выданных в ТИК	6	1	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																			
18	. Глазьев Сергей Юрьевич	455	66	42	26	12	25	19	29	32	16	18	7	0	6	0	3	11	6	16	30	3	3	3	14	3	8	4	10	1	0	10	3	3	1	2	8	3	1	3	5	3									
