Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ермишинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21					
1	"Число избирателей, внесенных в список"	8167	570	234	167	228	1302	1217	1104	459	136	256	387	318	396	137	175	232	67	118	318	140	206					
2	Число полученных избирательных бюллетеней	8122	575	230	187	232	1282	1203	1095	457	136	255	384	326	391	135	174	229	62	112	319	137	201					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5321	340	155	133	112	847	902	742	298	88	165	253	204	245	63	126	160	50	73	142	72	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	1075	68	60	34	33	84	46	98	55	32	36	87	37	92	48	19	41	11	17	113	41	23					
6	Число погашенных избирательных бюллетеней	1726	167	15	20	87	351	255	255	104	16	54	44	85	54	24	29	28	1	22	64	24	27					
7	Число избирательных бюллетеней в переносных ящиках	1075	68	60	34	33	84	46	98	55	32	36	87	37	92	48	19	41	11	17	113	41	23					
8	Число бюллетеней в стационарных ящиках для голосования	5321	340	155	133	112	847	902	742	298	88	165	253	204	245	63	126	160	50	73	142	72	151					
9	Число недействительных избирательных бюллетеней	130	11	4	1	6	14	16	6	6	2	4	11	9	8	1	4	11	0	2	5	4	5					
10	Число действительных избирательных бюллетеней	6266	397	211	166	139	917	932	834	347	118	197	329	232	329	110	141	190	61	88	250	109	169					
11	Число полученных открепительных  удостоверений	260	20	10	10	10	20	25	20	10	10	10	15	10	15	10	10	10	5	10	10	10	10					
12	Число выданных открепительных удостоверений	61	0	0	0	0	14	22	11	2	1	3	1	1	2	3	0	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	2	4	3	2	3	6	6	1	5	2	5	2	3	3	2	4	6	4	1	2	4					
14	Число неиспользованных открепительных удостоверений	199	20	10	10	10	6	3	9	8	9	7	14	9	13	7	10	10	5	10	10	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	207	14	4	5	5	31	29	23	23	3	2	10	6	13	3	2	8	1	4	8	7	6					
		3.24%	3.43%	1.86%	2.99%	3.45%	3.33%	3.06%	2.74%	6.52%	2.50%	1.00%	2.94%	2.49%	3.86%	2.70%	1.38%	3.98%	1.64%	4.44%	3.14%	6.19%	3.45%					
19	. Малышкин Олег Александрович	135	8	1	5	4	19	25	20	7	3	5	4	2	13	2	3	3	2	1	4	3	1					
		2.11%	1.96%	0.47%	2.99%	2.76%	2.04%	2.64%	2.38%	1.98%	2.50%	2.49%	1.18%	0.83%	3.86%	1.80%	2.07%	1.49%	3.28%	1.11%	1.57%	2.65%	0.57%					
20	. Миронов Сергей Михайлович	47	4	0	3	1	7	8	4	7	0	1	1	2	1	3	1	0	0	2	1	1	0					
		0.73%	0.98%	0.00%	1.80%	0.69%	0.75%	0.84%	0.48%	1.98%	0.00%	0.50%	0.29%	0.83%	0.30%	2.70%	0.69%	0.00%	0.00%	2.22%	0.39%	0.88%	0.00%					
21	. Путин Владимир Владимирович	4601	274	180	125	106	680	678	592	221	85	146	257	171	251	90	106	139	54	64	168	87	127					
		71.94%	67.16%	83.72%	74.85%	73.10%	73.04%	71.52%	70.48%	62.61%	70.83%	72.64%	75.59%	70.95%	74.48%	81.08%	73.10%	69.15%	88.52%	71.11%	65.88%	76.99%	72.99%					
22	. Хакамада Ирина Муцуовна	67	9	0	1	1	12	12	11	4	0	4	2	0	3	2	1	0	0	2	0	2	1					
		1.05%	2.21%	0.00%	0.60%	0.69%	1.29%	1.27%	1.31%	1.13%	0.00%	1.99%	0.59%	0.00%	0.89%	1.80%	0.69%	0.00%	0.00%	2.22%	0.00%	1.77%	0.57%					
23	. Харитонов Николай Михайлович	1120	76	23	25	20	153	162	169	82	25	39	54	50	43	9	26	38	4	14	68	9	31					
		17.51%	18.63%	10.70%	14.97%	13.79%	16.43%	17.09%	20.12%	23.23%	20.83%	19.40%	15.88%	20.75%	12.76%	8.11%	17.93%	18.91%	6.56%	15.56%	26.67%	7.96%	17.82%					
																												
24	Против всех	89	12	3	2	2	15	18	15	3	2	0	1	1	5	1	2	2	0	1	1	0	3					
		1.39%	2.94%	1.40%	1.20%	1.38%	1.61%	1.90%	1.79%	0.85%	1.67%	0.00%	0.29%	0.41%	1.48%	0.90%	1.38%	1.00%	0.00%	1.11%	0.39%	0.00%	1.72%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
