Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Захаровская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40					
1	"Число избирателей, внесенных в список"	8237	147	546	357	361	176	987	329	1243	1219	151	208	119	221	499	204	211	143	563	553					
2	Число полученных избирательных бюллетеней	7898	145	520	330	330	171	930	300	1200	1200	153	200	119	200	460	200	200	140	550	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4908	75	336	158	240	120	567	177	816	781	90	117	57	132	337	74	124	81	310	316					
5	"Число избирательных бюллетеней, выданных вне помещения"	710	29	24	98	18	10	32	75	50	48	6	32	21	31	28	61	26	7	82	32					
6	Число погашенных избирательных бюллетеней	2280	41	160	74	72	41	331	48	334	371	57	51	41	37	95	65	50	52	158	202					
7	Число избирательных бюллетеней в переносных ящиках	710	29	24	98	18	10	32	75	50	48	6	32	21	31	28	61	26	7	82	32					
8	Число бюллетеней в стационарных ящиках для голосования	4907	75	336	157	240	120	567	177	816	781	90	117	57	132	337	74	124	81	310	316					
9	Число недействительных избирательных бюллетеней	96	2	11	6	6	3	4	0	19	18	2	0	1	0	5	1	1	1	10	6					
10	Число действительных избирательных бюллетеней	5521	102	349	249	252	127	595	252	847	811	94	149	77	163	360	134	149	87	382	342					
11	Число полученных открепительных  удостоверений	215	5	15	15	5	5	25	15	30	25	5	5	5	5	10	5	5	5	15	15					
12	Число выданных открепительных удостоверений	44	1	1	0	0	0	6	3	15	13	0	0	0	0	0	0	1	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	2	2	4	6	2	10	1	9	5	4	2	4	3	7	5	7	5	8	5					
14	Число неиспользованных открепительных удостоверений	171	4	14	15	5	5	19	12	15	12	5	5	5	5	10	5	4	5	14	12					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	92	1	4	3	7	0	7	4	16	18	1	1	1	5	7	0	1	0	7	9					
		1.64%	0.96%	1.11%	1.18%	2.71%	0.00%	1.17%	1.59%	1.85%	2.17%	1.04%	0.67%	1.28%	3.07%	1.92%	0.00%	0.67%	0.00%	1.79%	2.59%					
19	. Малышкин Олег Александрович	78	2	9	2	4	2	4	6	14	12	0	4	0	1	2	2	1	0	5	8					
		1.39%	1.92%	2.50%	0.78%	1.55%	1.54%	0.67%	2.38%	1.62%	1.45%	0.00%	2.68%	0.00%	0.61%	0.55%	1.48%	0.67%	0.00%	1.28%	2.30%					
20	. Миронов Сергей Михайлович	35	0	4	0	1	1	1	1	5	8	0	1	0	1	1	0	1	2	2	6					
		0.62%	0.00%	1.11%	0.00%	0.39%	0.77%	0.17%	0.40%	0.58%	0.97%	0.00%	0.67%	0.00%	0.61%	0.27%	0.00%	0.67%	2.27%	0.51%	1.72%					
21	. Путин Владимир Владимирович	4428	77	272	182	204	115	448	213	693	644	83	126	56	127	313	110	119	71	316	259					
		78.83%	74.04%	75.56%	71.37%	79.07%	88.46%	74.79%	84.52%	80.02%	77.68%	86.46%	84.56%	71.79%	77.91%	85.75%	81.48%	79.33%	80.68%	80.61%	74.43%					
22	. Хакамада Ирина Муцуовна	72	1	2	1	2	0	7	5	20	13	1	1	0	0	2	0	1	3	4	9					
		1.28%	0.96%	0.56%	0.39%	0.78%	0.00%	1.17%	1.98%	2.31%	1.57%	1.04%	0.67%	0.00%	0.00%	0.55%	0.00%	0.67%	3.41%	1.02%	2.59%					
23	. Харитонов Николай Михайлович	698	20	52	56	27	8	106	20	81	95	6	16	17	29	33	19	20	11	41	41					
		12.43%	19.23%	14.44%	21.96%	10.47%	6.15%	17.70%	7.94%	9.35%	11.46%	6.25%	10.74%	21.79%	17.79%	9.04%	14.07%	13.33%	12.50%	10.46%	11.78%					
																										
24	Против всех	118	1	6	5	7	1	22	3	18	21	3	0	3	0	2	3	6	0	7	10					
		2.10%	0.96%	1.67%	1.96%	2.71%	0.77%	3.67%	1.19%	2.08%	2.53%	3.12%	0.00%	3.85%	0.00%	0.55%	2.22%	4.00%	0.00%	1.79%	2.87%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
