Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Касимовская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118					
1	"Число избирателей, внесенных в список"	27029	523	648	424	359	313	166	281	579	151	165	459	251	200	313	436	366	214	857	334	316	383	390	131	1316	891	343	333	362	899	166	791	544	404	252	405	100	666	596	311	249	164	389	756	393	244	324	249	1253	723	1451	1241	1400	1555					
2	Число полученных избирательных бюллетеней	26900	521	658	426	360	316	163	278	581	153	163	458	253	197	313	436	363	212	850	332	312	384	386	126	1310	890	343	331	360	896	167	789	539	403	245	404	101	659	601	311	248	165	392	750	391	242	322	246	1241	723	1445	1229	1380	1536					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13551	282	258	127	160	147	43	110	260	86	67	278	121	102	89	177	150	112	496	189	222	241	160	34	813	357	120	171	126	468	110	341	256	176	71	162	40	347	248	70	96	108	225	433	218	62	203	105	731	404	762	716	783	918					
5	"Число избирательных бюллетеней, выданных вне помещения"	4503	55	187	141	100	77	87	110	176	35	60	34	79	57	111	117	88	48	33	41	34	68	88	65	46	179	93	77	111	174	4	155	127	78	123	106	32	117	116	158	49	14	64	62	76	107	59	67	48	34	73	73	78	112					
6	Число погашенных избирательных бюллетеней	8846	184	213	158	100	92	33	58	145	32	36	146	53	38	113	142	125	52	321	102	56	75	138	27	451	354	130	83	123	254	53	293	156	149	51	136	29	195	237	83	103	43	103	255	97	73	60	74	462	285	610	440	519	506					
7	Число избирательных бюллетеней в переносных ящиках	4502	55	187	141	100	77	87	110	176	35	60	34	79	57	110	117	88	48	33	41	34	68	88	65	46	179	93	77	111	174	4	155	127	78	123	106	32	117	116	158	49	14	64	62	76	107	59	67	48	34	73	73	78	112					
8	Число бюллетеней в стационарных ящиках для голосования	13544	282	258	127	160	147	43	110	260	86	67	278	121	102	89	177	150	112	496	189	222	241	160	34	813	357	120	171	126	468	110	341	256	176	70	162	40	347	248	70	96	108	225	433	218	62	203	105	731	404	762	716	782	913					
9	Число недействительных избирательных бюллетеней	222	4	5	1	7	1	1	0	0	0	1	5	3	6	4	0	2	1	13	3	3	3	2	4	7	4	2	3	4	6	2	5	7	0	5	6	2	1	1	2	4	1	2	5	5	0	8	12	10	10	8	7	9	15					
10	Число действительных избирательных бюллетеней	17824	333	440	267	253	223	129	220	436	121	126	307	197	153	195	294	236	159	516	227	253	306	246	95	852	532	211	245	233	636	112	491	376	254	188	262	70	463	363	226	141	121	287	490	289	169	254	160	769	428	827	782	851	1010					
11	Число полученных открепительных  удостоверений	686	14	14	14	10	14	9	12	14	9	9	14	14	11	12	12	12	9	14	10	11	11	11	11	14	14	14	14	14	14	11	11	11	11	11	14	11	14	14	11	14	11	14	14	14	11	14	14	17	17	17	16	20	19					
12	Число выданных открепительных удостоверений	67	3	0	0	1	0	0	0	0	0	0	2	0	0	2	3	0	0	1	1	0	1	0	0	5	2	0	0	0	2	0	1	6	1	0	1	0	0	2	0	0	1	3	5	2	0	2	0	2	2	9	3	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	159	4	2	1	1	0	4	2	5	0	2	3	0	4	1	1	2	2	2	1	4	1	4	6	10	3	0	3	3	3	1	1	16	0	2	1	1	6	4	0	1	2	0	6	3	0	2	4	9	1	6	4	8	7					
14	Число неиспользованных открепительных удостоверений	619	11	14	14	9	14	9	12	14	9	9	12	14	11	10	9	12	9	13	9	11	10	11	11	9	12	14	14	14	12	11	10	5	10	11	13	11	14	12	11	14	10	11	9	12	11	12	14	15	15	8	13	20	15					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	406	7	5	5	11	5	1	5	3	4	2	6	2	3	1	1	1	3	18	9	7	3	6	1	20	15	5	2	1	10	3	18	3	1	7	3	1	13	4	6	5	0	3	16	2	0	9	4	42	12	20	20	28	24					
		2.25%	2.08%	1.12%	1.87%	4.23%	2.23%	0.77%	2.27%	0.69%	3.31%	1.57%	1.92%	1.00%	1.89%	0.50%	0.34%	0.42%	1.88%	3.40%	3.91%	2.73%	0.97%	2.42%	1.01%	2.33%	2.80%	2.35%	0.81%	0.42%	1.56%	2.63%	3.63%	0.78%	0.39%	3.63%	1.12%	1.39%	2.80%	1.10%	2.63%	3.45%	0.00%	1.04%	3.23%	0.68%	0.00%	3.44%	2.33%	5.39%	2.74%	2.40%	2.53%	3.26%	2.34%					
19	. Малышкин Олег Александрович	320	8	12	4	6	4	0	1	6	3	6	10	1	4	4	1	3	2	5	4	1	4	8	5	15	8	2	3	3	19	2	5	6	6	4	1	0	9	11	3	3	1	11	15	9	0	8	4	9	12	12	9	14	14					
		1.77%	2.37%	2.70%	1.49%	2.31%	1.79%	0.00%	0.45%	1.38%	2.48%	4.72%	3.21%	0.50%	2.52%	2.01%	0.34%	1.26%	1.25%	0.95%	1.74%	0.39%	1.29%	3.23%	5.05%	1.75%	1.49%	0.94%	1.21%	1.27%	2.96%	1.75%	1.01%	1.57%	2.36%	2.07%	0.37%	0.00%	1.94%	3.02%	1.32%	2.07%	0.82%	3.81%	3.03%	3.06%	0.00%	3.05%	2.33%	1.16%	2.74%	1.44%	1.14%	1.63%	1.37%					
20	. Миронов Сергей Михайлович	110	2	2	0	1	0	4	2	4	0	1	2	1	1	0	3	0	1	4	1	2	1	3	1	6	3	5	0	0	1	0	5	2	3	2	1	1	2	2	0	6	1	3	2	2	1	1	2	7	1	4	3	4	4					
		0.61%	0.59%	0.45%	0.00%	0.38%	0.00%	3.08%	0.91%	0.92%	0.00%	0.79%	0.64%	0.50%	0.63%	0.00%	1.02%	0.00%	0.62%	0.76%	0.43%	0.78%	0.32%	1.21%	1.01%	0.70%	0.56%	2.35%	0.00%	0.00%	0.16%	0.00%	1.01%	0.52%	1.18%	1.04%	0.37%	1.39%	0.43%	0.55%	0.00%	4.14%	0.82%	1.04%	0.40%	0.68%	0.59%	0.38%	1.16%	0.90%	0.23%	0.48%	0.38%	0.47%	0.39%					
21	. Путин Владимир Владимирович	13629	225	362	232	197	169	108	193	319	92	107	225	159	115	146	251	214	119	378	183	182	240	182	74	695	389	175	177	187	470	96	366	312	208	144	240	49	360	283	165	90	107	228	381	218	139	186	133	494	324	613	535	675	718					
		75.52%	66.77%	81.35%	86.57%	75.77%	75.45%	83.08%	87.73%	73.17%	76.03%	84.25%	72.12%	79.50%	72.33%	73.37%	85.37%	89.92%	74.38%	71.46%	79.57%	71.09%	77.67%	73.39%	74.75%	80.91%	72.57%	82.16%	71.37%	78.90%	73.21%	84.21%	73.79%	81.46%	81.89%	74.61%	89.55%	68.06%	77.59%	77.75%	72.37%	62.07%	87.70%	78.89%	76.97%	74.15%	82.25%	70.99%	77.33%	63.41%	73.97%	73.41%	67.81%	78.49%	70.05%					
22	. Хакамада Ирина Муцуовна	271	3	2	4	1	7	1	8	10	0	0	4	1	0	0	4	3	3	13	1	2	4	4	0	32	12	5	2	5	8	2	9	1	3	1	3	0	3	7	2	1	1	1	6	0	4	2	4	16	10	15	16	10	15					
		1.50%	0.89%	0.45%	1.49%	0.38%	3.12%	0.77%	3.64%	2.29%	0.00%	0.00%	1.28%	0.50%	0.00%	0.00%	1.36%	1.26%	1.88%	2.46%	0.43%	0.78%	1.29%	1.61%	0.00%	3.73%	2.24%	2.35%	0.81%	2.11%	1.25%	1.75%	1.81%	0.26%	1.18%	0.52%	1.12%	0.00%	0.65%	1.92%	0.88%	0.69%	0.82%	0.35%	1.21%	0.00%	2.37%	0.76%	2.33%	2.05%	2.28%	1.80%	2.03%	1.16%	1.46%					
23	. Харитонов Николай Михайлович	2863	83	53	21	36	33	15	11	82	20	10	56	32	28	43	33	14	28	81	27	56	54	40	14	66	90	15	56	35	123	7	81	47	33	30	13	18	73	54	49	36	10	38	66	47	20	44	13	195	64	155	182	108	225					
		15.87%	24.63%	11.91%	7.84%	13.85%	14.73%	11.54%	5.00%	18.81%	16.53%	7.87%	17.95%	16.00%	17.61%	21.61%	11.22%	5.88%	17.50%	15.31%	11.74%	21.88%	17.48%	16.13%	14.14%	7.68%	16.79%	7.04%	22.58%	14.77%	19.16%	6.14%	16.33%	12.27%	12.99%	15.54%	4.85%	25.00%	15.73%	14.84%	21.49%	24.83%	8.20%	13.15%	13.33%	15.99%	11.83%	16.79%	7.56%	25.03%	14.61%	18.56%	23.07%	12.56%	21.95%					
																																																												
24	Против всех	225	5	4	1	1	5	0	0	12	2	0	4	1	2	1	1	1	3	17	2	3	0	3	0	18	15	4	5	2	5	2	7	5	0	0	1	1	3	2	1	0	1	3	4	11	5	4	0	6	5	8	17	12	10					
		1.25%	1.48%	0.90%	0.37%	0.38%	2.23%	0.00%	0.00%	2.75%	1.65%	0.00%	1.28%	0.50%	1.26%	0.50%	0.34%	0.42%	1.88%	3.21%	0.87%	1.17%	0.00%	1.21%	0.00%	2.10%	2.80%	1.88%	2.02%	0.84%	0.78%	1.75%	1.41%	1.31%	0.00%	0.00%	0.37%	1.39%	0.65%	0.55%	0.44%	0.00%	0.82%	1.04%	0.81%	3.74%	2.96%	1.53%	0.00%	0.77%	1.14%	0.96%	2.15%	1.40%	0.98%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
