Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Исаклинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217					
1	"Число избирателей, внесенных в список"	10830	1471	1939	133	300	348	165	375	267	132	238	122	197	198	122	750	462	538	615	186	351	227	343	288	366	697					
2	Число полученных избирательных бюллетеней	11300	1570	1997	147	323	372	170	373	276	140	249	133	202	207	128	774	486	558	620	184	374	239	351	306	398	723					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8862	1181	1489	123	282	254	109	325	257	124	214	116	170	148	95	608	393	477	534	145	278	174	312	244	252	558					
5	"Число избирательных бюллетеней, выданных вне помещения"	1182	111	125	9	18	88	50	41	8	8	20	6	22	45	20	85	44	56	35	36	56	45	9	24	93	128					
6	Число погашенных избирательных бюллетеней	1256	278	383	15	23	30	11	7	11	8	15	11	10	14	13	81	49	25	51	3	40	20	30	38	53	37					
7	Число избирательных бюллетеней в переносных ящиках	1182	111	125	9	18	88	50	41	8	8	20	6	22	45	20	85	44	56	35	36	56	45	9	24	93	128					
8	Число бюллетеней в стационарных ящиках для голосования	8862	1181	1489	123	282	254	109	325	257	124	214	116	170	148	95	608	393	477	534	145	278	174	312	244	252	558					
9	Число недействительных избирательных бюллетеней	138	12	16	0	1	2	0	6	15	5	1	1	15	0	0	10	4	5	13	3	3	3	1	13	3	6					
10	Число действительных избирательных бюллетеней	9906	1280	1598	132	299	340	159	360	250	127	233	121	177	193	115	683	433	528	556	178	331	216	320	255	342	680					
11	Число полученных открепительных  удостоверений	200	27	25	5	5	10	3	4	4	3	3	3	4	3	3	15	10	15	5	3	9	5	3	9	14	10					
12	Число выданных открепительных удостоверений	176	27	25	5	5	5	1	4	4	3	3	0	4	0	0	15	10	11	5	1	9	5	1	9	14	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	4	11	1	0	0	3	1	0	3	0	0	1	0	1	0	2	3	1	1	3	0	0	0	1	2					
14	Число неиспользованных открепительных удостоверений	24	0	0	0	0	5	2	0	0	0	0	3	0	3	3	0	0	4	0	2	0	0	2	0	0	0					
