Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Похвистневская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
1	"Число избирателей, внесенных в список"	21962	2044	2082	1367	2324	1763	2628	2031	2543	2419	1261	722	778					
2	Число полученных избирательных бюллетеней	22000	2000	2000	1450	2400	1800	2600	2000	2500	2400	1300	750	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12561	1035	1285	857	1380	988	1490	1134	1382	1270	635	524	581					
5	"Число избирательных бюллетеней, выданных вне помещения"	1076	122	104	68	43	101	60	101	98	120	114	69	76					
6	Число погашенных избирательных бюллетеней	8363	843	611	525	977	711	1050	765	1020	1010	551	157	143					
7	Число избирательных бюллетеней в переносных ящиках	1076	122	104	68	43	101	60	101	98	120	114	69	76					
8	Число бюллетеней в стационарных ящиках для голосования	12554	1035	1283	857	1379	988	1490	1134	1380	1268	635	524	581					
9	Число недействительных избирательных бюллетеней	170	16	24	6	5	15	26	16	21	14	11	4	12					
10	Число действительных избирательных бюллетеней	13460	1141	1363	919	1417	1074	1524	1219	1457	1374	738	589	645					
11	Число полученных открепительных  удостоверений	410	25	50	30	65	25	40	25	50	35	20	20	25					
12	Число выданных открепительных удостоверений	272	15	43	10	45	14	29	17	31	32	13	3	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	168	13	18	12	19	9	14	14	13	15	4	14	23					
14	Число неиспользованных открепительных удостоверений	138	10	7	20	20	11	11	8	19	3	7	17	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	2	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	476	40	42	29	73	32	50	42	59	39	33	22	15					
		3.49%	3.46%	3.03%	3.14%	5.13%	2.94%	3.23%	3.40%	3.99%	2.81%	4.41%	3.71%	2.28%					
19	. Малышкин Олег Александрович	396	44	18	33	45	29	52	41	39	38	28	17	12					
		2.91%	3.80%	1.30%	3.57%	3.16%	2.66%	3.35%	3.32%	2.64%	2.74%	3.74%	2.87%	1.83%					
20	. Миронов Сергей Михайлович	102	6	8	4	11	9	13	15	9	15	3	2	7					
		0.75%	0.52%	0.58%	0.43%	0.77%	0.83%	0.84%	1.21%	0.61%	1.08%	0.40%	0.34%	1.07%					
21	. Путин Владимир Владимирович	7691	549	843	509	847	570	895	672	814	744	454	424	370					
		56.43%	47.45%	60.78%	55.03%	59.56%	52.34%	57.74%	54.41%	55.07%	53.60%	60.61%	71.50%	56.32%					
22	. Хакамада Ирина Муцуовна	378	23	45	38	45	29	43	27	28	31	32	29	8					
		2.77%	1.99%	3.24%	4.11%	3.16%	2.66%	2.77%	2.19%	1.89%	2.23%	4.27%	4.89%	1.22%					
23	. Харитонов Николай Михайлович	3960	451	358	273	337	381	397	378	454	454	176	76	225					
		29.05%	38.98%	25.81%	29.51%	23.70%	34.99%	25.61%	30.61%	30.72%	32.71%	23.50%	12.82%	34.25%					
																			
24	Против всех	457	28	49	33	59	24	74	44	54	53	12	19	8					
		3.35%	2.42%	3.53%	3.57%	4.15%	2.20%	4.77%	3.56%	3.65%	3.82%	1.60%	3.20%	1.22%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
