Выборы Президента Российской Федерации																																							
Дата голосования: 18.03.2018																																							
																																							
Наименование Избирательной комиссии:    Похвистневская																																							
																																							
Сводная таблица итогов голосования																																							
																																							
	Число участковых избирательных комиссий	28																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	28																																					
																																							
		Сумма	УИК №4701	УИК №4702	УИК №4703	УИК №4704	УИК №4705	УИК №4706	УИК №4707	УИК №4708	УИК №4709	УИК №4710	УИК №4711	УИК №4712	УИК №4713	УИК №4714	УИК №4715	УИК №4716	УИК №4717	УИК №4718	УИК №4719	УИК №4720	УИК №4721	УИК №4722	УИК №4723	УИК №4724	УИК №4725	УИК №4726	УИК №4727	УИК №4728									
1	"Число избирателей, включенных в список избирателей"	18954	1270	152	1082	479	305	674	268	91	608	97	866	938	399	715	165	2255	341	724	322	1694	200	967	504	460	1361	560	386	1071									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20700	1290	200	1210	500	320	725	290	100	650	95	1000	1060	500	850	190	2385	380	780	390	1800	220	1050	500	525	1500	580	430	1180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15610	1147	129	897	417	263	475	233	78	516	79	694	812	336	631	139	1624	279	620	268	1460	160	789	422	375	1138	458	330	841									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1988	93	12	135	51	35	68	22	11	58	14	121	94	37	77	17	188	51	77	39	150	33	117	47	61	163	61	37	119									
6	Число погашенных избирательных бюллетеней	3102	50	59	178	32	22	182	35	11	76	2	185	154	127	142	34	573	50	83	83	190	27	144	31	89	199	61	63	220									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1988	93	12	135	51	35	68	22	11	58	14	121	94	37	77	17	188	51	77	39	150	33	117	47	61	163	61	37	119									
8	Число бюллетеней в стационарных ящиках для голосования	15610	1147	129	897	417	263	475	233	78	516	79	694	812	336	631	139	1624	279	620	268	1460	160	789	422	375	1138	458	330	841									
9	Число недействительных избирательных бюллетеней	588	11	4	10	0	3	12	2	0	5	0	104	5	3	37	23	210	30	10	32	15	11	9	7	3	31	6	0	5									
10	Число действительных избирательных бюллетеней	17010	1229	137	1022	468	295	531	253	89	569	93	711	901	370	671	133	1602	300	687	275	1595	182	897	462	433	1270	513	367	955									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
13	Бабурин Сергей Николаевич	43	1	1	1	0	0	1	0	2	1	0	3	4	0	0	2	4	0	0	1	4	2	4	0	2	6	1	1	2									
		0.24%	0.08%	0.71%	0.10%	0.00%	0.00%	0.18%	0.00%	2.25%	0.17%	0.00%	0.37%	0.44%	0.00%	0.00%	1.28%	0.22%	0.00%	0.00%	0.33%	0.25%	1.04%	0.44%	0.00%	0.46%	0.46%	0.19%	0.27%	0.21%									
14	Грудинин Павел Николаевич	1279	27	16	55	15	4	74	26	6	12	11	50	40	58	25	5	67	17	83	21	239	41	95	58	34	20	50	36	94									
