Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Самара, Красноглинская"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616					
1	"Число избирателей, внесенных в список"	68031	1081	2404	2040	2020	1557	2253	2283	1670	2016	1522	1921	1634	1910	2039	1832	1902	1951	1713	2330	2583	2716	1793	837	2379	1678	2497	2458	2471	2398	2099	2692	1945	2540	614	253					
2	Число полученных избирательных бюллетеней	66251	1000	2200	2000	2000	1500	2100	2200	1600	2000	1500	1900	1600	1900	2000	1800	1900	1900	1600	2300	2600	2700	1800	800	2300	1600	2400	2400	2400	2300	2000	2700	1900	2500	600	251					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34969	464	1157	1073	910	737	1132	1166	879	1041	832	1075	746	948	1090	997	1119	1111	830	1265	1226	1396	1021	421	1345	867	1304	1240	1405	1355	999	1090	897	1221	456	154					
5	"Число избирательных бюллетеней, выданных вне помещения"	2379	93	89	59	59	62	78	55	21	43	28	54	120	112	71	157	31	91	96	36	58	90	56	47	31	102	66	64	81	162	57	23	91	23	3	70					
6	Число погашенных избирательных бюллетеней	28903	443	954	868	1031	701	890	979	700	916	640	771	734	840	839	646	750	698	674	999	1316	1214	723	332	924	631	1030	1096	914	783	944	1587	912	1256	141	27					
7	Число избирательных бюллетеней в переносных ящиках	2379	93	89	59	59	62	78	55	21	43	28	54	120	112	71	157	31	91	96	36	58	90	56	47	31	102	66	64	81	162	57	23	91	23	3	70					
8	Число бюллетеней в стационарных ящиках для голосования	34953	464	1157	1073	910	737	1132	1166	879	1039	832	1075	746	948	1090	997	1116	1111	830	1265	1224	1394	1021	421	1343	864	1304	1240	1405	1355	999	1090	895	1221	456	154					
9	Число недействительных избирательных бюллетеней	411	10	19	14	11	8	0	15	15	15	11	10	5	7	9	11	8	11	6	7	8	48	15	1	12	9	18	11	12	16	9	22	8	20	5	5					
10	Число действительных избирательных бюллетеней	36921	547	1227	1118	958	791	1210	1206	885	1067	849	1119	861	1053	1152	1143	1139	1191	920	1294	1274	1436	1062	467	1362	957	1352	1293	1474	1501	1047	1091	978	1224	454	219					
11	Число полученных открепительных  удостоверений	1061	16	36	31	31	24	34	34	26	31	23	29	25	29	31	28	29	29	26	35	40	41	27	12	36	25	37	38	37	35	32	41	30	39	40	4					
12	Число выданных открепительных удостоверений	467	0	15	12	13	5	10	13	12	10	22	15	6	10	16	9	23	15	14	30	22	24	6	12	19	9	8	11	15	12	20	21	10	13	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	379	8	10	7	3	9	5	19	9	5	4	3	8	6	11	10	11	22	5	10	3	9	10	23	11	3	11	7	21	53	18	14	4	10	13	4					
14	Число неиспользованных открепительных удостоверений	594	16	21	19	18	19	24	21	14	21	1	14	19	19	15	19	6	14	12	5	18	17	21	0	17	16	29	27	22	23	12	20	20	26	25	4					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	2208	12	76	55	52	24	65	80	43	69	65	79	38	58	67	72	93	65	57	86	63	94	61	18	65	54	78	68	97	96	77	70	99	94	12	6					
		5.91%	2.15%	6.10%	4.86%	5.37%	3.00%	5.37%	6.55%	4.78%	6.38%	7.56%	7.00%	4.39%	5.47%	5.77%	6.24%	8.11%	5.41%	6.16%	6.61%	4.91%	6.33%	5.66%	3.85%	4.73%	5.59%	5.69%	5.21%	6.53%	6.33%	7.29%	6.29%	10.04%	7.56%	2.61%	2.68%					
19	. Малышкин Олег Александрович	894	6	30	29	17	22	26	33	15	21	21	16	16	24	27	23	21	18	26	24	33	42	35	13	49	16	36	29	36	53	26	46	18	34	9	4					
		2.39%	1.08%	2.41%	2.56%	1.75%	2.75%	2.15%	2.70%	1.67%	1.94%	2.44%	1.42%	1.85%	2.26%	2.33%	1.99%	1.83%	1.50%	2.81%	1.84%	2.57%	2.83%	3.25%	2.78%	3.57%	1.66%	2.63%	2.22%	2.42%	3.49%	2.46%	4.13%	1.83%	2.73%	1.96%	1.79%					
20	. Миронов Сергей Михайлович	406	5	16	12	15	8	10	14	7	11	11	11	4	5	12	10	11	21	12	21	16	37	10	4	12	10	14	14	11	7	16	8	10	12	4	5					
		1.09%	0.90%	1.28%	1.06%	1.55%	1.00%	0.83%	1.15%	0.78%	1.02%	1.28%	0.97%	0.46%	0.47%	1.03%	0.87%	0.96%	1.75%	1.30%	1.61%	1.25%	2.49%	0.93%	0.85%	0.87%	1.04%	1.02%	1.07%	0.74%	0.46%	1.52%	0.72%	1.01%	0.96%	0.87%	2.23%					
21	. Путин Владимир Владимирович	20085	342	729	676	576	428	647	635	525	581	427	585	424	574	547	598	491	594	464	659	682	761	599	289	823	513	795	706	753	786	598	594	498	681	367	138					
		53.80%	61.40%	58.51%	59.72%	59.44%	53.57%	53.47%	52.01%	58.33%	53.70%	49.65%	51.82%	48.96%	54.15%	47.11%	51.82%	42.81%	49.42%	50.11%	50.65%	53.20%	51.28%	55.62%	61.75%	59.90%	53.11%	58.03%	54.14%	50.67%	51.81%	56.63%	53.37%	50.51%	54.74%	79.96%	61.61%					
22	. Хакамада Ирина Муцуовна	1632	13	58	38	37	39	42	55	35	34	31	50	44	64	55	73	55	63	62	85	66	83	48	10	62	58	59	48	68	41	30	37	35	34	13	7					
		4.37%	2.33%	4.65%	3.36%	3.82%	4.88%	3.47%	4.50%	3.89%	3.14%	3.60%	4.43%	5.08%	6.04%	4.74%	6.33%	4.80%	5.24%	6.70%	6.53%	5.15%	5.59%	4.46%	2.14%	4.51%	6.00%	4.31%	3.68%	4.58%	2.70%	2.84%	3.32%	3.55%	2.73%	2.83%	3.12%					
23	. Харитонов Николай Михайлович	9705	141	244	246	223	223	362	342	199	306	267	331	298	276	393	298	374	362	238	346	324	381	248	108	275	248	295	357	413	459	236	262	274	265	36	55					
		26.00%	25.31%	19.58%	21.73%	23.01%	27.91%	29.92%	28.01%	22.11%	28.28%	31.05%	29.32%	34.41%	26.04%	33.85%	25.82%	32.61%	30.12%	25.70%	26.59%	25.27%	25.67%	23.03%	23.08%	20.01%	25.67%	21.53%	27.38%	27.79%	30.26%	22.35%	23.54%	27.79%	21.30%	7.84%	24.55%					
																																										
24	Против всех	1991	28	74	62	38	47	58	47	61	45	27	47	37	52	51	69	94	68	61	73	90	38	61	25	76	58	75	71	96	59	64	74	44	104	13	4					
		5.33%	5.03%	5.94%	5.48%	3.92%	5.88%	4.79%	3.85%	6.78%	4.16%	3.14%	4.16%	4.27%	4.91%	4.39%	5.98%	8.20%	5.66%	6.59%	5.61%	7.02%	2.56%	5.66%	5.34%	5.53%	6.00%	5.47%	5.44%	6.46%	3.89%	6.06%	6.65%	4.46%	8.36%	2.83%	1.79%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
