Выборы Президента Российской Федерации																																								
Дата голосования: 04.03.2012																																								
																																								
Наименование Избирательной комиссии:    Самара, Куйбышевская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	Число участковых избирательных комиссий, приступивших к передаче сведений	29																																						
																																								
		Сумма	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821									
1	Число избирателей, включенных в список избирателей	64875	2243	2404	2070	2104	2258	1260	1438	3062	2668	2235	1291	1629	2547	3093	2282	2392	2760	2972	1990	1739	2635	2325	2309	1981	2052	2070	3062	1970	2034									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	56769	2000	2000	2000	2000	2000	1000	1000	2500	2500	2000	1269	1500	2000	2500	2000	2000	2500	2500	1500	1500	2500	2000	2000	2000	2000	2000	2500	1500	2000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	34184	1253	1306	1107	1541	1004	506	749	1708	1445	1260	472	868	1617	1175	759	1142	1458	1654	991	844	1345	1642	1580	1154	1110	1177	1484	894	939									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3960	118	119	177	161	302	130	101	224	237	302	94	117	24	123	210	197	29	9	211	31	17	176	30	293	7	56	407	27	31									
6	Число погашенных избирательных бюллетеней	18625	629	575	716	298	694	364	150	568	818	438	703	515	359	1202	1031	661	1013	837	298	625	1138	182	390	553	883	767	609	579	1030									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3960	118	119	177	161	302	130	101	224	237	302	94	117	24	123	210	197	29	9	211	31	17	176	30	293	7	56	407	27	31									
8	Число бюллетеней в стационарных ящиках для голосования	34180	1253	1306	1107	1541	1004	506	749	1708	1445	1260	472	868	1616	1175	756	1142	1458	1654	991	844	1345	1642	1580	1154	1110	1177	1484	894	939									
9	Число недействительных избирательных бюллетеней	503	20	21	14	11	29	4	10	31	13	9	17	13	18	12	18	27	22	32	7	18	24	5	29	9	17	15	26	15	17									
10	Число действительных избирательных бюллетеней	37637	1351	1404	1270	1691	1277	632	840	1901	1669	1553	549	972	1622	1286	948	1312	1465	1631	1195	857	1338	1813	1581	1438	1100	1218	1865	906	953									
11	Число полученных открепительных  удостоверений	870	40	40	30	35	25	10	25	40	25	25	20	15	25	40	20	25	40	70	25	30	40	30	40	20	30	35	25	20	25									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	728	29	37	30	28	23	6	18	32	19	19	9	13	23	31	14	22	31	60	20	19	34	30	38	20	30	35	13	20	25									
13	Число избирателей, проголосовавших по открепительным удостоверениям	579	24	6	14	20	21	12	14	19	14	17	9	19	12	11	15	23	19	23	29	14	20	20	17	15	19	20	102	12	19									
14	Число неиспользованных открепительных удостоверений	142	11	3	0	7	2	4	7	8	6	6	11	2	2	9	6	3	9	10	5	11	6	0	2	0	0	0	12	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	69	1	2	4	0	0	0	1	1	1	5	1	1	1	2	1	1	12	8	4	1	6	1	1	4	3	1	0	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	Жириновский Владимир Вольфович	3238	126	92	65	162	100	61	78	100	100	130	79	74	161	148	100	128	161	126	103	92	148	109	155	84	87	86	148	103	132									
		8.49%	9.19%	6.46%	5.06%	9.52%	7.66%	9.59%	9.18%	5.18%	5.95%	8.32%	13.96%	7.51%	9.82%	11.40%	10.35%	9.56%	10.83%	7.58%	8.57%	10.51%	10.87%	5.99%	9.63%	5.81%	7.79%	6.97%	7.83%	11.18%	13.61%									
20	Зюганов Геннадий Андреевич	6109	208	231	150	182	250	68	92	260	219	254	94	180	177	249	204	209	307	348	248	219	308	206	271	199	248	189	158	172	209									
		16.02%	15.17%	16.21%	11.68%	10.69%	19.14%	10.69%	10.82%	13.46%	13.02%	16.26%	16.61%	18.27%	10.79%	19.18%	21.12%	15.61%	20.65%	20.93%	20.63%	25.03%	22.61%	11.33%	16.83%	13.75%	22.20%	15.33%	8.36%	18.68%	21.55%									
21	Миронов Сергей Михайлович	1450	59	51	138	32	45	20	31	35	59	96	14	50	18	28	26	81	65	68	47	33	71	85	71	32	46	31	56	26	36									
		3.80%	4.30%	3.58%	10.75%	1.88%	3.45%	3.14%	3.65%	1.81%	3.51%	6.15%	2.47%	5.08%	1.10%	2.16%	2.69%	6.05%	4.37%	4.09%	3.91%	3.77%	5.21%	4.68%	4.41%	2.21%	4.12%	2.51%	2.96%	2.82%	3.71%									
22	Прохоров Михаил Дмитриевич	2514	114	73	12	71	49	12	37	174	111	93	42	75	93	83	54	50	162	190	90	82	144	104	151	37	112	61	101	61	76									
		6.59%	8.32%	5.12%	0.93%	4.17%	3.75%	1.89%	4.35%	9.01%	6.60%	5.95%	7.42%	7.61%	5.67%	6.39%	5.59%	3.73%	10.89%	11.43%	7.49%	9.37%	10.57%	5.72%	9.38%	2.56%	10.03%	4.95%	5.34%	6.62%	7.84%									
23	Путин Владимир Владимирович	24326	844	957	905	1244	833	471	602	1332	1180	980	320	593	1173	778	564	844	770	899	707	431	667	1309	933	1086	607	851	1402	544	500									
		63.78%	61.56%	67.16%	70.48%	73.09%	63.78%	74.06%	70.82%	68.94%	70.15%	62.74%	56.54%	60.20%	71.52%	59.94%	58.39%	63.03%	51.78%	54.06%	58.82%	49.26%	48.97%	72.00%	57.95%	75.05%	54.34%	69.02%	74.14%	59.07%	51.55%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
