Выборы Президента Российской Федерации																																							
Дата голосования: 18.03.2018																																							
																																							
Наименование Избирательной комиссии:    Челно-Вершинская																																							
																																							
Сводная таблица итогов голосования																																							
																																							
	Число участковых избирательных комиссий	28																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	28																																					
																																							
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328									
1	"Число избирателей, включенных в список избирателей"	12927	628	213	257	709	502	83	117	274	292	399	450	228	132	524	286	411	1220	958	824	890	589	654	385	519	346	556	311	170									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13351	658	242	256	745	504	85	124	289	289	408	459	241	134	535	301	437	1210	972	847	927	613	683	404	540	360	564	322	202									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11036	499	182	199	565	451	75	106	254	252	341	402	188	118	460	232	343	974	797	731	805	498	589	309	458	309	487	258	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1289	85	23	52	119	41	7	8	17	31	48	40	22	12	56	42	56	124	120	41	41	42	32	64	48	23	48	38	9									
6	Число погашенных избирательных бюллетеней	1026	74	37	5	61	12	3	10	18	6	19	17	31	4	19	27	38	112	55	75	81	73	62	31	34	28	29	26	39									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1289	85	23	52	119	41	7	8	17	31	48	40	22	12	56	42	56	124	120	41	41	42	32	64	48	23	48	38	9									
8	Число бюллетеней в стационарных ящиках для голосования	11036	499	182	199	565	451	75	106	254	252	341	402	188	118	460	232	343	974	797	731	805	498	589	309	458	309	487	258	154									
9	Число недействительных избирательных бюллетеней	34	0	0	0	2	0	0	5	0	0	2	5	3	1	0	0	0	0	6	7	0	0	0	0	0	3	0	0	0									
10	Число действительных избирательных бюллетеней	12291	584	205	251	682	492	82	109	271	283	387	437	207	129	516	274	399	1098	911	765	846	540	621	373	506	329	535	296	163									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
13	Бабурин Сергей Николаевич	34	5	1	0	5	1	1	0	0	1	1	0	0	0	0	0	0	8	5	1	3	0	0	1	0	1	0	0	0									
		0.28%	0.86%	0.49%	0.00%	0.73%	0.20%	1.22%	0.00%	0.00%	0.35%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.55%	0.13%	0.35%	0.00%	0.00%	0.27%	0.00%	0.30%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	531	23	8	8	25	13	3	4	8	8	15	14	7	2	19	11	21	58	52	46	48	30	23	13	15	15	21	16	5									
		4.31%	3.94%	3.90%	3.19%	3.65%	2.64%	3.66%	3.51%	2.95%	2.83%	3.86%	3.17%	3.33%	1.54%	3.68%	4.01%	5.26%	5.28%	5.67%	5.96%	5.67%	5.56%	3.70%	3.49%	2.96%	4.52%	3.93%	5.41%	3.07%									
