Выборы Президента Российской Федерации																																						
Дата голосования: 18.03.2018																																						
																																						
Наименование Избирательной комиссии:    Шенталинская																																						
																																						
Сводная таблица итогов голосования																																						
																																						
	Число участковых избирательных комиссий	27																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	27																																				
																																						
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427									
1	"Число избирателей, включенных в список избирателей"	10365	186	258	187	143	130	698	348	383	714	152	374	259	136	312	277	165	233	143	278	160	454	121	894	706	810	855	989									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11400	200	300	225	170	140	785	390	395	770	180	460	280	155	355	295	175	245	150	295	165	530	135	940	800	880	905	1080									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8618	165	185	152	117	114	578	301	308	624	123	312	214	105	269	247	129	192	110	197	124	383	91	733	613	628	776	828									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1073	14	54	28	22	14	86	34	57	39	15	46	36	21	34	23	30	35	24	56	30	53	19	71	54	72	53	53									
6	Число погашенных избирательных бюллетеней	1709	21	61	45	31	12	121	55	30	107	42	102	30	29	52	25	16	18	16	42	11	94	25	136	133	180	76	199									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1073	14	54	28	22	14	86	34	57	39	15	46	36	21	34	23	30	35	24	56	30	53	19	71	54	72	53	53									
8	Число бюллетеней в стационарных ящиках для голосования	8618	165	185	152	117	114	578	301	308	624	123	312	214	105	269	247	129	192	110	197	124	383	91	733	613	628	776	828									
9	Число недействительных избирательных бюллетеней	82	3	0	1	1	0	19	6	3	6	1	3	0	1	0	0	1	1	0	1	0	11	1	7	3	4	3	6									
10	Число действительных избирательных бюллетеней	9609	176	239	179	138	128	645	329	362	657	137	355	250	125	303	270	158	226	134	252	154	425	109	797	664	696	826	875									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
13	Бабурин Сергей Николаевич	43	1	3	1	0	0	1	0	1	4	0	2	0	1	0	0	0	3	2	1	0	1	2	5	4	5	1	5									
		0.44%	0.56%	1.26%	0.56%	0.00%	0.00%	0.15%	0.00%	0.27%	0.60%	0.00%	0.56%	0.00%	0.79%	0.00%	0.00%	0.00%	1.32%	1.49%	0.40%	0.00%	0.23%	1.82%	0.62%	0.60%	0.71%	0.12%	0.57%									
14	Грудинин Павел Николаевич	1574	34	52	26	25	12	116	67	33	96	24	67	25	34	12	12	9	34	14	21	18	91	11	139	130	154	165	153									
		16.24%	18.99%	21.76%	14.44%	17.99%	9.38%	17.47%	20.00%	9.04%	14.48%	17.39%	18.72%	10.00%	26.98%	3.96%	4.44%	5.66%	14.98%	10.45%	8.30%	11.69%	20.87%	10.00%	17.29%	19.49%	22.00%	19.90%	17.37%									
15	Жириновский Владимир Вольфович	453	7	9	10	5	8	13	20	8	44	3	18	15	3	7	11	2	13	5	14	8	16	4	32	31	36	55	56									
		4.67%	3.91%	3.77%	5.56%	3.60%	6.25%	1.96%	5.97%	2.19%	6.64%	2.17%	5.03%	6.00%	2.38%	2.31%	4.07%	1.26%	5.73%	3.73%	5.53%	5.19%	3.67%	3.64%	3.98%	4.65%	5.14%	6.63%	6.36%									
16	Путин Владимир Владимирович	7377	133	173	140	101	108	498	237	309	506	107	260	206	87	281	245	147	168	108	215	127	304	87	606	491	491	600	642									
		76.12%	74.30%	72.38%	77.78%	72.66%	84.38%	75.00%	70.75%	84.66%	76.32%	77.54%	72.63%	82.40%	69.05%	92.74%	90.74%	92.45%	74.01%	80.60%	84.98%	82.47%	69.72%	79.09%	75.37%	73.61%	70.14%	72.38%	72.87%									
17	Собчак Ксения Анатольевна	67	1	1	1	0	0	5	2	4	5	3	6	1	0	1	0	0	2	1	0	0	3	1	9	4	5	4	8									
		0.69%	0.56%	0.42%	0.56%	0.00%	0.00%	0.75%	0.60%	1.10%	0.75%	2.17%	1.68%	0.40%	0.00%	0.33%	0.00%	0.00%	0.88%	0.75%	0.00%	0.00%	0.69%	0.91%	1.12%	0.60%	0.71%	0.48%	0.91%									
18	Сурайкин Максим Александрович	48	0	0	1	3	0	5	1	5	0	0	2	2	0	2	1	0	1	4	0	1	4	4	2	2	2	1	5									
		0.50%	0.00%	0.00%	0.56%	2.16%	0.00%	0.75%	0.30%	1.37%	0.00%	0.00%	0.56%	0.80%	0.00%	0.66%	0.37%	0.00%	0.44%	2.99%	0.00%	0.65%	0.92%	3.64%	0.25%	0.30%	0.29%	0.12%	0.57%									
19	Титов Борис Юрьевич	25	0	0	0	3	0	5	1	0	1	0	0	1	0	0	1	0	3	0	1	0	4	0	0	1	1	0	3									
		0.26%	0.00%	0.00%	0.00%	2.16%	0.00%	0.75%	0.30%	0.00%	0.15%	0.00%	0.00%	0.40%	0.00%	0.00%	0.37%	0.00%	1.32%	0.00%	0.40%	0.00%	0.92%	0.00%	0.00%	0.15%	0.14%	0.00%	0.34%									
20	Явлинский Григорий Алексеевич	22	0	1	0	1	0	2	1	2	1	0	0	0	0	0	0	0	2	0	0	0	2	0	4	1	2	0	3									
		0.23%	0.00%	0.42%	0.00%	0.72%	0.00%	0.30%	0.30%	0.55%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.46%	0.00%	0.50%	0.15%	0.29%	0.00%	0.34%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
