Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Аркадакская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
1	"Число избирателей, внесенных в список"	23109	1826	1440	768	1366	1422	1153	1151	2320	145	726	506	385	233	113	640	406	247	558	278	956	650	177	192	716	308	187	548	83	504	395	150	513	261	731	92	675	158	130					
2	Число полученных избирательных бюллетеней	23035	1800	1430	780	1310	1430	1150	1160	2300	143	725	515	380	260	115	635	405	240	550	275	950	650	180	193	720	275	200	550	83	510	400	155	515	250	730	103	680	158	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17305	1351	1155	565	1113	1082	935	786	1969	116	546	410	259	133	83	459	295	192	435	177	662	513	141	128	418	200	139	409	71	365	306	97	347	200	427	81	525	129	86					
5	"Число избирательных бюллетеней, выданных вне помещения"	2395	156	40	63	73	80	34	155	29	27	57	0	100	82	15	82	39	27	82	75	109	15	21	27	174	50	36	46	9	90	61	36	119	14	179	11	122	20	40					
6	Число погашенных избирательных бюллетеней	3335	293	235	152	124	268	181	219	302	0	122	105	21	45	17	94	71	21	33	23	179	122	18	38	128	25	25	95	3	55	33	22	49	36	124	11	33	9	4					
7	Число избирательных бюллетеней в переносных ящиках	2395	156	40	63	73	80	34	155	29	27	57	0	100	82	15	82	39	27	82	75	109	15	21	27	174	50	36	46	9	90	61	36	119	14	179	11	122	20	40					
8	Число бюллетеней в стационарных ящиках для голосования	17299	1351	1155	565	1113	1082	930	786	1969	116	546	410	259	133	83	458	295	192	435	177	662	513	141	128	418	200	139	409	71	365	306	97	347	200	427	81	525	129	86					
9	Число недействительных избирательных бюллетеней	121	20	0	2	6	7	0	17	8	0	2	2	0	3	2	26	2	0	0	1	6	0	0	0	0	1	0	1	0	3	1	3	3	3	1	0	0	0	1					
10	Число действительных избирательных бюллетеней	19573	1487	1195	626	1180	1155	964	924	1990	143	601	408	359	212	96	514	332	219	517	251	765	528	162	155	592	249	175	454	80	452	366	130	463	211	605	92	647	149	125					
11	Число полученных открепительных  удостоверений	592	20	21	10	11	20	21	10	45	10	20	21	10	10	10	20	21	10	20	10	20	20	10	10	21	10	10	20	10	20	10	10	21	10	20	10	20	10	10					
12	Число выданных открепительных удостоверений	199	15	15	8	8	15	18	9	35	0	4	5	3	0	0	11	5	0	3	2	6	3	1	0	2	2	0	2	0	6	1	0	6	1	1	0	11	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	7	5	3	6	1	3	8	11	7	3	0	1	0	1	1	0	2	0	2	2	1	1	2	1	0	1	2	1	1	0	1	2	0	1	3	6	1	3					
14	Число неиспользованных открепительных удостоверений	393	5	6	2	3	5	3	1	10	10	16	16	7	10	10	9	16	10	17	8	14	17	9	10	19	8	10	18	10	14	9	10	15	9	19	10	9	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
