Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Базарно-Карабулакская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в список"	27401	1551	2647	2435	1671	1666	667	424	198	485	852	668	1134	558	968	531	360	240	1835	377	719	802	601	451	953	1622	117	537	459	373	1500					
2	Число полученных избирательных бюллетеней	27600	1560	2610	2495	1690	1630	675	430	200	480	865	665	1140	570	970	525	370	255	1860	390	745	795	625	450	965	1635	135	535	460	375	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22972	1375	2157	1587	1266	1253	496	360	177	328	800	575	952	532	925	472	297	238	1680	291	685	719	465	412	925	1163	106	504	415	329	1488					
5	"Число избирательных бюллетеней, выданных вне помещения"	1365	113	36	120	63	33	89	24	16	134	39	60	30	15	31	11	61	2	10	32	27	11	108	18	19	224	8	31	0	0	0					
6	Число погашенных избирательных бюллетеней	3263	72	417	788	361	344	90	46	7	18	26	30	158	23	14	42	12	15	170	67	33	65	52	20	21	248	21	0	45	46	12					
7	Число избирательных бюллетеней в переносных ящиках	1365	113	36	120	63	33	89	24	16	134	39	60	30	15	31	11	61	2	10	32	27	11	108	18	19	224	8	31	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	22961	1375	2157	1587	1266	1253	496	360	177	328	800	575	952	532	925	472	297	238	1680	291	685	719	465	412	925	1163	106	493	415	329	1488					
9	Число недействительных избирательных бюллетеней	171	0	1	31	14	0	2	0	22	0	0	3	21	0	3	3	0	3	11	1	0	0	0	16	3	29	0	0	4	4	0					
10	Число действительных избирательных бюллетеней	24155	1488	2192	1676	1315	1286	583	384	171	462	839	632	961	547	953	480	358	237	1679	322	712	730	573	414	941	1358	114	524	411	325	1488					
11	Число полученных открепительных  удостоверений	485	35	40	45	30	20	10	10	10	10	15	10	20	10	15	10	10	10	20	10	20	10	10	10	15	20	10	15	10	10	15					
12	Число выданных открепительных удостоверений	249	19	32	45	17	20	1	3	0	4	6	4	3	3	4	4	1	3	13	4	12	4	5	6	4	6	0	10	1	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	1	16	9	2	50	3	4	3	1	1	7	7	4	5	4	3	4	0	1	0	5	0	1	2	3	1	5	1	4	0					
14	Число неиспользованных открепительных удостоверений	236	16	8	0	13	0	9	7	10	6	9	6	17	7	11	6	9	7	7	6	8	6	5	4	11	14	10	5	9	10	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	1	0	5	1	2	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	469	17	74	57	48	41	12	12	0	4	0	8	27	1	5	8	7	0	53	7	0	0	5	9	0	31	6	1	12	7	17					
		1.93%	1.14%	3.37%	3.34%	3.61%	3.19%	2.05%	3.12%	0.00%	0.87%	0.00%	1.26%	2.75%	0.18%	0.52%	1.66%	1.96%	0.00%	3.14%	2.17%	0.00%	0.00%	0.87%	2.09%	0.00%	2.24%	5.26%	0.19%	2.89%	2.13%	1.14%					
19	. Малышкин Олег Александрович	507	24	71	69	49	49	15	10	0	13	0	18	13	4	2	10	4	0	53	15	9	0	5	6	0	38	0	9	5	14	2					
		2.08%	1.61%	3.24%	4.04%	3.69%	3.81%	2.56%	2.60%	0.00%	2.81%	0.00%	2.83%	1.32%	0.73%	0.21%	2.07%	1.12%	0.00%	3.14%	4.64%	1.26%	0.00%	0.87%	1.40%	0.00%	2.74%	0.00%	1.72%	1.20%	4.26%	0.13%					
20	. Миронов Сергей Михайлович	125	39	6	16	6	11	3	3	0	1	2	3	2	0	5	2	1	0	8	0	0	0	0	2	0	7	0	0	5	3	0					
		0.51%	2.62%	0.27%	0.94%	0.45%	0.86%	0.51%	0.78%	0.00%	0.22%	0.24%	0.47%	0.20%	0.00%	0.52%	0.41%	0.28%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.50%	0.00%	0.00%	1.20%	0.91%	0.00%					
21	. Путин Владимир Владимирович	18692	1235	1479	1050	770	847	374	300	155	362	686	502	639	498	740	356	308	233	1437	231	600	605	447	344	935	1052	98	458	334	227	1390					
		76.84%	83.00%	67.44%	61.51%	57.94%	65.86%	63.93%	78.12%	80.31%	78.35%	81.76%	79.06%	65.07%	91.04%	77.41%	73.71%	86.03%	97.08%	85.03%	71.52%	84.27%	82.88%	78.01%	80.00%	99.05%	75.85%	85.96%	87.40%	80.48%	69.00%	93.41%					
22	. Хакамада Ирина Муцуовна	225	13	28	34	23	23	3	2	0	12	2	10	8	2	3	8	0	0	19	7	0	1	4	3	0	8	0	1	7	4	0					
		0.92%	0.87%	1.28%	1.99%	1.73%	1.79%	0.51%	0.52%	0.00%	2.60%	0.24%	1.57%	0.81%	0.37%	0.31%	1.66%	0.00%	0.00%	1.12%	2.17%	0.00%	0.14%	0.70%	0.70%	0.00%	0.58%	0.00%	0.19%	1.69%	1.22%	0.00%					
23	. Харитонов Николай Михайлович	3752	119	464	411	379	277	169	49	15	67	147	85	260	30	195	88	36	4	92	54	79	122	112	45	6	198	10	49	45	66	79					
