Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Новоузенская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872					
1	"Число избирателей, внесенных в список"	24188	1700	1006	1864	206	232	212	1353	2180	1343	1035	1803	266	895	166	222	137	128	1179	110	208	179	79	695	118	103	464	114	1220	428	842	341	137	358	136	45	840	162	169	383	175	228	139	588					
2	Число полученных избирательных бюллетеней	24046	1653	975	1840	207	228	212	1357	2158	1313	1044	1789	268	902	164	218	138	128	1190	113	209	186	82	682	120	103	470	115	1196	427	834	342	138	358	139	46	846	163	170	387	175	227	138	596					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21307	1480	805	1698	202	187	204	1212	1963	1215	939	1601	237	760	124	194	116	98	1090	105	188	165	79	576	116	100	428	106	1027	372	681	337	133	319	127	45	688	148	141	348	157	211	128	457					
5	"Число избирательных бюллетеней, выданных вне помещения"	827	69	137	43	2	34	0	49	17	14	0	32	13	15	30	13	18	30	10	0	0	8	0	62	0	0	16	8	36	25	24	0	0	10	0	0	19	0	3	0	0	0	0	90					
6	Число погашенных избирательных бюллетеней	1912	104	33	99	3	7	8	96	178	84	105	156	18	127	10	11	4	0	90	8	21	13	3	44	4	3	26	1	133	30	129	5	5	29	12	1	139	15	26	39	18	16	10	49					
7	Число избирательных бюллетеней в переносных ящиках	827	69	137	43	2	34	0	49	17	14	0	32	13	15	30	13	18	30	10	0	0	8	0	62	0	0	16	8	36	25	24	0	0	10	0	0	19	0	3	0	0	0	0	90					
8	Число бюллетеней в стационарных ящиках для голосования	21307	1480	805	1698	202	187	204	1212	1963	1215	939	1601	237	760	124	194	116	98	1090	105	188	165	79	576	116	100	428	106	1027	372	681	337	133	319	127	45	688	148	141	348	157	211	128	457					
9	Число недействительных избирательных бюллетеней	641	0	14	2	31	15	1	15	93	46	56	12	0	3	7	6	0	2	163	17	25	23	24	5	0	3	11	2	7	0	4	8	3	13	1	0	0	0	1	5	0	18	3	2					
10	Число действительных избирательных бюллетеней	21493	1549	928	1739	173	206	203	1246	1887	1183	883	1621	250	772	147	201	134	126	937	88	163	150	55	633	116	97	433	112	1056	397	701	329	130	316	126	45	707	148	143	343	157	193	125	545					
11	Число полученных открепительных  удостоверений	293	19	20	15	4	4	4	9	25	23	8	17	1	10	4	7	3	2	10	5	5	4	3	7	5	4	6	3	8	4	6	4	3	5	3	1	6	3	2	7	3	3	2	6					
12	Число выданных открепительных удостоверений	153	16	7	11	0	0	0	8	18	19	2	17	0	10	0	5	0	0	10	0	1	0	0	4	0	0	3	0	3	3	2	0	0	2	0	0	2	0	0	5	0	1	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	6	2	2	0	3	0	6	4	1	2	0	1	0	1	4	1	1	2	0	0	0	0	7	1	2	0	1	2	2	2	1	1	2	0	1	4	1	1	0	1	2	2	0					
14	Число неиспользованных открепительных удостоверений	140	3	13	4	4	4	4	1	7	4	6	0	1	0	4	2	3	2	0	5	4	4	3	3	5	4	3	3	5	1	4	4	3	3	3	1	4	3	2	2	3	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	375	34	18	30	5	2	0	14	24	29	12	25	5	4	2	4	0	0	27	1	2	0	1	10	0	0	10	0	26	4	21	0	0	0	1	0	31	3	3	5	1	2	4	15					
		1.69%	2.19%	1.91%	1.72%	2.45%	0.90%	0.00%	1.11%	1.21%	2.36%	1.28%	1.53%	2.00%	0.52%	1.30%	1.93%	0.00%	0.00%	2.45%	0.95%	1.06%	0.00%	1.27%	1.57%	0.00%	0.00%	2.25%	0.00%	2.45%	1.01%	2.98%	0.00%	0.00%	0.00%	0.79%	0.00%	4.38%	2.03%	2.08%	1.44%	0.64%	0.95%	3.12%	2.74%					
19	. Малышкин Олег Александрович	357	32	10	28	0	1	2	21	26	46	15	33	4	9	4	0	0	0	14	0	0	0	9	6	2	1	4	1	29	5	20	6	1	0	4	1	13	1	1	3	3	2	0	0					
		1.61%	2.07%	1.06%	1.61%	0.00%	0.45%	0.98%	1.67%	1.31%	3.74%	1.60%	2.02%	1.60%	1.16%	2.60%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	11.39%	0.94%	1.72%	1.00%	0.90%	0.88%	2.73%	1.26%	2.84%	1.78%	0.75%	0.00%	3.15%	2.22%	1.84%	0.68%	0.69%	0.86%	1.91%	0.95%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	106	5	8	8	1	0	0	5	9	31	4	9	0	4	0	0	0	0	4	0	0	0	0	4	0	0	0	0	6	0	2	0	0	0	0	1	0	1	0	2	0	0	0	2					
		0.48%	0.32%	0.85%	0.46%	0.49%	0.00%	0.00%	0.40%	0.45%	2.52%	0.43%	0.55%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.68%	0.00%	0.57%	0.00%	0.00%	0.00%	0.37%					
21	. Путин Владимир Владимирович	16717	1274	669	1198	129	194	183	1002	1575	770	700	1211	220	681	119	188	125	126	778	77	135	140	42	380	98	75	374	108	693	322	428	298	120	256	73	34	570	123	118	276	137	159	114	425					
		75.53%	82.25%	71.02%	68.81%	63.24%	87.78%	89.71%	79.46%	79.55%	62.65%	74.55%	74.16%	88.00%	87.87%	77.27%	90.82%	93.28%	98.44%	70.73%	73.33%	71.81%	80.92%	53.16%	59.56%	84.48%	75.00%	84.23%	94.74%	65.19%	81.11%	60.71%	88.43%	90.23%	77.81%	57.48%	75.56%	80.62%	83.11%	81.94%	79.31%	87.26%	75.36%	89.06%	77.70%					
22	. Хакамада Ирина Муцуовна	258	22	16	25	2	2	3	11	24	30	4	19	0	3	2	0	1	0	11	3	3	1	0	4	0	1	3	0	22	2	8	1	1	3	0	2	3	3	2	6	5	5	0	5					
