Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Озинская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292									
1	"Число избирателей, включенных в список избирателей"	15251	551	533	504	516	558	455	563	505	559	591	548	541	492	547	520	970	635	161	590	628	137	553	594	777	405	379	524	440	475									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15594	540	460	516	530	597	480	574	526	570	600	514	563	510	567	530	1020	660	160	610	650	144	590	603	810	420	390	530	450	480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11148	411	385	390	445	508	336	275	313	460	526	396	424	303	241	401	493	543	124	492	484	114	413	512	595	322	292	391	363	196									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1200	46	40	24	42	22	36	38	56	22	22	62	18	74	36	38	71	16	7	43	82	10	35	37	89	27	38	59	38	72									
6	Число погашенных избирательных бюллетеней	3246	83	35	102	43	67	108	261	157	88	52	56	121	133	290	91	456	101	29	75	84	20	142	54	126	71	60	80	49	212									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1200	46	40	24	42	22	36	38	56	22	22	62	18	74	36	38	71	16	7	43	82	10	35	37	89	27	38	59	38	72									
8	Число бюллетеней в стационарных ящиках для голосования	11148	411	385	390	445	508	336	275	313	460	526	396	424	303	241	401	493	543	124	492	484	114	413	512	595	322	292	391	363	196									
9	Число недействительных избирательных бюллетеней	41	5	3	0	4	0	0	2	4	0	0	5	0	3	1	5	4	0	0	0	0	0	0	0	0	0	0	1	0	4									
10	Число действительных избирательных бюллетеней	12307	452	422	414	483	530	372	311	365	482	548	453	442	374	276	434	560	559	131	535	566	124	448	549	684	349	330	449	401	264									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	43	1	3	3	3	1	1	1	0	1	1	1	0	2	1	3	0	1	0	2	2	0	1	0	2	6	0	0	0	7									
		0.35%	0.22%	0.71%	0.72%	0.62%	0.19%	0.27%	0.32%	0.00%	0.21%	0.18%	0.22%	0.00%	0.53%	0.36%	0.68%	0.00%	0.18%	0.00%	0.37%	0.35%	0.00%	0.22%	0.00%	0.29%	1.72%	0.00%	0.00%	0.00%	2.61%									
14	Грудинин Павел Николаевич	1266	56	56	47	61	72	58	67	62	62	46	50	53	38	62	26	85	52	16	34	29	5	28	45	43	24	14	25	17	33									
		10.25%	12.25%	13.18%	11.35%	12.53%	13.58%	15.59%	21.41%	16.80%	12.86%	8.39%	10.92%	11.99%	10.08%	22.38%	5.92%	15.07%	9.30%	12.21%	6.36%	5.12%	4.03%	6.25%	8.20%	6.29%	6.88%	4.24%	5.56%	4.24%	12.31%									
15	Жириновский Владимир Вольфович	467	15	17	20	18	23	12	13	17	25	16	22	19	15	34	15	42	20	3	9	8	4	9	16	12	15	7	11	17	13									
		3.78%	3.28%	4.00%	4.83%	3.70%	4.34%	3.23%	4.15%	4.61%	5.19%	2.92%	4.80%	4.30%	3.98%	12.27%	3.42%	7.45%	3.58%	2.29%	1.68%	1.41%	3.23%	2.01%	2.91%	1.75%	4.30%	2.12%	2.44%	4.24%	4.85%									
16	Путин Владимир Владимирович	10353	373	340	339	397	431	296	225	278	389	482	379	357	315	174	381	425	482	111	482	524	115	407	482	620	276	303	410	361	199									
		83.84%	81.62%	80.00%	81.88%	81.52%	81.32%	79.57%	71.88%	75.34%	80.71%	87.96%	82.75%	80.77%	83.55%	62.82%	86.79%	75.35%	86.23%	84.73%	90.09%	92.58%	92.74%	90.85%	87.80%	90.64%	79.08%	91.82%	91.11%	90.02%	74.25%									
17	Собчак Ксения Анатольевна	62	1	1	2	0	1	0	3	2	0	1	1	8	1	1	5	4	1	1	4	1	0	1	3	2	9	5	0	3	1									
		0.50%	0.22%	0.24%	0.48%	0.00%	0.19%	0.00%	0.96%	0.54%	0.00%	0.18%	0.22%	1.81%	0.27%	0.36%	1.14%	0.71%	0.18%	0.76%	0.75%	0.18%	0.00%	0.22%	0.55%	0.29%	2.58%	1.52%	0.00%	0.75%	0.37%									
18	Сурайкин Максим Александрович	49	5	4	2	2	1	1	0	2	4	0	0	2	2	0	2	1	1	0	2	0	0	2	0	2	4	0	3	0	7									
		0.40%	1.09%	0.94%	0.48%	0.41%	0.19%	0.27%	0.00%	0.54%	0.83%	0.00%	0.00%	0.45%	0.53%	0.00%	0.46%	0.18%	0.18%	0.00%	0.37%	0.00%	0.00%	0.45%	0.00%	0.29%	1.15%	0.00%	0.67%	0.00%	2.61%									
19	Титов Борис Юрьевич	38	1	1	0	0	1	1	2	3	1	1	0	3	1	1	1	1	2	0	0	2	0	0	2	1	7	0	0	3	3									
		0.31%	0.22%	0.24%	0.00%	0.00%	0.19%	0.27%	0.64%	0.81%	0.21%	0.18%	0.00%	0.68%	0.27%	0.36%	0.23%	0.18%	0.36%	0.00%	0.00%	0.35%	0.00%	0.00%	0.36%	0.15%	2.01%	0.00%	0.00%	0.75%	1.12%									
20	Явлинский Григорий Алексеевич	29	0	0	1	2	0	3	0	1	0	1	0	0	0	3	1	2	0	0	2	0	0	0	1	2	8	1	0	0	1									
		0.23%	0.00%	0.00%	0.24%	0.41%	0.00%	0.81%	0.00%	0.27%	0.00%	0.18%	0.00%	0.00%	0.00%	1.08%	0.23%	0.35%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.18%	0.29%	2.29%	0.30%	0.00%	0.00%	0.37%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
