Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Петровская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951					
1	"Число избирателей, внесенных в список"	38821	2634	2372	2587	2101	2460	2369	2308	1997	2309	2106	2055	2225	683	247	400	593	279	434	684	186	796	449	556	551	1069	923	239	155	696	402	342	266	448	497	403					
2	Число полученных избирательных бюллетеней	39267	2670	2400	2590	2100	2500	2360	2320	2030	2360	2140	2050	2310	688	243	407	580	288	425	685	183	800	455	585	553	1085	980	247	159	700	397	343	267	457	503	407					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23839	1175	1135	1092	1419	1178	1342	985	1010	1193	999	1111	1508	598	230	350	495	236	396	525	167	697	425	467	494	865	815	201	146	656	360	244	247	347	423	308					
5	"Число избирательных бюллетеней, выданных вне помещения"	1631	79	136	67	48	86	80	72	40	50	57	75	33	20	5	30	54	17	21	61	11	85	14	58	36	69	49	16	3	31	23	45	6	34	29	91					
6	Число погашенных избирательных бюллетеней	13797	1416	1129	1431	633	1236	938	1263	980	1117	1084	864	769	70	8	27	31	35	8	99	5	18	16	60	23	151	116	30	10	13	14	54	14	76	51	8					
7	Число избирательных бюллетеней в переносных ящиках	1631	79	136	67	48	86	80	72	40	50	57	75	33	20	5	30	54	17	21	61	11	85	14	58	36	69	49	16	3	31	23	45	6	34	29	91					
8	Число бюллетеней в стационарных ящиках для голосования	23823	1175	1135	1092	1419	1165	1342	985	1010	1193	999	1111	1506	598	230	350	495	236	396	525	167	697	425	467	494	864	815	201	146	656	360	244	247	347	423	308					
9	Число недействительных избирательных бюллетеней	356	11	12	4	11	8	7	59	18	21	2	5	9	1	12	2	24	7	25	19	0	0	1	0	0	11	9	3	1	15	20	4	2	2	7	24					
10	Число действительных избирательных бюллетеней	25098	1243	1259	1155	1456	1243	1415	998	1032	1222	1054	1181	1530	617	223	378	525	246	392	567	178	782	438	525	530	922	855	214	148	672	363	285	251	379	445	375					
