Выборы Президента Российской Федерации																																																												
Дата голосования: 04.03.2012																																																												
																																																												
Наименование Избирательной комиссии:    Пугачевская																																																												
																																																												
Сводная таблица итогов голосования																																																												
																																																												
	Число участковых избирательных комиссий	49																																																										
	Число участковых избирательных комиссий, приступивших к передаче сведений	49																																																										
																																																												
		Сумма	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362									
1	Число избирателей, включенных в список избирателей	45583	1576	1458	1588	1491	1328	1314	1337	961	635	1689	920	806	1271	1417	1511	1436	1092	1464	1347	1324	1569	751	711	207	539	506	165	570	535	572	787	669	150	604	1161	1976	777	1173	350	1108	626	662	861	451	167	447	235	639	650									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	46235	1580	1480	1600	1500	1340	1335	1360	970	650	1660	920	800	1310	1420	1520	1400	1110	1500	1320	1315	1570	755	725	225	560	520	165	600	550	600	800	700	150	615	1180	2010	760	1210	365	1160	650	700	910	460	170	455	240	670	670									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	24508	768	831	885	745	783	586	712	466	338	1047	528	467	675	727	867	799	655	901	686	664	783	418	424	114	267	262	89	389	306	392	437	377	94	306	430	966	394	646	184	600	309	253	453	295	109	319	185	346	231									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3939	28	41	47	82	129	54	57	23	25	33	33	30	36	140	72	125	69	89	66	67	93	22	10	42	124	85	13	53	133	31	131	92	16	130	142	126	121	152	56	156	102	192	193	61	15	26	19	96	261									
6	Число погашенных избирательных бюллетеней	17789	784	609	668	673	428	695	591	481	287	580	359	303	599	553	581	476	386	510	568	584	694	315	291	69	169	173	63	158	111	177	232	231	40	179	608	918	245	412	125	404	239	255	264	104	46	110	36	228	178									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3939	28	41	47	82	129	54	57	23	25	33	33	30	36	140	72	125	69	89	66	67	93	22	10	42	124	85	13	53	133	31	131	92	16	130	142	126	121	152	56	156	102	192	193	61	15	26	19	96	261									
8	Число бюллетеней в стационарных ящиках для голосования	24505	768	831	885	742	783	586	712	466	338	1047	528	467	675	727	867	799	655	901	686	664	783	418	424	114	267	262	89	389	306	392	437	377	94	306	430	966	394	646	184	600	309	253	453	295	109	319	185	346	231									
9	Число недействительных избирательных бюллетеней	298	13	14	12	13	0	10	6	1	3	9	6	6	11	9	15	5	8	17	12	11	7	4	9	1	7	3	0	2	3	6	0	3	2	3	2	6	4	8	3	9	4	1	7	3	0	4	1	11	4									
10	Число действительных избирательных бюллетеней	28146	783	858	920	811	912	630	763	488	360	1071	555	491	700	858	924	919	716	973	740	720	869	436	425	155	384	344	102	440	436	417	568	466	108	433	570	1086	511	790	237	747	407	444	639	353	124	341	203	431	488									
11	Число полученных открепительных  удостоверений	884	19	30	25	25	25	19	33	13	12	33	10	5	30	13	18	20	25	27	16	21	15	13	10	15	22	20	10	23	11	19	10	15	7	15	20	30	11	33	9	25	17	10	29	15	6	11	10	19	15									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	847	19	29	25	25	24	19	33	11	10	33	10	5	30	13	18	20	25	27	13	21	14	11	10	15	22	20	9	22	11	19	9	15	5	15	17	26	10	33	8	25	17	10	28	13	2	7	10	19	15									
13	Число избирателей, проголосовавших по открепительным удостоверениям	402	21	11	11	16	14	5	15	2	4	7	10	8	10	9	10	10	9	29	15	9	8	5	5	2	4	7	4	4	5	3	7	3	5	9	6	5	5	9	46	2	2	4	2	3	0	4	10	7	1									
14	Число неиспользованных открепительных удостоверений	37	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	1	1	0	0	1	0	2	0	3	4	1	0	1	0	0	0	1	2	4	4	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	116	6	4	1	6	2	5	2	1	0	9	4	1	4	1	4	6	3	5	5	2	1	1	4	0	0	0	1	1	0	6	2	2	0	1	0	5	2	7	1	2	0	2	5	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
