Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Татищевская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672									
1	"Число избирателей, включенных в список избирателей"	22020	507	260	1968	319	897	189	267	364	206	289	779	215	643	1302	502	1058	227	1030	1600	188	573	731	2825	1027	1878	652	501	682	341									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22310	510	240	2010	310	900	190	270	360	210	300	800	200	650	1330	500	1090	230	1050	1620	180	580	730	2840	1060	1970	640	510	700	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18377	439	179	1704	248	832	150	224	302	169	229	643	170	506	923	433	671	203	949	1453	145	439	650	2448	861	1531	558	413	614	291									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2220	38	60	165	55	30	31	35	53	29	47	83	30	98	277	54	130	15	49	115	33	112	51	228	61	135	68	58	44	36									
6	Число погашенных избирательных бюллетеней	1704	33	1	141	7	38	9	11	5	12	24	74	0	46	129	13	281	12	52	52	2	29	29	164	138	304	14	39	42	3									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2220	38	60	165	55	30	31	35	53	29	47	83	30	98	277	54	130	15	49	115	33	112	51	228	61	135	68	58	44	36									
8	Число бюллетеней в стационарных ящиках для голосования	18319	439	179	1703	248	832	150	224	302	169	229	643	170	506	922	433	671	203	900	1453	145	439	650	2448	859	1526	558	413	614	291									
9	Число недействительных избирательных бюллетеней	89	2	0	0	0	0	0	0	0	0	0	0	0	0	25	0	27	0	2	10	0	0	0	10	5	8	0	0	0	0									
10	Число действительных избирательных бюллетеней	20450	475	239	1868	303	862	181	259	355	198	276	726	200	604	1174	487	774	218	947	1558	178	551	701	2666	915	1653	626	471	658	327									
11	Число утраченных избирательных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	66	1	1	5	0	6	0	0	0	0	0	2	0	4	4	2	7	0	1	11	1	4	0	2	5	2	2	2	4	0									
		0.32%	0.21%	0.42%	0.27%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.66%	0.33%	0.41%	0.87%	0.00%	0.11%	0.70%	0.56%	0.73%	0.00%	0.07%	0.54%	0.12%	0.32%	0.42%	0.61%	0.00%									
14	Грудинин Павел Николаевич	747	23	10	56	10	25	3	6	16	4	7	27	5	15	24	15	47	4	75	152	4	12	8	24	37	82	15	18	13	10									
		3.64%	4.82%	4.18%	2.99%	3.30%	2.90%	1.66%	2.32%	4.51%	2.02%	2.54%	3.72%	2.50%	2.48%	2.00%	3.08%	5.87%	1.83%	7.90%	9.69%	2.25%	2.18%	1.14%	0.90%	4.02%	4.94%	2.40%	3.82%	1.98%	3.06%									
15	Жириновский Владимир Вольфович	499	14	6	49	2	20	3	3	9	2	3	6	2	10	19	15	43	1	1	59	0	24	3	13	41	94	7	10	21	19									
		2.43%	2.94%	2.51%	2.62%	0.66%	2.32%	1.66%	1.16%	2.54%	1.01%	1.09%	0.83%	1.00%	1.66%	1.58%	3.08%	5.37%	0.46%	0.11%	3.76%	0.00%	4.36%	0.43%	0.49%	4.46%	5.66%	1.12%	2.12%	3.19%	5.81%									
16	Путин Владимир Владимирович	18782	430	219	1699	288	776	174	250	328	190	262	685	193	570	1101	448	660	213	867	1306	173	507	688	2612	812	1408	580	429	616	298									
		91.45%	90.15%	91.63%	90.95%	95.05%	90.02%	96.13%	96.53%	92.39%	95.96%	94.93%	94.35%	96.50%	94.37%	91.83%	91.99%	82.40%	97.71%	91.36%	83.29%	97.19%	92.01%	98.15%	97.61%	88.26%	84.77%	92.65%	91.08%	93.62%	91.13%									
17	Собчак Ксения Анатольевна	164	2	1	29	0	13	0	0	0	0	1	0	0	1	9	3	7	0	3	10	0	2	0	5	10	53	8	5	2	0									
		0.80%	0.42%	0.42%	1.55%	0.00%	1.51%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.17%	0.75%	0.62%	0.87%	0.00%	0.32%	0.64%	0.00%	0.36%	0.00%	0.19%	1.09%	3.19%	1.28%	1.06%	0.30%	0.00%									
18	Сурайкин Максим Александрович	67	4	0	14	3	2	0	0	2	1	2	4	0	2	6	1	6	0	0	4	0	0	1	5	3	3	4	0	0	0									
		0.33%	0.84%	0.00%	0.75%	0.99%	0.23%	0.00%	0.00%	0.56%	0.51%	0.72%	0.55%	0.00%	0.33%	0.50%	0.21%	0.75%	0.00%	0.00%	0.26%	0.00%	0.00%	0.14%	0.19%	0.33%	0.18%	0.64%	0.00%	0.00%	0.00%									
19	Титов Борис Юрьевич	68	1	1	12	0	10	1	0	0	0	1	1	0	2	7	1	1	0	0	11	0	0	0	4	2	4	7	2	0	0									
		0.33%	0.21%	0.42%	0.64%	0.00%	1.16%	0.55%	0.00%	0.00%	0.00%	0.36%	0.14%	0.00%	0.33%	0.58%	0.21%	0.12%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.15%	0.22%	0.24%	1.12%	0.42%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	57	0	1	4	0	10	0	0	0	1	0	1	0	0	4	2	3	0	0	5	0	2	1	1	5	7	3	5	2	0									
		0.28%	0.00%	0.42%	0.21%	0.00%	1.16%	0.00%	0.00%	0.00%	0.51%	0.00%	0.14%	0.00%	0.00%	0.33%	0.41%	0.37%	0.00%	0.00%	0.32%	0.00%	0.36%	0.14%	0.04%	0.54%	0.42%	0.48%	1.06%	0.30%	0.00%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
