Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Охинская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138					
1	"Число избирателей, внесенных в список"	24930	2794	2451	2028	2458	2482	1117	1993	2323	2043	689	233	196	129	456	734	1140	211	118	570	638	67	48	12					
2	Число полученных избирательных бюллетеней	25280	2850	2400	2000	2400	2400	1000	2000	2300	2100	680	230	200	140	450	700	1300	400	400	550	650	60	55	15					
3	"Число избирательных бюллетеней, выданных  досрочно"	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12995	1375	1115	1045	1223	1238	488	977	1236	1150	288	96	193	83	274	453	667	69	50	408	464	44	48	11					
5	"Число избирательных бюллетеней, выданных вне помещения"	895	56	83	36	58	36	130	67	46	34	68	38	0	15	0	17	69	63	46	14	19	0	0	0					
6	Число погашенных избирательных бюллетеней	11368	1397	1202	919	1119	1126	382	956	1018	916	324	96	7	42	176	230	564	268	304	128	167	16	7	4					
7	Число избирательных бюллетеней в переносных ящиках	915	78	83	36	58	36	130	65	46	34	68	38	0	15	0	17	69	63	46	14	19	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	12993	1375	1115	1045	1221	1238	488	977	1236	1150	288	96	193	83	274	453	667	69	50	408	464	44	48	11					
9	Число недействительных избирательных бюллетеней	75	6	8	4	6	6	5	6	2	5	0	3	2	1	0	2	11	1	0	3	4	0	0	0					
10	Число действительных избирательных бюллетеней	13833	1447	1190	1077	1273	1268	613	1036	1280	1179	356	131	191	97	274	468	725	131	96	419	479	44	48	11					
11	Число полученных открепительных  удостоверений	478	65	35	35	40	40	15	35	40	40	13	5	0	8	5	20	45	6	3	10	10	3	3	2					
12	Число выданных открепительных удостоверений	386	54	32	18	32	35	13	31	35	38	11	2	0	5	4	20	40	3	0	4	8	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	267	16	14	7	24	6	3	12	13	10	2	1	7	1	10	8	35	47	46	3	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	92	11	3	17	8	5	2	4	5	2	2	3	0	3	1	0	5	3	3	6	2	3	3	1					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	1	2	0	0	0	1	4	3	0	0	0	0	0	2	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	519	72	39	36	52	48	25	34	59	41	13	2	4	3	6	11	28	10	2	18	15	0	1	0					
		3.73%	4.96%	3.26%	3.33%	4.07%	3.77%	4.05%	3.26%	4.60%	3.46%	3.65%	1.49%	2.07%	3.06%	2.19%	2.34%	3.80%	7.58%	2.08%	4.27%	3.11%	0.00%	2.08%	0.00%					
19	. Малышкин Олег Александрович	368	29	27	25	31	32	24	31	38	14	9	1	2	2	11	25	27	8	9	10	13	0	0	0					
		2.65%	2.00%	2.25%	2.31%	2.42%	2.51%	3.88%	2.98%	2.96%	1.18%	2.53%	0.75%	1.04%	2.04%	4.01%	5.32%	3.67%	6.06%	9.38%	2.37%	2.69%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	102	14	6	9	9	9	3	4	13	4	2	1	3	0	5	0	5	3	1	4	4	3	0	0					
		0.73%	0.96%	0.50%	0.83%	0.70%	0.71%	0.49%	0.38%	1.01%	0.34%	0.56%	0.75%	1.55%	0.00%	1.82%	0.00%	0.68%	2.27%	1.04%	0.95%	0.83%	6.82%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10085	1026	870	799	925	909	451	759	903	868	243	87	154	80	213	343	526	92	69	297	377	40	44	10					
		72.51%	70.61%	72.62%	73.91%	72.32%	71.35%	72.98%	72.84%	70.44%	73.31%	68.26%	64.93%	79.79%	81.63%	77.74%	72.98%	71.47%	69.70%	71.88%	70.38%	78.05%	90.91%	91.67%	90.91%					
22	. Хакамада Ирина Муцуовна	549	73	53	42	54	52	26	40	59	67	8	2	6	2	6	0	26	0	0	6	25	0	1	1					
		3.95%	5.02%	4.42%	3.89%	4.22%	4.08%	4.21%	3.84%	4.60%	5.66%	2.25%	1.49%	3.11%	2.04%	2.19%	0.00%	3.53%	0.00%	0.00%	1.42%	5.18%	0.00%	2.08%	9.09%					
23	. Харитонов Николай Михайлович	1713	183	147	127	152	170	57	128	169	139	67	31	17	6	27	67	92	14	9	74	36	0	1	0					
