Выборы Президента Российской Федерации																																																														
Дата голосования: 02.03.2008																																																														
																																																														
Наименование Избирательной комиссии:    Алапаевская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
	Число участковых избирательных комиссий	55																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	55																																																												
																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №647					
1	"Число избирателей, включенных в списки избирателей"	29523	1750	919	1752	1689	1756	1037	572	490	875	670	762	194	143	317	271	456	107	88	544	58	291	103	317	44	140	624	136	495	954	535	785	753	222	174	497	101	1002	185	880	158	309	164	160	425	1158	220	165	821	649	240	418	545	606	628	169					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30000	1770	910	1760	1717	1710	1060	590	510	850	670	770	190	140	310	270	470	100	90	560	48	300	100	330	45	140	650	200	490	950	520	780	770	220	180	500	90	990	200	910	130	310	160	150	430	1190	220	160	820	660	250	410	830	620	640	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	16780	843	437	791	886	998	525	332	276	431	383	420	130	79	174	167	261	70	68	288	40	140	60	241	33	107	292	136	247	535	309	540	545	133	100	306	75	507	129	632	103	219	136	96	258	567	80	102	509	362	123	284	511	307	343	114					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2195	32	66	38	31	86	83	133	82	76	23	42	32	32	34	23	52	6	0	83	2	51	8	21	0	4	83	0	80	28	73	22	10	15	29	70	13	128	21	50	22	0	0	15	49	135	79	15	42	34	17	10	34	36	36	9					
6	Число погашенных избирательных бюллетеней	11025	895	407	931	800	626	452	125	152	343	264	308	28	29	102	80	157	24	22	189	6	109	32	68	12	29	275	64	163	387	138	218	215	72	51	124	2	355	50	228	5	91	24	39	123	488	61	43	269	264	110	116	285	277	261	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2195	32	66	38	31	86	83	133	82	76	23	42	32	32	34	23	52	6	0	83	2	51	8	21	0	4	83	0	80	28	73	22	10	15	29	70	13	128	21	50	22	0	0	15	49	135	79	15	42	34	17	10	34	36	36	9					
8	Число бюллетеней в стационарных ящиках для голосования	16780	843	437	791	886	998	525	332	276	431	383	420	130	79	174	167	261	70	68	288	40	140	60	241	33	107	292	136	247	535	309	540	545	133	100	306	75	507	129	632	103	219	136	96	258	567	80	102	509	362	123	284	511	307	343	114					
9	Число недействительных избирательных бюллетеней	234	25	14	19	15	12	8	0	2	11	7	7	0	0	2	8	1	0	0	4	0	4	1	2	0	0	10	1	1	8	5	5	8	0	0	0	0	10	0	4	2	0	1	0	1	6	3	1	4	7	2	0	9	0	4	0					
10	Число действительных избирательных бюллетеней	18741	850	489	810	902	1072	600	465	356	496	399	455	162	111	206	182	312	76	68	367	42	187	67	260	33	111	365	135	326	555	377	557	547	148	129	376	88	625	150	678	123	219	135	111	306	696	156	116	547	389	138	294	536	343	375	123					
11	Число полученных открепительных  удостоверений	449	35	5	15	10	20	8	15	15	10	10	5	5	3	5	5	10	3	3	10	5	7	3	10	3	4	16	0	8	12	5	5	10	7	3	8	3	10	3	30	3	3	3	3	5	20	3	3	10	10	6	5	18	5	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	316	26	1	3	10	6	8	15	15	4	5	5	2	3	1	2	10	0	0	5	5	7	0	10	0	0	16	0	8	9	5	4	10	4	3	8	1	1	0	30	0	0	3	0	0	20	1	1	10	10	3	5	12	1	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	1	5	8	5	10	2	2	0	2	0	3	0	1	0	2	6	0	0	1	1	1	0	1	0	0	7	44	3	4	5	0	4	0	2	3	1	8	0	3	0	0	0	2	2	12	1	3	6	3	1	7	22	0	1	0					
14	Число неиспользованных открепительных удостоверений	133	9	4	12	0	14	0	0	0	6	5	0	3	0	4	3	0	3	3	5	0	0	3	0	3	4	0	0	0	3	0	1	0	3	0	0	2	9	3	0	3	3	0	3	5	0	2	2	0	0	3	0	6	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	Богданов Андрей Владимирович	208	11	7	7	12	10	6	8	4	6	5	7	0	1	2	3	3	1	2	0	0	2	0	4	0	1	7	3	3	7	2	4	3	1	4	3	2	9	1	5	3	3	2	2	3	10	0	2	6	3	3	1	7	3	3	1					
