Выборы Президента Российской Федерации																																																											
Дата голосования: 02.03.2008																																																											
																																																											
Наименование Избирательной комиссии:    Артинская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
	Число участковых избирательных комиссий	52																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	52																																																									
																																																											
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
1	"Число избирателей, включенных в списки избирателей"	26578	1444	1186	1335	1213	1237	1234	347	656	74	1267	174	376	208	74	149	1268	404	780	1343	534	286	60	941	86	137	251	618	89	379	613	273	528	881	48	85	204	1204	223	120	91	865	233	295	272	328	686	72	73	671	152	254	257					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26670	1400	1200	1330	1240	1250	1225	335	690	75	1250	170	390	200	75	150	1270	425	790	1320	540	285	60	940	80	135	260	600	90	380	640	280	540	890	50	80	200	1210	225	125	90	885	240	300	280	320	700	60	70	680	150	250	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	126	0	0	0	0	0	0	0	33	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	14896	688	689	737	561	685	681	191	401	53	724	109	217	113	41	90	689	242	391	737	296	175	40	590	68	103	109	324	53	228	335	188	338	505	33	51	103	579	140	80	49	444	139	166	164	175	447	47	55	442	94	137	160					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1377	118	21	41	45	48	30	30	31	8	41	10	20	6	2	14	27	23	65	100	22	3	3	19	3	3	25	34	12	22	78	17	51	16	8	11	6	71	9	10	6	76	19	22	12	18	37	4	0	38	0	24	18					
6	Число погашенных избирательных бюллетеней	10271	594	490	552	634	517	514	114	225	14	485	51	133	81	32	46	554	160	334	483	222	107	17	331	9	29	69	242	25	130	227	75	151	353	9	18	91	560	76	35	35	365	82	112	104	127	216	9	15	200	56	89	72					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1503	118	21	41	45	48	30	30	64	8	41	10	40	6	2	14	27	23	65	100	22	3	3	19	3	3	82	34	12	22	78	17	51	32	8	11	6	71	9	10	6	76	19	22	12	18	37	4	0	38	0	24	18					
8	Число бюллетеней в стационарных ящиках для голосования	14893	688	689	737	560	684	681	191	401	53	724	109	217	113	41	90	689	242	391	737	296	175	40	589	68	103	109	324	53	228	335	188	338	505	33	51	103	579	140	80	49	444	139	166	164	175	447	47	55	442	94	137	160					
9	Число недействительных избирательных бюллетеней	293	8	13	25	11	4	9	6	9	0	12	6	5	4	1	2	16	5	4	12	0	4	1	14	1	1	0	8	0	6	6	5	0	15	0	2	3	12	4	0	1	8	3	4	11	0	6	1	2	9	0	7	7					
10	Число действительных избирательных бюллетеней	16103	798	697	753	594	728	702	215	456	61	753	113	252	115	42	102	700	260	452	825	318	174	42	594	70	105	191	350	65	244	407	200	389	522	41	60	106	638	145	90	54	512	155	184	165	193	478	50	53	471	94	154	171					
11	Число полученных открепительных  удостоверений	504	14	15	5	10	20	15	7	20	3	19	5	19	5	3	4	12	30	5	23	10	7	5	15	5	5	10	10	2	10	29	8	25	10	5	2	5	10	7	5	0	15	3	10	7	9	17	4	0	10	2	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	448	11	13	5	8	17	9	7	20	2	18	0	18	5	1	4	11	30	5	23	10	6	5	11	1	5	10	8	1	10	29	8	25	7	5	2	4	10	5	3	0	14	3	5	7	9	17	4	0	10	2	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	4	3	4	3	2	0	4	3	2	6	1	1	8	0	3	4	5	1	5	0	0	2	9	4	1	2	4	1	4	0	3	4	3	1	2	2	2	4	1	0	3	1	1	1	0	4	5	2	8	1	2	3					
14	Число неиспользованных открепительных удостоверений	56	3	2	0	2	3	6	0	0	1	1	5	1	0	2	0	1	0	0	0	0	1	0	4	4	0	0	2	1	0	0	0	0	3	0	0	1	0	2	2	0	1	0	5	0	0	0	0	0	0	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	40	1	2	5	3	2	2	2	0	0	2	0	1	0	0	0	3	0	3	2	0	0	0	2	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	Богданов Андрей Владимирович	178	4	4	9	6	8	6	0	5	1	7	1	3	2	0	0	4	6	2	13	6	2	2	7	0	4	1	2	0	6	4	1	0	6	0	3	2	16	2	3	0	8	2	4	0	0	5	0	3	2	0	1	5					
		1.09%	0.50%	0.56%	1.16%	0.99%	1.09%	0.84%	0.00%	1.08%	1.64%	0.92%	0.84%	1.17%	1.68%	0.00%	0.00%	0.56%	2.26%	0.44%	1.55%	1.89%	1.12%	4.65%	1.15%	0.00%	3.77%	0.52%	0.56%	0.00%	2.40%	0.97%	0.49%	0.00%	1.12%	0.00%	4.84%	1.83%	2.46%	1.34%	3.33%	0.00%	1.54%	1.27%	2.13%	0.00%	0.00%	1.03%	0.00%	5.45%	0.42%	0.00%	0.62%	2.81%					
19	Жириновский Владимир Вольфович	1742	88	95	100	80	92	103	21	20	8	84	8	26	14	3	10	72	19	29	81	35	29	1	62	9	6	8	42	6	36	38	13	62	67	6	8	14	74	17	5	2	55	12	20	18	13	47	9	10	29	12	9	15					
		10.62%	10.92%	13.38%	12.85%	13.22%	12.57%	14.49%	9.50%	4.30%	13.11%	10.98%	6.72%	10.12%	11.76%	6.98%	9.62%	10.06%	7.17%	6.36%	9.68%	11.01%	16.29%	2.33%	10.20%	12.68%	5.66%	4.19%	11.73%	9.23%	14.40%	9.20%	6.34%	15.94%	12.48%	14.63%	12.90%	12.84%	11.38%	11.41%	5.56%	3.64%	10.58%	7.59%	10.64%	10.23%	6.74%	9.71%	17.65%	18.18%	6.04%	12.77%	5.59%	8.43%					
20	Зюганов Геннадий Андреевич	2673	109	100	83	74	112	109	29	165	6	129	21	39	15	5	20	95	44	107	90	72	35	3	108	16	33	19	57	7	28	134	19	38	94	5	12	11	103	14	7	4	93	34	30	31	37	68	8	3	91	15	42	50					
		16.30%	13.52%	14.08%	10.67%	12.23%	15.30%	15.33%	13.12%	35.48%	9.84%	16.86%	17.65%	15.18%	12.61%	11.63%	19.23%	13.27%	16.60%	23.46%	10.75%	22.64%	19.66%	6.98%	17.76%	22.54%	31.13%	9.95%	15.92%	10.77%	11.20%	32.45%	9.27%	9.77%	17.50%	12.20%	19.35%	10.09%	15.85%	9.40%	7.78%	7.27%	17.88%	21.52%	15.96%	17.61%	19.17%	14.05%	15.69%	5.45%	18.96%	15.96%	26.09%	28.09%					
21	Медведев Дмитрий Анатольевич	11510	597	498	561	434	516	484	165	266	46	533	83	184	84	34	72	529	191	314	641	205	108	36	417	45	62	163	249	52	174	231	167	289	355	30	37	79	445	112	75	48	356	107	130	116	143	358	33	37	349	67	102	101					
		70.20%	74.07%	70.14%	72.11%	71.74%	70.49%	68.07%	74.66%	57.20%	75.41%	69.67%	69.75%	71.60%	70.59%	79.07%	69.23%	73.88%	72.08%	68.86%	76.58%	64.47%	60.67%	83.72%	68.59%	63.38%	58.49%	85.34%	69.55%	80.00%	69.60%	55.93%	81.46%	74.29%	66.11%	73.17%	59.68%	72.48%	68.46%	75.17%	83.33%	87.27%	68.46%	67.72%	69.15%	65.91%	74.09%	73.97%	64.71%	67.27%	72.71%	71.28%	63.35%	56.74%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
