Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Асбестовская городская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №2607	УИК №2608	УИК №2609					
1	"Число избирателей, внесенных в список"	63512	1663	2865	2627	2966	2687	2046	2841	2895	2919	2718	1515	1958	2182	2686	2142	2905	2862	2886	2920	2896	2888	2133	2152	2421	1865	324	236	277	37					
2	Число полученных избирательных бюллетеней	63386	1690	2750	2632	2980	2696	2045	2841	2912	2907	2698	1504	1950	2171	2691	2103	2918	2853	2888	2910	2912	2829	2115	2131	2433	1834	315	223	405	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32191	873	1896	1033	1474	1369	983	1437	1341	1536	1329	757	1079	1221	1432	904	1623	1496	1505	1445	1594	1379	1030	997	1222	773	155	190	85	33					
5	"Число избирательных бюллетеней, выданных вне помещения"	1148	24	16	90	15	24	28	14	42	25	39	14	15	20	20	46	43	40	50	71	48	79	15	28	58	87	1	0	192	4					
6	Число погашенных избирательных бюллетеней	30047	793	838	1509	1491	1303	1034	1390	1529	1346	1330	733	856	930	1239	1153	1252	1317	1333	1394	1270	1371	1070	1106	1153	974	159	33	128	13					
7	Число избирательных бюллетеней в переносных ящиках	1148	24	16	90	15	24	28	14	42	25	39	14	15	20	20	46	43	40	50	71	48	79	15	28	58	87	1	0	192	4					
8	Число бюллетеней в стационарных ящиках для голосования	32189	873	1896	1033	1474	1369	983	1437	1341	1534	1329	757	1079	1221	1432	904	1623	1496	1505	1445	1594	1379	1030	997	1222	773	155	190	85	33					
9	Число недействительных избирательных бюллетеней	237	11	21	3	4	4	8	9	5	6	5	4	9	10	3	6	14	16	8	9	20	19	10	7	14	5	3	3	1	0					
10	Число действительных избирательных бюллетеней	33100	886	1891	1120	1485	1389	1003	1442	1378	1553	1363	767	1085	1231	1449	944	1652	1520	1547	1507	1622	1439	1035	1018	1266	855	153	187	276	37					
11	Число полученных открепительных  удостоверений	1200	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	30	0	0					
