Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Байкаловская            																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208					
1	"Число избирателей, внесенных в список"	14357	1269	1540	1536	897	691	531	721	246	971	190	190	85	796	461	798	171	578	653	244	692	830	267					
2	Число полученных избирательных бюллетеней	14400	1200	1580	1500	870	700	540	720	250	1000	200	200	100	800	460	800	180	600	650	250	680	850	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7226	589	853	862	404	310	289	375	153	469	130	92	59	457	220	339	50	242	379	137	306	373	138					
5	"Число избирательных бюллетеней, выданных вне помещения"	1029	51	49	18	50	106	27	66	20	34	9	13	4	30	77	50	61	45	49	33	114	95	28					
6	Число погашенных избирательных бюллетеней	6145	560	678	620	416	284	224	279	77	497	61	95	37	313	163	411	69	313	222	80	260	382	104					
7	Число избирательных бюллетеней в переносных ящиках	1029	51	49	18	50	106	27	66	20	34	9	13	4	30	77	50	61	45	49	33	114	95	28					
8	Число бюллетеней в стационарных ящиках для голосования	7226	589	853	862	404	310	289	375	153	469	130	92	59	457	220	339	50	242	379	137	306	373	138					
9	Число недействительных избирательных бюллетеней	67	6	5	3	9	1	3	1	1	12	0	3	0	2	3	4	0	5	0	1	7	1	0					
10	Число действительных избирательных бюллетеней	8188	634	897	877	445	415	313	440	172	491	139	102	63	485	294	385	111	282	428	169	413	467	166					
11	Число полученных открепительных  удостоверений	299	25	30	30	20	15	12	15	5	20	5	5	3	18	10	15	3	15	12	5	15	16	5					
12	Число выданных открепительных удостоверений	29	1	3	3	0	0	0	2	0	7	0	0	0	3	3	4	1	0	0	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	1	2	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	2	2	0					
14	Число неиспользованных открепительных удостоверений	270	24	27	27	20	15	12	13	5	13	5	5	3	15	7	11	2	15	12	5	14	15	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	201	24	33	24	8	9	8	14	4	14	0	6	0	7	5	6	0	9	11	3	6	5	5					
		2.43%	3.75%	3.66%	2.73%	1.76%	2.16%	2.53%	3.17%	2.31%	2.78%	0.00%	5.71%	0.00%	1.44%	1.68%	1.54%	0.00%	3.14%	2.57%	1.76%	1.43%	1.07%	3.01%					
19	. Малышкин Олег Александрович	228	15	22	28	10	10	6	7	11	8	2	0	0	18	15	5	3	6	8	4	12	31	7					
		2.76%	2.34%	2.44%	3.18%	2.20%	2.40%	1.90%	1.59%	6.36%	1.59%	1.44%	0.00%	0.00%	3.70%	5.05%	1.29%	2.70%	2.09%	1.87%	2.35%	2.86%	6.62%	4.22%					
20	. Миронов Сергей Михайлович	46	3	6	2	2	0	1	2	0	2	2	1	0	1	1	5	3	3	1	1	2	3	5					
		0.56%	0.47%	0.67%	0.23%	0.44%	0.00%	0.32%	0.45%	0.00%	0.40%	1.44%	0.95%	0.00%	0.21%	0.34%	1.29%	2.70%	1.05%	0.23%	0.59%	0.48%	0.64%	3.01%					
21	. Путин Владимир Владимирович	6224	477	669	667	342	283	227	360	136	387	123	81	44	370	215	333	95	195	330	122	326	309	133					
		75.40%	74.53%	74.17%	75.80%	75.33%	68.03%	71.84%	81.63%	78.61%	76.94%	88.49%	77.14%	69.84%	75.98%	72.39%	85.60%	85.59%	67.94%	77.10%	71.76%	77.62%	66.03%	80.12%					
22	. Хакамада Ирина Муцуовна	119	16	21	24	8	1	3	4	6	8	1	4	1	2	2	3	0	3	2	0	4	3	3					
		1.44%	2.50%	2.33%	2.73%	1.76%	0.24%	0.95%	0.91%	3.47%	1.59%	0.72%	3.81%	1.59%	0.41%	0.67%	0.77%	0.00%	1.05%	0.47%	0.00%	0.95%	0.64%	1.81%					
23	. Харитонов Николай Михайлович	1290	95	129	126	71	108	67	51	13	69	10	10	17	84	52	30	10	60	74	38	60	104	12					
		15.63%	14.84%	14.30%	14.32%	15.64%	25.96%	21.20%	11.56%	7.51%	13.72%	7.19%	9.52%	26.98%	17.25%	17.51%	7.71%	9.01%	20.91%	17.29%	22.35%	14.29%	22.22%	7.23%					
																													
24	Против всех	80	4	17	6	4	4	1	2	2	3	1	0	1	3	4	3	0	6	2	1	3	12	1					
		0.97%	0.62%	1.88%	0.68%	0.88%	0.96%	0.32%	0.45%	1.16%	0.60%	0.72%	0.00%	1.59%	0.62%	1.35%	0.77%	0.00%	2.09%	0.47%	0.59%	0.71%	2.56%	0.60%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
