Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Екатеринбург, Октябрьская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595					
1	"Число избирателей, внесенных в список"	112373	2054	1822	2028	2427	2230	2065	2048	2193	2017	1426	2417	2369	2145	2737	2600	2386	2498	2623	2729	1790	2019	1931	2397	2444	2646	2724	2446	2429	2773	2692	2630	3160	1438	2396	2292	2212	2354	2219	3008	2176	2221	2088	2305	2446	3001	2141	1968	2604	224	263	85	37					
2	Число полученных избирательных бюллетеней	101600	1900	1600	1800	2100	2000	1900	1900	2000	1800	1300	2200	2200	2000	2300	2300	2100	2300	2400	2400	1600	1800	1700	2200	2200	2400	2500	2200	2200	2500	2400	2300	2700	1300	2200	2000	2000	2100	2000	2700	2000	2000	1800	2100	2200	2600	1900	1800	2300	400	400	300	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	62656	1377	1093	1148	1482	1337	1192	1328	1358	1233	745	1284	1428	1261	1602	1423	1344	1476	1580	1653	1074	1035	958	1284	1371	1475	1593	1367	1370	1565	1415	1428	1272	688	1268	1117	1161	1421	1296	1678	1195	1253	1124	1208	1137	1549	1253	1076	1267	213	163	1	37					
5	"Число избирательных бюллетеней, выданных вне помещения"	1449	21	58	23	50	38	60	23	32	27	29	14	20	28	30	14	46	11	12	16	10	18	53	33	24	44	15	24	29	22	16	15	1	31	17	10	10	13	10	13	26	19	25	43	34	61	21	38	38	0	100	84	0					
6	Число погашенных избирательных бюллетеней	37495	502	449	629	568	625	648	549	610	540	526	902	752	711	668	863	710	813	808	731	516	747	689	883	805	881	892	809	801	913	969	857	1427	581	915	873	829	666	694	1009	779	728	651	849	1029	990	626	686	995	187	137	215	263					
7	Число избирательных бюллетеней в переносных ящиках	1449	21	58	23	50	38	60	23	32	27	29	14	20	28	30	14	46	11	12	16	10	18	53	33	24	44	15	24	29	22	16	15	1	31	17	10	10	13	10	13	26	19	25	43	34	61	21	38	38	0	100	84	0					
8	Число бюллетеней в стационарных ящиках для голосования	62510	1374	1093	1047	1480	1336	1192	1328	1358	1233	745	1284	1428	1261	1602	1423	1342	1460	1580	1653	1071	1035	958	1284	1369	1475	1593	1367	1370	1555	1415	1428	1272	688	1267	1117	1161	1419	1296	1678	1195	1253	1124	1208	1137	1549	1250	1076	1267	213	163	1	37					
9	Число недействительных избирательных бюллетеней	560	4	4	6	10	13	9	12	5	4	2	6	6	11	8	5	6	12	12	11	11	19	9	14	14	4	19	9	10	12	14	12	9	11	11	15	18	10	10	17	20	12	14	17	21	28	13	18	7	1	12	3	0					
10	Число действительных избирательных бюллетеней	63399	1391	1147	1064	1520	1361	1243	1339	1385	1256	772	1292	1442	1278	1624	1432	1382	1459	1580	1658	1070	1034	1002	1303	1379	1515	1589	1382	1389	1565	1417	1431	1264	708	1273	1112	1153	1422	1296	1674	1201	1260	1135	1234	1150	1582	1258	1096	1298	212	251	82	37					
11	Число полученных открепительных  удостоверений	1480	30	30	30	30	30	30	30	40	30	20	30	30	20	30	30	30	30	30	40	20	30	30	30	30	30	30	30	30	30	30	30	120	10	30	30	20	30	30	30	30	30	30	30	20	30	30	30	30	0	0	0	0					
12	Число выданных открепительных удостоверений	850	21	18	20	17	15	12	18	20	25	10	20	28	16	20	26	21	15	4	28	9	20	9	24	21	19	29	21	21	20	18	9	103	6	13	6	7	20	9	15	4	12	7	13	1	15	7	14	24	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	722	11	26	21	13	17	8	20	16	24	14	15	14	21	11	9	18	5	50	23	20	8	14	6	8	6	23	11	16	13	9	18	15	7	9	10	10	4	5	15	6	5	12	8	8	13	29	8	10	15	7	1	37					
14	Число неиспользованных открепительных удостоверений	630	9	12	10	13	15	18	12	20	5	10	10	2	4	10	4	9	15	26	12	11	10	21	6	9	11	1	9	9	10	12	21	17	4	17	24	13	10	21	15	26	18	23	17	19	15	23	16	6	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	3103	108	69	58	77	87	89	75	100	64	53	72	84	90	57	111	61	68	92	75	61	55	39	74	80	76	83	63	53	57	66	54	39	25	43	37	39	72	51	79	51	64	45	38	25	58	57	53	45	13	11	4	3					
		4.85%	7.74%	5.99%	5.42%	5.03%	6.33%	7.11%	5.55%	7.19%	5.08%	6.85%	5.55%	5.80%	6.98%	3.49%	7.72%	4.39%	4.62%	5.78%	4.49%	5.64%	5.22%	3.86%	5.62%	5.74%	5.00%	5.16%	4.53%	3.79%	3.61%	4.61%	3.74%	3.06%	3.48%	3.35%	3.28%	3.33%	5.03%	3.91%	4.67%	4.18%	5.03%	3.92%	3.04%	2.13%	3.60%	4.48%	4.76%	3.45%	6.10%	4.18%	4.71%	8.11%					
19	. Малышкин Олег Александрович	937	10	10	9	13	11	22	19	13	8	8	11	15	10	22	16	16	24	24	16	13	13	20	18	27	19	23	21	23	38	23	20	27	12	19	26	17	21	36	34	20	22	15	30	22	27	27	11	29	2	5	0	0					
		1.47%	0.72%	0.87%	0.84%	0.85%	0.80%	1.76%	1.41%	0.94%	0.63%	1.03%	0.85%	1.04%	0.78%	1.35%	1.11%	1.15%	1.63%	1.51%	0.96%	1.20%	1.23%	1.98%	1.37%	1.94%	1.25%	1.43%	1.51%	1.64%	2.41%	1.61%	1.39%	2.12%	1.67%	1.48%	2.31%	1.45%	1.47%	2.76%	2.01%	1.64%	1.73%	1.31%	2.40%	1.88%	1.68%	2.12%	0.99%	2.22%	0.94%	1.90%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	410	9	3	9	6	12	6	10	14	3	7	8	6	7	9	9	8	12	11	5	3	7	8	10	6	8	9	9	7	6	11	8	7	2	15	9	5	7	11	9	9	7	8	9	15	10	12	12	10	1	6	0	0					
		0.64%	0.65%	0.26%	0.84%	0.39%	0.87%	0.48%	0.74%	1.01%	0.24%	0.90%	0.62%	0.41%	0.54%	0.55%	0.63%	0.58%	0.82%	0.69%	0.30%	0.28%	0.66%	0.79%	0.76%	0.43%	0.53%	0.56%	0.65%	0.50%	0.38%	0.77%	0.55%	0.55%	0.28%	1.17%	0.80%	0.43%	0.49%	0.84%	0.53%	0.74%	0.55%	0.70%	0.72%	1.28%	0.62%	0.94%	1.08%	0.77%	0.47%	2.28%	0.00%	0.00%					
21	. Путин Владимир Владимирович	47071	876	741	687	1141	903	831	921	910	804	489	871	991	903	1270	990	957	1089	1105	1277	766	781	769	982	1042	1087	1193	1032	1082	1173	1055	1076	1012	571	1028	909	948	1109	1024	1311	952	982	874	985	969	1292	958	852	1041	169	193	68	30					
		73.60%	62.80%	64.38%	64.21%	74.58%	65.72%	66.37%	68.17%	65.47%	63.81%	63.18%	67.10%	68.44%	70.05%	77.82%	68.89%	68.95%	74.03%	69.41%	76.51%	70.86%	74.17%	76.06%	74.56%	74.80%	71.56%	74.19%	74.19%	77.34%	74.38%	73.72%	74.57%	79.50%	79.42%	80.06%	80.66%	80.96%	77.44%	78.41%	77.53%	77.97%	77.20%	76.07%	78.74%	82.75%	80.25%	75.37%	76.48%	79.77%	79.34%	73.38%	80.00%	81.08%					
22	. Хакамада Ирина Муцуовна	6140	222	191	202	154	196	142	204	215	196	145	203	190	140	137	141	224	138	179	176	132	83	94	104	111	164	130	140	95	141	155	151	93	46	72	50	55	93	69	117	64	76	65	64	44	78	85	81	63	15	9	5	1					
		9.60%	15.91%	16.59%	18.88%	10.07%	14.26%	11.34%	15.10%	15.47%	15.56%	18.73%	15.64%	13.12%	10.86%	8.39%	9.81%	16.14%	9.38%	11.24%	10.55%	12.21%	7.88%	9.30%	7.90%	7.97%	10.80%	8.08%	10.06%	6.79%	8.94%	10.83%	10.46%	7.31%	6.40%	5.61%	4.44%	4.70%	6.49%	5.28%	6.92%	5.24%	5.97%	5.66%	5.12%	3.76%	4.84%	6.69%	7.27%	4.83%	7.04%	3.42%	5.88%	2.70%					
23	. Харитонов Николай Михайлович	3582	109	78	59	68	95	88	65	94	88	51	79	100	75	79	115	69	66	88	53	77	61	37	71	70	115	98	74	85	94	53	72	40	36	68	56	61	69	67	61	77	97	90	76	53	71	84	61	68	8	7	3	3					
		5.60%	7.81%	6.78%	5.51%	4.44%	6.91%	7.03%	4.81%	6.76%	6.98%	6.59%	6.09%	6.91%	5.82%	4.84%	8.00%	4.97%	4.49%	5.53%	3.18%	7.12%	5.79%	3.66%	5.39%	5.03%	7.57%	6.09%	5.32%	6.08%	5.96%	3.70%	4.99%	3.14%	5.01%	5.30%	4.97%	5.21%	4.82%	5.13%	3.61%	6.31%	7.63%	7.83%	6.08%	4.53%	4.41%	6.61%	5.48%	5.21%	3.76%	2.66%	3.53%	8.11%					
																																																											
24	Против всех	2156	57	55	40	61	57	65	45	39	93	19	48	56	53	50	50	47	62	81	56	18	34	35	44	43	46	53	43	44	56	54	50	46	16	28	25	28	51	38	63	28	12	38	32	22	46	35	26	42	4	20	2	0					
		3.37%	4.09%	4.78%	3.74%	3.99%	4.15%	5.19%	3.33%	2.81%	7.38%	2.45%	3.70%	3.87%	4.11%	3.06%	3.48%	3.39%	4.21%	5.09%	3.36%	1.67%	3.23%	3.46%	3.34%	3.09%	3.03%	3.30%	3.09%	3.15%	3.55%	3.77%	3.47%	3.61%	2.23%	2.18%	2.22%	2.39%	3.56%	2.91%	3.73%	2.29%	0.94%	3.31%	2.56%	1.88%	2.86%	2.75%	2.33%	3.22%	1.88%	7.60%	2.35%	0.00%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
