Выборы Президента Российской Федерации																																					
Дата голосования: 18.03.2018																																					
																																					
Наименование Избирательной комиссии:    Красноуфимская городская																																					
																																					
Сводная таблица итогов голосования																																					
																																					
	Число участковых избирательных комиссий	26																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	26																																			
																																					
		Сумма	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076									
1	"Число избирателей, включенных в список избирателей"	29165	1270	1332	574	1428	886	1712	1572	744	1304	1488	850	1446	1547	1373	1364	466	1554	1033	839	1445	522	1009	804	1425	803	375									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28950	1260	1340	550	1400	890	1560	1570	650	1350	1490	850	1440	1550	1360	1380	460	1550	1040	850	1440	530	1040	790	1450	800	360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17784	814	876	370	899	508	898	875	434	949	937	569	964	999	786	760	284	782	565	489	883	305	679	507	843	524	285									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	876	17	41	11	59	20	132	20	33	51	32	30	12	51	39	44	12	61	20	12	27	10	34	41	28	18	21									
6	Число погашенных избирательных бюллетеней	10280	429	423	169	442	362	530	675	183	350	521	251	464	500	535	576	164	707	455	348	530	215	327	242	579	258	45									
7	Число избирательных бюллетеней в переносных ящиках для голосования	886	17	41	11	59	20	132	20	33	51	32	30	12	51	39	44	12	61	20	13	27	10	34	41	28	18	30									
8	Число бюллетеней в стационарных ящиках для голосования	17783	814	876	370	899	508	898	875	434	949	937	569	964	999	786	760	284	782	565	488	883	305	679	507	843	524	285									
9	Число недействительных избирательных бюллетеней	208	7	6	1	13	11	11	13	3	8	10	7	13	12	5	12	4	14	6	15	9	3	5	6	10	3	1									
10	Число действительных избирательных бюллетеней	18461	824	911	380	945	517	1019	882	464	992	959	592	963	1038	820	792	292	829	579	486	901	312	708	542	861	539	314									
11	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
13	Бабурин Сергей Николаевич	142	8	9	3	3	2	6	6	1	7	5	3	5	6	3	8	4	7	7	1	11	0	7	9	11	8	2									
		0.76%	0.96%	0.98%	0.79%	0.31%	0.38%	0.58%	0.67%	0.21%	0.70%	0.52%	0.50%	0.51%	0.57%	0.36%	0.99%	1.35%	0.83%	1.20%	0.20%	1.21%	0.00%	0.98%	1.64%	1.26%	1.48%	0.63%									
14	Грудинин Павел Николаевич	2579	104	129	59	127	49	138	130	73	125	141	88	123	130	126	149	23	96	82	86	151	50	105	73	114	77	31									
		13.81%	12.52%	14.07%	15.49%	13.26%	9.28%	13.40%	14.53%	15.63%	12.50%	14.55%	14.69%	12.60%	12.38%	15.27%	18.53%	7.77%	11.39%	14.02%	17.17%	16.59%	15.87%	14.73%	13.32%	13.09%	14.21%	9.84%									
15	Жириновский Владимир Вольфович	1570	65	70	38	89	54	88	82	43	66	59	39	70	83	78	71	25	104	57	48	69	16	38	44	80	43	51									
		8.41%	7.82%	7.63%	9.97%	9.29%	10.23%	8.54%	9.16%	9.21%	6.60%	6.09%	6.51%	7.17%	7.90%	9.45%	8.83%	8.45%	12.34%	9.74%	9.58%	7.58%	5.08%	5.33%	8.03%	9.18%	7.93%	16.19%									
16	Путин Владимир Владимирович	13547	617	675	273	709	399	752	644	333	746	715	438	723	774	581	542	233	587	427	330	642	229	531	404	630	395	218									
		72.56%	74.25%	73.61%	71.65%	74.01%	75.57%	73.01%	71.96%	71.31%	74.60%	73.79%	73.12%	74.08%	73.71%	70.42%	67.41%	78.72%	69.63%	72.99%	65.87%	70.55%	72.70%	74.47%	73.72%	72.33%	72.88%	69.21%									
17	Собчак Ксения Анатольевна	209	10	14	1	3	3	15	4	4	18	14	10	10	14	17	8	0	16	2	5	9	8	10	2	6	3	3									
		1.12%	1.20%	1.53%	0.26%	0.31%	0.57%	1.46%	0.45%	0.86%	1.80%	1.44%	1.67%	1.02%	1.33%	2.06%	0.99%	0.00%	1.90%	0.34%	0.99%	0.99%	2.54%	1.40%	0.36%	0.69%	0.55%	0.95%									
18	Сурайкин Максим Александрович	152	5	3	3	7	5	10	5	6	11	9	3	8	8	5	5	3	9	1	7	9	1	2	5	10	5	7									
		0.81%	0.60%	0.33%	0.79%	0.73%	0.95%	0.97%	0.56%	1.28%	1.10%	0.93%	0.50%	0.82%	0.76%	0.61%	0.62%	1.01%	1.07%	0.17%	1.40%	0.99%	0.32%	0.28%	0.91%	1.15%	0.92%	2.22%									
19	Титов Борис Юрьевич	140	11	7	2	5	4	6	9	2	6	6	8	10	13	5	7	3	6	0	5	3	6	9	2	2	3	0									
		0.75%	1.32%	0.76%	0.52%	0.52%	0.76%	0.58%	1.01%	0.43%	0.60%	0.62%	1.34%	1.02%	1.24%	0.61%	0.87%	1.01%	0.71%	0.00%	0.99%	0.33%	1.90%	1.26%	0.36%	0.23%	0.55%	0.00%									
20	Явлинский Григорий Алексеевич	122	4	4	1	2	1	4	2	2	13	10	3	14	10	5	2	1	4	3	4	7	2	6	3	8	5	2									
		0.65%	0.48%	0.44%	0.26%	0.21%	0.19%	0.39%	0.22%	0.43%	1.30%	1.03%	0.50%	1.43%	0.95%	0.61%	0.25%	0.34%	0.47%	0.51%	0.80%	0.77%	0.63%	0.84%	0.55%	0.92%	0.92%	0.63%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
