Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Североуральская городская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  2447	УИК  2448	УИК  2449	УИК  2450	УИК  2451	УИК  2452	УИК  2453	УИК  2454	УИК  2455	УИК  2456	УИК  2457	УИК  2458	УИК  2459	УИК  2460	УИК  2461	УИК  2462	УИК  2463	УИК  2464	УИК  2465	УИК  2466	УИК  2616	УИК  2617	УИК  2618					
1	"Число избирателей, внесенных в список"	40236	2193	2080	2105	2065	1999	2028	2377	2279	2409	2307	1117	523	1736	1667	1709	2102	1194	300	194	1962	2210	1994	1686					
2	Число полученных избирательных бюллетеней	40085	2065	2050	2220	2050	1930	2230	2280	2310	2330	2330	1050	530	1780	1640	1750	2020	1380	310	200	1860	2100	1980	1690					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22414	975	1239	1100	1203	1081	1168	1378	1271	1348	1320	539	234	925	1023	923	1282	645	146	100	1193	1282	1009	1030					
5	"Число избирательных бюллетеней, выданных вне помещения"	1083	236	16	37	127	85	44	32	20	34	24	48	44	68	16	18	16	34	20	14	42	52	35	21					
6	Число погашенных избирательных бюллетеней	16588	854	795	1083	720	764	1018	870	1019	948	986	463	252	787	601	809	722	701	144	86	625	766	936	639					
7	Число избирательных бюллетеней в переносных ящиках	1083	236	16	37	127	85	44	32	20	34	24	48	44	68	16	18	16	34	20	14	42	52	35	21					
8	Число бюллетеней в стационарных ящиках для голосования	22413	975	1239	1100	1203	1081	1168	1378	1271	1348	1320	539	234	925	1023	923	1282	645	146	100	1192	1282	1009	1030					
9	Число недействительных избирательных бюллетеней	225	12	3	15	12	11	9	10	7	8	8	8	5	24	10	13	14	12	3	4	13	10	9	5					
10	Число действительных избирательных бюллетеней	23271	1199	1252	1122	1318	1155	1203	1400	1284	1374	1336	579	273	969	1029	928	1284	667	163	110	1221	1324	1035	1046					
11	Число полученных открепительных  удостоверений	793	39	40	45	40	40	40	40	50	45	45	20	10	35	35	35	40	25	8	6	40	45	40	30					
12	Число выданных открепительных удостоверений	153	5	3	12	8	2	15	15	7	9	14	7	2	7	3	3	10	0	0	1	8	8	14	0					
