Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Среднеуральская городская 															
															
Итоги голосования 															
															
		Сумма	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524					
1	"Число избирателей, внесенных в список"	15591	2941	1929	1749	2248	1739	1140	2373	1472					
2	Число полученных избирательных бюллетеней	15500	3000	2000	1700	2200	1700	1100	2300	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9315	1769	1156	1076	1358	1069	653	1444	790					
5	"Число избирательных бюллетеней, выданных вне помещения"	277	66	27	36	32	27	16	27	46					
6	Число погашенных избирательных бюллетеней	5908	1165	817	588	810	604	431	829	664					
7	Число избирательных бюллетеней в переносных ящиках	277	66	27	36	32	27	16	27	46					
8	Число бюллетеней в стационарных ящиках для голосования	9314	1768	1156	1076	1358	1069	653	1444	790					
9	Число недействительных избирательных бюллетеней	97	12	11	8	15	12	6	23	10					
10	Число действительных избирательных бюллетеней	9494	1822	1172	1104	1375	1084	663	1448	826					
11	Число полученных открепительных  удостоверений	299	49	30	30	50	30	30	50	30					
12	Число выданных открепительных удостоверений	59	14	5	9	14	7	3	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	8	2	6	7	6	6	2	3					
14	Число неиспользованных открепительных удостоверений	240	35	25	21	36	23	27	47	26					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	263	58	33	35	32	20	23	36	26					
		2.74%	3.16%	2.79%	3.15%	2.30%	1.82%	3.44%	2.45%	3.11%					
19	. Малышкин Олег Александрович	165	29	27	17	30	17	10	24	11					
		1.72%	1.58%	2.28%	1.53%	2.16%	1.55%	1.49%	1.63%	1.32%					
20	. Миронов Сергей Михайлович	116	11	8	5	12	61	10	5	4					
		1.21%	0.60%	0.68%	0.45%	0.86%	5.57%	1.49%	0.34%	0.48%					
21	. Путин Владимир Владимирович	7855	1517	956	896	1143	912	530	1217	684					
		81.90%	82.72%	80.81%	80.58%	82.23%	83.21%	79.22%	82.73%	81.82%					
22	. Хакамада Ирина Муцуовна	400	86	47	44	57	32	27	67	40					
		4.17%	4.69%	3.97%	3.96%	4.10%	2.92%	4.04%	4.55%	4.78%					
23	. Харитонов Николай Михайлович	520	97	74	78	76	32	48	69	46					
		5.42%	5.29%	6.26%	7.01%	5.47%	2.92%	7.17%	4.69%	5.50%					
															
24	Против всех	175	24	27	29	25	10	15	30	15					
		1.82%	1.31%	2.28%	2.61%	1.80%	0.91%	2.24%	2.04%	1.79%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
