Выборы Президента Российской Федерации																																															
Дата голосования: 18.03.2018																																															
																																															
Наименование Избирательной комиссии:    Гагаринская																																															
																																															
Сводная таблица итогов голосования																																															
																																															
	Число участковых избирательных комиссий	36																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	36																																													
																																															
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98									
1	"Число избирателей, включенных в список избирателей"	35146	1989	2019	1897	1879	2065	1980	1971	1828	979	1849	1896	2067	1154	329	389	2051	687	152	266	218	415	311	176	267	279	676	222	846	739	415	295	259	498	296	1094	693									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33020	1800	1950	1850	1800	2000	1950	1850	1700	950	1850	1900	1900	1000	300	380	1900	600	130	230	200	400	270	150	240	250	600	200	850	700	350	250	220	450	250	1000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18752	1071	1051	985	1084	1137	942	1075	1071	467	1087	1105	1233	535	140	158	1146	391	88	181	148	249	149	56	127	144	365	110	380	399	208	152	133	261	135	518	271									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1155	33	28	21	16	27	25	30	18	12	11	24	25	58	31	47	41	56	19	9	17	31	40	38	34	29	41	18	57	47	42	7	15	49	51	52	56									
6	Число погашенных избирательных бюллетеней	13113	696	871	844	700	836	983	745	611	471	752	771	642	407	129	175	713	153	23	40	35	120	81	56	79	77	194	72	413	254	100	91	72	140	64	430	273									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1155	33	28	21	16	27	25	30	18	12	11	24	25	58	31	47	41	56	19	9	17	31	40	38	34	29	41	18	57	47	42	7	15	49	51	52	56									
8	Число бюллетеней в стационарных ящиках для голосования	18745	1069	1051	984	1083	1137	941	1074	1071	467	1087	1104	1233	535	140	158	1146	391	88	181	148	249	149	56	127	144	365	110	380	399	208	152	133	261	135	518	271									
9	Число недействительных избирательных бюллетеней	217	18	27	13	13	8	10	11	10	3	14	19	12	12	1	0	13	2	2	1	0	0	1	0	0	0	5	1	3	2	1	2	1	3	4	3	2									
10	Число действительных избирательных бюллетеней	19683	1084	1052	992	1086	1156	956	1093	1079	476	1084	1109	1246	581	170	205	1174	445	105	189	165	280	188	94	161	173	401	127	434	444	249	157	147	307	182	567	325									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
13	Бабурин Сергей Николаевич	142	2	11	12	14	6	7	11	13	1	6	7	10	6	2	2	13	4	0	1	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	6	2									
		0.71%	0.18%	1.02%	1.19%	1.27%	0.52%	0.72%	0.99%	1.19%	0.21%	0.55%	0.62%	0.79%	1.01%	1.17%	0.98%	1.10%	0.89%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.49%	0.00%	0.23%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.61%									
14	Грудинин Павел Николаевич	2538	168	145	152	152	178	135	173	152	64	153	152	172	61	21	20	164	43	15	17	13	30	14	3	16	5	44	5	53	35	31	17	7	24	14	75	15									
		12.75%	15.25%	13.44%	15.12%	13.83%	15.29%	13.98%	15.67%	13.96%	13.36%	13.93%	13.48%	13.67%	10.29%	12.28%	9.76%	13.82%	9.62%	14.02%	8.95%	7.88%	10.71%	7.41%	3.19%	9.94%	2.89%	10.84%	3.91%	12.13%	7.85%	12.40%	10.69%	4.73%	7.74%	7.53%	13.16%	4.59%									
15	Жириновский Владимир Вольфович	1587	64	61	68	87	90	83	96	82	38	91	72	116	51	19	13	115	48	12	10	5	24	36	8	11	12	51	8	26	31	15	15	21	26	14	45	23									
		7.97%	5.81%	5.65%	6.77%	7.92%	7.73%	8.59%	8.70%	7.53%	7.93%	8.29%	6.38%	9.22%	8.60%	11.11%	6.34%	9.69%	10.74%	11.21%	5.26%	3.03%	8.57%	19.05%	8.51%	6.83%	6.94%	12.56%	6.25%	5.95%	6.95%	6.00%	9.43%	14.19%	8.39%	7.53%	7.89%	7.03%									
16	Путин Владимир Владимирович	14848	817	798	728	786	842	700	776	796	355	796	824	909	454	128	167	861	340	78	155	145	221	133	81	126	156	300	112	350	362	196	122	119	254	152	437	272									
		74.61%	74.14%	73.96%	72.44%	71.52%	72.34%	72.46%	70.29%	73.09%	74.11%	72.50%	73.05%	72.26%	76.56%	74.85%	81.46%	72.54%	76.06%	72.90%	81.58%	87.88%	78.93%	70.37%	86.17%	78.26%	90.17%	73.89%	87.50%	80.09%	81.17%	78.40%	76.73%	80.41%	81.94%	81.72%	76.67%	83.18%									
17	Собчак Ксения Анатольевна	215	16	12	7	23	10	14	15	15	11	16	22	12	5	0	1	4	4	0	2	2	3	1	0	4	0	1	0	2	3	1	0	0	2	0	0	7									
		1.08%	1.45%	1.11%	0.70%	2.09%	0.86%	1.45%	1.36%	1.38%	2.30%	1.46%	1.95%	0.95%	0.84%	0.00%	0.49%	0.34%	0.89%	0.00%	1.05%	1.21%	1.07%	0.53%	0.00%	2.48%	0.00%	0.25%	0.00%	0.46%	0.67%	0.40%	0.00%	0.00%	0.65%	0.00%	0.00%	2.14%									
18	Сурайкин Максим Александрович	135	8	9	9	5	9	5	7	10	5	8	13	7	1	0	1	10	1	0	3	0	0	2	1	2	0	0	0	2	3	4	0	0	1	2	4	3									
