Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Дорогобужская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137					
1	"Число избирателей, внесенных в список"	25902	558	208	276	224	359	259	176	341	306	283	215	308	362	251	738	1361	625	932	747	716	2535	2480	1902	1966	1784	1643	1820	2527					
2	Число полученных избирательных бюллетеней	25500	575	212	279	230	360	259	180	325	310	290	218	310	360	252	740	1300	620	910	700	670	2520	2440	1860	1930	1770	1630	1750	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12325	258	99	142	97	184	122	83	144	134	119	74	179	178	129	267	550	340	408	368	298	1219	1214	928	965	848	846	908	1224					
5	"Число избирательных бюллетеней, выданных вне помещения"	1420	118	55	73	67	137	38	34	48	15	85	48	47	71	58	147	83	17	73	7	12	9	7	12	10	15	6	70	58					
6	Число погашенных избирательных бюллетеней	11755	199	58	64	66	39	99	63	133	161	86	96	84	111	65	326	667	263	429	325	360	1292	1219	920	955	907	778	772	1218					
7	Число избирательных бюллетеней в переносных ящиках	1420	118	55	73	67	137	38	34	48	15	85	48	47	71	58	147	83	17	73	7	12	9	7	12	10	15	6	70	58					
8	Число бюллетеней в стационарных ящиках для голосования	12325	258	99	142	97	184	122	83	144	134	119	74	179	178	129	267	550	340	408	368	298	1219	1214	928	965	848	846	908	1224					
9	Число недействительных избирательных бюллетеней	94	4	0	4	1	0	2	1	1	4	2	3	1	2	4	1	3	7	1	2	4	6	10	4	6	2	4	7	8					
10	Число действительных избирательных бюллетеней	13651	372	154	211	163	321	158	116	191	145	202	119	225	247	183	413	630	350	480	373	306	1222	1211	936	969	861	848	971	1274					
11	Число полученных открепительных  удостоверений	485	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	97	4	0	2	4	0	1	2	1	0	2	1	0	0	0	5	4	1	1	6	3	7	11	8	7	7	4	5	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	72	2	4	0	1	2	1	2	7	1	0	4	0	1	1	6	3	1	1	1	1	5	7	2	3	5	2	6	3					
14	Число неиспользованных открепительных удостоверений	388	11	15	13	11	15	14	13	14	15	13	14	15	15	15	10	16	19	19	14	17	13	9	12	13	13	16	15	9					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
