Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Краснинская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520					
1	"Число избирателей, внесенных в список"	12664	260	348	189	235	163	675	585	1439	340	293	146	2750	1235	164	207	246	516	87	207	287	344	99	637	177	229	192	270	344					
2	Число полученных избирательных бюллетеней	12450	250	350	190	230	160	700	590	1430	350	290	150	2570	1210	165	200	240	510	90	200	280	340	100	640	170	230	190	275	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6050	120	132	88	130	69	314	255	767	162	160	64	1363	596	90	82	98	256	30	123	121	139	58	338	77	88	81	110	139					
5	"Число избирательных бюллетеней, выданных вне помещения"	2015	77	116	50	50	55	52	43	25	70	49	48	79	140	51	74	86	86	41	43	109	108	32	87	69	100	86	81	108					
6	Число погашенных избирательных бюллетеней	4385	53	102	52	50	36	334	292	638	118	81	38	1128	474	24	44	56	168	19	34	50	93	10	215	24	42	23	84	103					
7	Число избирательных бюллетеней в переносных ящиках	2015	77	116	50	50	55	52	43	25	70	49	48	79	140	51	74	86	86	41	43	109	108	32	87	69	100	86	81	108					
8	Число бюллетеней в стационарных ящиках для голосования	6045	120	132	88	130	69	314	255	767	162	160	64	1358	596	90	82	98	256	30	123	121	139	58	338	77	88	81	110	139					
9	Число недействительных избирательных бюллетеней	54	0	4	0	0	1	3	2	9	1	0	0	16	4	0	0	0	2	1	1	1	0	1	2	0	6	0	0	0					
10	Число действительных избирательных бюллетеней	8006	197	244	138	180	123	363	296	783	231	209	112	1421	732	141	156	184	340	70	165	229	247	89	423	146	182	167	191	247					
11	Число полученных открепительных  удостоверений	450	5	10	5	10	5	25	25	30	30	10	5	100	80	5	5	5	10	5	10	5	10	5	10	5	10	5	10	10					
12	Число выданных открепительных удостоверений	62	2	1	0	0	0	5	1	6	1	0	3	18	4	2	0	0	2	0	0	1	4	1	1	3	5	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	93	4	2	3	2	1	3	5	8	1	0	0	13	8	1	5	5	5	0	4	1	7	5	1	3	4	0	1	1					
14	Число неиспользованных открепительных удостоверений	388	3	9	5	10	5	20	24	24	29	10	2	82	76	3	5	5	8	5	10	4	6	4	9	2	5	5	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	191	13	4	4	3	1	10	9	22	2	5	0	51	21	2	1	7	6	0	0	2	3	0	4	2	1	4	3	11					
		2.37%	6.60%	1.61%	2.90%	1.67%	0.81%	2.73%	3.02%	2.78%	0.86%	2.39%	0.00%	3.55%	2.85%	1.42%	0.64%	3.80%	1.75%	0.00%	0.00%	0.87%	1.21%	0.00%	0.94%	1.37%	0.53%	2.40%	1.57%	4.45%					
19	. Малышкин Олег Александрович	245	17	7	10	10	1	11	9	18	5	3	1	55	31	5	3	0	5	4	0	6	6	1	18	3	5	2	3	6					
		3.04%	8.63%	2.82%	7.25%	5.56%	0.81%	3.01%	3.02%	2.27%	2.16%	1.44%	0.89%	3.83%	4.21%	3.55%	1.92%	0.00%	1.46%	5.63%	0.00%	2.61%	2.43%	1.11%	4.24%	2.05%	2.66%	1.20%	1.57%	2.43%					
20	. Миронов Сергей Михайлович	69	3	5	2	2	0	1	4	9	3	2	1	11	4	2	1	2	0	2	0	5	3	0	1	2	1	1	1	1					
		0.86%	1.52%	2.02%	1.45%	1.11%	0.00%	0.27%	1.34%	1.14%	1.29%	0.96%	0.89%	0.77%	0.54%	1.42%	0.64%	1.09%	0.00%	2.82%	0.00%	2.17%	1.21%	0.00%	0.24%	1.37%	0.53%	0.60%	0.52%	0.40%					
21	. Путин Владимир Владимирович	5376	116	142	84	119	71	269	218	577	192	148	75	870	439	95	105	133	269	27	107	166	164	55	320	105	79	120	129	182					
		66.70%	58.88%	57.26%	60.87%	66.11%	57.26%	73.50%	73.15%	72.85%	82.76%	70.81%	66.96%	60.54%	59.65%	67.38%	67.31%	72.28%	78.65%	38.03%	64.46%	72.17%	66.40%	61.11%	75.29%	71.92%	42.02%	71.86%	67.54%	73.68%					
22	. Хакамада Ирина Муцуовна	160	1	7	1	1	1	8	4	26	1	4	5	33	11	6	2	3	7	2	5	3	3	3	7	1	0	1	5	9					
		1.99%	0.51%	2.82%	0.72%	0.56%	0.81%	2.19%	1.34%	3.28%	0.43%	1.91%	4.46%	2.30%	1.49%	4.26%	1.28%	1.63%	2.05%	2.82%	3.01%	1.30%	1.21%	3.33%	1.65%	0.68%	0.00%	0.60%	2.62%	3.64%					
23	. Харитонов Николай Михайлович	1802	42	76	30	41	48	51	51	111	23	44	29	354	215	29	42	39	47	35	51	45	66	27	68	32	93	37	45	31					
		22.36%	21.32%	30.65%	21.74%	22.78%	38.71%	13.93%	17.11%	14.02%	9.91%	21.05%	25.89%	24.63%	29.21%	20.57%	26.92%	21.20%	13.74%	49.30%	30.72%	19.57%	26.72%	30.00%	16.00%	21.92%	49.47%	22.16%	23.56%	12.55%					
																																			
