Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Новодугинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218					
1	"Число избирателей, внесенных в список"	8772	179	225	529	265	653	238	177	243	119	484	104	2652	167	221	251	152	539	219	637	306	412					
2	Число полученных избирательных бюллетеней	8770	181	226	542	269	658	241	180	244	121	488	104	2623	170	221	249	155	536	221	617	308	416					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4792	138	165	288	132	436	106	88	185	70	169	48	1320	104	149	107	92	216	130	408	129	312					
5	"Число избирательных бюллетеней, выданных вне помещения"	1717	40	38	130	107	130	90	71	39	31	209	38	91	46	51	93	39	137	55	150	132	0					
6	Число погашенных избирательных бюллетеней	2261	3	23	124	30	92	45	21	20	20	110	18	1212	20	21	49	24	183	36	59	47	104					
7	Число избирательных бюллетеней в переносных ящиках	1717	40	38	130	107	130	90	71	39	31	209	38	91	46	51	93	39	137	55	150	132	0					
8	Число бюллетеней в стационарных ящиках для голосования	4792	138	165	288	132	436	106	88	185	70	169	48	1320	104	149	107	92	216	130	408	129	312					
9	Число недействительных избирательных бюллетеней	36	0	0	1	0	1	0	0	0	1	3	0	12	0	3	3	0	2	0	2	3	5					
10	Число действительных избирательных бюллетеней	6473	178	203	417	239	565	196	159	224	100	375	86	1399	150	197	197	131	351	185	556	258	307					
11	Число полученных открепительных  удостоверений	375	16	17	19	17	19	17	16	17	16	19	16	32	16	17	17	16	19	17	19	16	17					
12	Число выданных открепительных удостоверений	24	0	0	3	0	1	1	2	0	0	0	0	8	0	0	0	1	3	0	0	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	0	0	1	0	0	0	0	1	1	2	12	2	0	0	0	3	0	4	0	1					
14	Число неиспользованных открепительных удостоверений	351	16	17	16	17	18	16	14	17	16	19	16	24	16	17	17	15	16	17	19	14	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	148	7	3	2	7	18	1	3	1	0	15	0	52	3	4	0	1	10	2	6	4	9					
		2.27%	3.93%	1.48%	0.48%	2.93%	3.18%	0.51%	1.89%	0.45%	0.00%	3.97%	0.00%	3.69%	2.00%	2.00%	0.00%	0.76%	2.83%	1.08%	1.08%	1.53%	2.88%					
19	. Малышкин Олег Александрович	120	3	4	11	5	7	0	6	1	1	7	2	36	3	8	3	3	6	0	7	4	3					
		1.84%	1.69%	1.97%	2.63%	2.09%	1.24%	0.00%	3.77%	0.45%	0.99%	1.85%	2.33%	2.55%	2.00%	4.00%	1.50%	2.29%	1.70%	0.00%	1.25%	1.53%	0.96%					
20	. Миронов Сергей Михайлович	53	1	2	3	0	4	1	2	0	0	3	0	12	0	2	0	0	0	0	3	0	20					
		0.81%	0.56%	0.99%	0.72%	0.00%	0.71%	0.51%	1.26%	0.00%	0.00%	0.79%	0.00%	0.85%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	6.41%					
21	. Путин Владимир Владимирович	5012	139	169	305	180	433	164	116	192	90	269	48	1012	138	155	181	104	278	150	465	205	219					
		77.00%	78.09%	83.25%	72.97%	75.31%	76.50%	83.67%	72.96%	85.71%	89.11%	71.16%	55.81%	71.72%	92.00%	77.50%	90.50%	79.39%	78.75%	81.08%	83.33%	78.54%	70.19%					
22	. Хакамада Ирина Муцуовна	80	1	2	7	1	5	1	3	3	0	4	1	26	1	1	0	1	4	2	10	4	3					
		1.23%	0.56%	0.99%	1.67%	0.42%	0.88%	0.51%	1.89%	1.34%	0.00%	1.06%	1.16%	1.84%	0.67%	0.50%	0.00%	0.76%	1.13%	1.08%	1.79%	1.53%	0.96%					
23	. Харитонов Николай Михайлович	917	26	15	78	44	87	27	23	24	7	64	34	223	5	23	8	22	50	28	56	37	36					
		14.09%	14.61%	7.39%	18.66%	18.41%	15.37%	13.78%	14.47%	10.71%	6.93%	16.93%	39.53%	15.80%	3.33%	11.50%	4.00%	16.79%	14.16%	15.14%	10.04%	14.18%	11.54%					
																												
24	Против всех	143	1	8	11	2	11	2	6	3	2	13	1	38	0	4	5	0	3	3	9	4	17					
		2.20%	0.56%	3.94%	2.63%	0.84%	1.94%	1.02%	3.77%	1.34%	1.98%	3.44%	1.16%	2.69%	0.00%	2.00%	2.50%	0.00%	0.85%	1.62%	1.61%	1.53%	5.45%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
