Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Руднянская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626					
1	"Число избирателей, внесенных в список"	22187	2527	3001	2642	281	1320	1657	407	191	588	177	324	200	220	410	110	206	380	670	296	258	350	197	419	488	241	440	717	392	896	157	176	200	248	420	155	237	225	159	88	117					
2	Число полученных избирательных бюллетеней	22200	2463	2942	2665	276	1324	1677	423	191	593	169	325	205	216	402	113	208	361	682	296	260	365	200	414	489	246	433	717	416	914	158	175	206	253	424	159	237	234	162	90	117					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11734	1326	1477	1381	143	656	910	190	133	342	61	99	108	133	277	44	66	234	421	106	171	294	115	177	275	121	264	465	135	510	53	52	110	126	165	89	129	146	101	48	81					
5	"Число избирательных бюллетеней, выданных вне помещения"	2963	72	37	43	39	64	36	130	39	83	73	163	46	55	64	51	114	90	70	139	54	17	71	166	99	72	40	67	112	99	82	107	70	67	164	29	77	50	46	36	30					
6	Число погашенных избирательных бюллетеней	7503	1065	1428	1241	94	604	731	103	19	168	35	63	51	28	61	18	28	37	191	51	35	54	14	71	115	53	129	185	169	305	23	16	26	60	95	41	31	38	15	6	6					
7	Число избирательных бюллетеней в переносных ящиках	2963	72	37	43	39	64	36	130	39	83	73	163	46	55	64	51	114	90	70	139	54	17	71	166	99	72	40	67	112	99	82	107	70	67	164	29	77	50	46	36	30					
8	Число бюллетеней в стационарных ящиках для голосования	11733	1326	1477	1381	143	656	910	190	133	342	61	99	108	133	277	44	66	233	421	106	171	294	115	177	275	121	264	465	135	510	53	52	110	126	165	89	129	146	101	48	81					
9	Число недействительных избирательных бюллетеней	103	16	9	34	0	5	10	1	0	0	0	0	1	0	0	0	3	2	2	1	0	1	0	0	0	4	4	1	1	3	0	0	0	0	0	0	3	2	0	0	0					
10	Число действительных избирательных бюллетеней	14593	1382	1505	1390	182	715	936	319	172	425	134	262	153	188	341	95	177	321	489	244	225	310	186	343	374	189	300	531	246	606	135	159	180	193	329	118	203	194	147	84	111					
11	Число полученных открепительных  удостоверений	610	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	104	13	17	7	0	6	9	0	0	0	0	0	0	0	1	0	1	8	1	0	3	0	0	0	2	1	0	20	0	5	0	0	0	2	0	1	1	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	7	9	10	3	7	6	0	0	4	6	3	0	0	2	0	0	3	1	0	3	0	2	5	0	1	2	2	1	4	0	1	0	4	0	0	0	0	1	1	1					
14	Число неиспользованных открепительных удостоверений	506	2	3	8	15	9	6	15	15	15	15	15	15	15	14	15	14	7	14	15	12	15	15	15	13	14	15	0	15	10	15	15	15	13	15	14	14	9	15	15	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	295	50	27	53	1	17	25	3	1	0	3	3	0	0	9	1	4	4	2	1	5	6	1	4	12	4	5	12	2	15	1	6	2	0	5	1	2	6	0	1	1					
		2.01%	3.58%	1.78%	3.72%	0.55%	2.36%	2.64%	0.94%	0.58%	0.00%	2.24%	1.15%	0.00%	0.00%	2.64%	1.05%	2.22%	1.24%	0.41%	0.41%	2.22%	1.93%	0.54%	1.17%	3.21%	2.07%	1.64%	2.26%	0.81%	2.46%	0.74%	3.77%	1.11%	0.00%	1.52%	0.85%	0.97%	3.06%	0.00%	1.19%	0.90%					
19	. Малышкин Олег Александрович	311	18	41	28	4	13	19	0	8	9	5	7	1	2	9	1	2	7	15	2	3	6	2	10	22	2	3	12	9	8	1	1	1	3	2	0	10	9	10	3	3					
		2.12%	1.29%	2.71%	1.97%	2.20%	1.81%	2.01%	0.00%	4.65%	2.12%	3.73%	2.67%	0.65%	1.06%	2.64%	1.05%	1.11%	2.17%	3.05%	0.82%	1.33%	1.93%	1.08%	2.92%	5.88%	1.04%	0.99%	2.26%	3.64%	1.31%	0.74%	0.63%	0.56%	1.55%	0.61%	0.00%	4.85%	4.59%	6.80%	3.57%	2.70%					
20	. Миронов Сергей Михайлович	124	16	10	10	0	4	14	1	0	2	0	3	2	2	8	2	0	1	2	2	1	5	2	6	0	0	0	5	4	3	1	1	4	1	1	0	4	6	1	0	0					
		0.84%	1.14%	0.66%	0.70%	0.00%	0.56%	1.48%	0.31%	0.00%	0.47%	0.00%	1.15%	1.30%	1.06%	2.35%	2.11%	0.00%	0.31%	0.41%	0.82%	0.44%	1.61%	1.08%	1.75%	0.00%	0.00%	0.00%	0.94%	1.62%	0.49%	0.74%	0.63%	2.22%	0.52%	0.30%	0.00%	1.94%	3.06%	0.68%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9646	860	931	909	118	445	613	227	119	310	86	178	70	148	210	55	125	209	306	170	180	186	126	260	234	125	206	416	168	424	114	115	106	131	205	92	126	120	88	50	85					
		65.64%	61.52%	61.49%	63.83%	64.84%	61.81%	64.80%	70.94%	69.19%	72.94%	64.18%	67.94%	45.45%	78.72%	61.58%	57.89%	69.44%	64.71%	62.32%	69.39%	80.00%	59.81%	67.74%	75.80%	62.57%	64.77%	67.76%	78.20%	68.02%	69.62%	84.44%	72.33%	58.89%	67.88%	62.31%	77.97%	61.17%	61.22%	59.86%	59.52%	76.58%					
22	. Хакамада Ирина Муцуовна	236	30	24	22	3	17	19	0	3	1	0	7	6	1	5	4	1	7	17	2	2	5	2	5	3	1	8	8	2	10	0	1	4	1	7	0	2	5	1	0	0					
		1.61%	2.15%	1.59%	1.54%	1.65%	2.36%	2.01%	0.00%	1.74%	0.24%	0.00%	2.67%	3.90%	0.53%	1.47%	4.21%	0.56%	2.17%	3.46%	0.82%	0.89%	1.61%	1.08%	1.46%	0.80%	0.52%	2.63%	1.50%	0.81%	1.64%	0.00%	0.63%	2.22%	0.52%	2.13%	0.00%	0.97%	2.55%	0.68%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	3766	379	439	362	55	199	227	88	41	98	39	62	73	32	95	32	45	83	140	63	32	96	53	54	96	57	75	72	59	128	18	33	60	51	108	23	57	46	46	29	21					
		25.63%	27.11%	29.00%	25.42%	30.22%	27.64%	24.00%	27.50%	23.84%	23.06%	29.10%	23.66%	47.40%	17.02%	27.86%	33.68%	25.00%	25.70%	28.51%	25.71%	14.22%	30.87%	28.49%	15.74%	25.67%	29.53%	24.67%	13.53%	23.89%	21.02%	13.33%	20.75%	33.33%	26.42%	32.83%	19.49%	27.67%	23.47%	31.29%	34.52%	18.92%					
																																															
24	Против всех	215	29	33	6	1	20	19	0	0	5	1	2	1	3	5	0	0	10	7	4	2	6	0	4	7	0	3	6	2	18	0	2	3	6	1	2	2	2	1	1	1					
		1.46%	2.07%	2.18%	0.42%	0.55%	2.78%	2.01%	0.00%	0.00%	1.18%	0.75%	0.76%	0.65%	1.60%	1.47%	0.00%	0.00%	3.10%	1.43%	1.63%	0.89%	1.93%	0.00%	1.17%	1.87%	0.00%	0.99%	1.13%	0.81%	2.96%	0.00%	1.26%	1.67%	3.11%	0.30%	1.69%	0.97%	1.02%	0.68%	1.19%	0.90%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
