Выборы Президента Российской Федерации																																																		
Дата голосования: 18.03.2018																																																		
																																																		
Наименование Избирательной комиссии:    Ярцевская																																																		
																																																		
Сводная таблица итогов голосования																																																		
																																																		
	Число участковых избирательных комиссий	39																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	39																																																
																																																		
		Сумма	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793									
1	"Число избирателей, включенных в список избирателей"	44360	935	1242	1418	2062	2133	1691	1037	1042	2708	2378	1432	1256	815	1884	1679	1129	1759	1872	1263	506	617	682	1665	1406	1172	1293	580	261	383	1277	138	146	185	1022	583	963	617	313	816									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43050	890	1195	1385	1970	2025	1635	1000	995	2625	2310	1380	1225	760	1845	1640	1135	1710	1845	1225	485	605	670	1610	1330	1155	1275	555	255	375	1255	130	140	180	995	570	955	610	305	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21940	546	542	669	990	1144	799	544	560	1391	1270	763	647	436	996	895	395	960	998	614	251	328	333	863	740	625	465	270	99	187	472	63	52	94	527	301	360	275	118	358									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1401	16	20	55	89	27	39	18	17	30	16	19	16	72	28	10	8	19	36	23	10	18	33	43	34	23	39	17	13	35	133	10	25	31	35	47	73	100	55	69									
6	Число погашенных избирательных бюллетеней	19709	328	633	661	891	854	797	438	418	1204	1024	598	562	252	821	735	732	731	811	588	224	259	304	704	556	507	771	268	143	153	650	57	63	55	433	222	522	235	132	373									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1401	16	20	55	89	27	39	18	17	30	16	19	16	72	28	10	8	19	36	23	10	18	33	43	34	23	39	17	13	35	133	10	25	31	35	47	73	100	55	69									
8	Число бюллетеней в стационарных ящиках для голосования	21940	546	542	669	990	1144	799	544	560	1391	1270	763	647	436	996	895	395	960	998	614	251	328	333	863	740	625	465	270	99	187	472	63	52	94	527	301	360	275	118	358									
9	Число недействительных избирательных бюллетеней	230	5	3	9	7	16	7	8	3	17	15	16	12	7	5	7	4	10	8	3	2	2	7	11	8	9	6	3	0	0	3	0	0	0	3	7	3	3	1	0									
10	Число действительных избирательных бюллетеней	23111	557	559	715	1072	1155	831	554	574	1404	1271	766	651	501	1019	898	399	969	1026	634	259	344	359	895	766	639	498	284	112	222	602	73	77	125	559	341	430	372	172	427									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
13	Бабурин Сергей Николаевич	209	5	7	4	6	7	14	2	3	8	9	3	12	8	8	5	1	11	19	2	3	3	7	9	9	4	6	1	2	0	6	0	0	3	6	0	4	3	2	7									
		0.90%	0.89%	1.25%	0.55%	0.56%	0.60%	1.67%	0.36%	0.52%	0.56%	0.70%	0.38%	1.81%	1.57%	0.78%	0.55%	0.25%	1.12%	1.84%	0.31%	1.15%	0.87%	1.91%	0.99%	1.16%	0.62%	1.19%	0.35%	1.79%	0.00%	0.99%	0.00%	0.00%	2.40%	1.07%	0.00%	0.92%	0.80%	1.16%	1.64%									
14	Грудинин Павел Николаевич	3062	68	67	61	131	151	123	60	72	226	180	108	82	36	125	145	49	140	133	70	37	42	47	126	116	90	77	36	17	35	116	9	10	8	104	26	51	23	14	51									
		13.12%	12.10%	11.92%	8.43%	12.14%	12.89%	14.68%	10.68%	12.48%	15.90%	13.99%	13.81%	12.37%	7.09%	12.21%	16.02%	12.16%	14.30%	12.86%	10.99%	14.18%	12.14%	12.84%	13.91%	14.99%	13.89%	15.28%	12.54%	15.18%	15.77%	19.17%	12.33%	12.99%	6.40%	18.51%	7.47%	11.78%	6.13%	8.09%	11.94%									
15	Жириновский Владимир Вольфович	1581	30	47	48	77	95	49	41	38	86	94	45	44	46	84	42	28	60	52	55	15	26	18	63	43	41	32	18	7	20	45	10	5	18	32	31	29	15	14	38									
		6.77%	5.34%	8.36%	6.63%	7.14%	8.11%	5.85%	7.30%	6.59%	6.05%	7.31%	5.75%	6.64%	9.06%	8.20%	4.64%	6.95%	6.13%	5.03%	8.63%	5.75%	7.51%	4.92%	6.95%	5.56%	6.33%	6.35%	6.27%	6.25%	9.01%	7.44%	13.70%	6.49%	14.40%	5.69%	8.91%	6.70%	4.00%	8.09%	8.90%									
16	Путин Владимир Владимирович	17554	425	417	575	821	872	625	433	449	1048	942	586	478	390	766	686	310	724	793	492	198	257	277	667	571	476	372	223	81	165	424	53	62	91	404	275	336	326	138	326									
		75.21%	75.62%	74.20%	79.42%	76.09%	74.47%	74.58%	77.05%	77.82%	73.75%	73.25%	74.94%	72.10%	76.77%	74.80%	75.80%	76.92%	73.95%	76.69%	77.24%	75.86%	74.28%	75.68%	73.62%	73.77%	73.46%	73.81%	77.70%	72.32%	74.32%	70.08%	72.60%	80.52%	72.80%	71.89%	79.02%	77.60%	86.93%	79.77%	76.35%									
17	Собчак Ксения Анатольевна	264	16	12	11	21	11	9	9	5	9	18	11	14	7	10	9	1	7	8	6	2	7	2	13	8	9	6	2	1	1	1	0	0	4	5	0	4	1	2	2									
		1.13%	2.85%	2.14%	1.52%	1.95%	0.94%	1.07%	1.60%	0.87%	0.63%	1.40%	1.41%	2.11%	1.38%	0.98%	0.99%	0.25%	0.72%	0.77%	0.94%	0.77%	2.02%	0.55%	1.43%	1.03%	1.39%	1.19%	0.70%	0.89%	0.45%	0.17%	0.00%	0.00%	3.20%	0.89%	0.00%	0.92%	0.27%	1.16%	0.47%									
18	Сурайкин Максим Александрович	159	4	4	4	4	6	6	4	4	12	9	5	9	3	7	4	4	10	9	4	2	3	2	7	4	7	1	2	1	0	4	1	0	0	1	5	3	1	1	2									
		0.68%	0.71%	0.71%	0.55%	0.37%	0.51%	0.72%	0.71%	0.69%	0.84%	0.70%	0.64%	1.36%	0.59%	0.68%	0.44%	0.99%	1.02%	0.87%	0.63%	0.77%	0.87%	0.55%	0.77%	0.52%	1.08%	0.20%	0.70%	0.89%	0.00%	0.66%	1.37%	0.00%	0.00%	0.18%	1.44%	0.69%	0.27%	0.58%	0.47%									
19	Титов Борис Юрьевич	150	6	4	6	6	6	2	2	3	6	9	5	6	5	14	5	4	7	5	2	1	5	6	5	8	5	1	2	0	1	3	0	0	0	3	2	1	2	1	1									
		0.64%	1.07%	0.71%	0.83%	0.56%	0.51%	0.24%	0.36%	0.52%	0.42%	0.70%	0.64%	0.90%	0.98%	1.37%	0.55%	0.99%	0.72%	0.48%	0.31%	0.38%	1.45%	1.64%	0.55%	1.03%	0.77%	0.20%	0.70%	0.00%	0.45%	0.50%	0.00%	0.00%	0.00%	0.53%	0.57%	0.23%	0.53%	0.58%	0.23%									
20	Явлинский Григорий Алексеевич	132	3	1	6	6	7	3	3	0	9	10	3	6	6	5	2	2	10	7	3	1	1	0	5	7	7	3	0	3	0	3	0	0	1	4	2	2	1	0	0									
		0.57%	0.53%	0.18%	0.83%	0.56%	0.60%	0.36%	0.53%	0.00%	0.63%	0.78%	0.38%	0.90%	1.18%	0.49%	0.22%	0.50%	1.02%	0.68%	0.47%	0.38%	0.29%	0.00%	0.55%	0.90%	1.08%	0.60%	0.00%	2.68%	0.00%	0.50%	0.00%	0.00%	0.80%	0.71%	0.57%	0.46%	0.27%	0.00%	0.00%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
