Выборы Президента Российской Федерации																																			
Дата голосования: 18.03.2018																																			
																																			
Наименование Избирательной комиссии:    Александровская																																			
																																			
Сводная таблица итогов голосования																																			
																																			
	Число участковых избирательных комиссий	24																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	24																																	
																																			
		Сумма	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169									
1	"Число избирателей, включенных в список избирателей"	31869	1870	1573	1778	1108	1410	1628	1129	654	1589	1171	1582	1575	1306	275	2146	1629	843	1811	304	2036	1299	883	1410	860									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31000	1700	1500	1750	1000	1400	1550	1100	650	1550	1100	1500	1550	1250	270	2100	1600	810	1800	330	1950	1290	900	1450	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21988	1381	1197	1164	773	730	1063	851	410	1138	945	1216	1240	936	175	1277	1132	461	1206	288	1438	866	551	946	604									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5176	217	173	353	202	205	322	140	120	248	52	163	178	214	69	373	300	262	326	16	319	240	211	324	149									
6	Число погашенных избирательных бюллетеней	3836	102	130	233	25	465	165	109	120	164	103	121	132	100	26	450	168	87	268	26	193	184	138	180	147									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5176	217	173	353	202	205	322	140	120	248	52	163	178	214	69	373	300	262	326	16	319	240	211	324	149									
8	Число бюллетеней в стационарных ящиках для голосования	21988	1381	1197	1164	773	730	1063	851	410	1138	945	1216	1240	936	175	1277	1132	461	1206	288	1438	866	551	946	604									
9	Число недействительных избирательных бюллетеней	181	15	7	12	4	8	9	4	4	11	12	10	0	0	0	0	7	7	19	1	10	28	1	4	8									
10	Число действительных избирательных бюллетеней	26983	1583	1363	1505	971	927	1376	987	526	1375	985	1369	1418	1150	244	1650	1425	716	1513	303	1747	1078	761	1266	745									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
13	Бабурин Сергей Николаевич	108	5	4	8	2	4	4	9	2	2	10	8	3	5	0	3	4	9	6	0	7	5	1	7	0									
		0.40%	0.31%	0.29%	0.53%	0.21%	0.43%	0.29%	0.91%	0.38%	0.14%	1.00%	0.58%	0.21%	0.43%	0.00%	0.18%	0.28%	1.24%	0.39%	0.00%	0.40%	0.45%	0.13%	0.55%	0.00%									
14	Грудинин Павел Николаевич	2399	124	104	90	78	151	116	42	35	89	40	168	82	9	14	304	266	68	142	20	117	106	37	127	70									
		8.83%	7.76%	7.59%	5.93%	8.00%	16.15%	8.38%	4.24%	6.60%	6.42%	4.01%	12.18%	5.78%	0.78%	5.74%	18.42%	18.58%	9.41%	9.27%	6.58%	6.66%	9.58%	4.86%	10.00%	9.30%									
15	Жириновский Владимир Вольфович	899	22	23	41	12	65	31	38	22	23	30	60	39	51	8	62	74	41	52	16	89	22	17	32	29									
		3.31%	1.38%	1.68%	2.70%	1.23%	6.95%	2.24%	3.83%	4.15%	1.66%	3.01%	4.35%	2.75%	4.43%	3.28%	3.76%	5.17%	5.67%	3.39%	5.26%	5.07%	1.99%	2.23%	2.52%	3.85%									
16	Путин Владимир Владимирович	23226	1415	1220	1348	873	690	1222	880	453	1249	877	1113	1281	1070	218	1267	1068	578	1295	263	1503	930	697	1080	636									
		85.50%	88.55%	89.05%	88.86%	89.54%	73.80%	88.23%	88.80%	85.47%	90.12%	87.96%	80.71%	90.34%	93.04%	89.34%	76.79%	74.58%	79.94%	84.53%	86.51%	85.54%	84.09%	91.47%	85.04%	84.46%									
17	Собчак Ксения Анатольевна	99	6	2	6	2	8	0	5	0	1	3	5	4	4	3	2	4	6	6	2	7	3	5	7	8									
		0.36%	0.38%	0.15%	0.40%	0.21%	0.86%	0.00%	0.50%	0.00%	0.07%	0.30%	0.36%	0.28%	0.35%	1.23%	0.12%	0.28%	0.83%	0.39%	0.66%	0.40%	0.27%	0.66%	0.55%	1.06%									
18	Сурайкин Максим Александрович	120	4	4	6	4	6	3	5	5	2	7	6	2	10	0	6	3	10	8	0	12	5	3	7	2									
		0.44%	0.25%	0.29%	0.40%	0.41%	0.64%	0.22%	0.50%	0.94%	0.14%	0.70%	0.44%	0.14%	0.87%	0.00%	0.36%	0.21%	1.38%	0.52%	0.00%	0.68%	0.45%	0.39%	0.55%	0.27%									
19	Титов Борис Юрьевич	78	5	3	4	0	1	0	4	9	4	16	7	2	1	1	3	2	3	3	1	5	3	0	1	0									
		0.29%	0.31%	0.22%	0.26%	0.00%	0.11%	0.00%	0.40%	1.70%	0.29%	1.60%	0.51%	0.14%	0.09%	0.41%	0.18%	0.14%	0.41%	0.20%	0.33%	0.28%	0.27%	0.00%	0.08%	0.00%									
20	Явлинский Григорий Алексеевич	54	2	3	2	0	2	0	4	0	5	2	2	5	0	0	3	4	1	1	1	7	4	1	5	0									
		0.20%	0.13%	0.22%	0.13%	0.00%	0.21%	0.00%	0.40%	0.00%	0.36%	0.20%	0.15%	0.35%	0.00%	0.00%	0.18%	0.28%	0.14%	0.07%	0.33%	0.40%	0.36%	0.13%	0.39%	0.00%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
