Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Буденновская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272					
1	"Число избирателей, внесенных в список"	43511	2943	2680	2963	2605	2650	2962	1661	1408	2689	674	2536	2576	2676	2655	2663	3010	2092	2068					
2	Число полученных избирательных бюллетеней	43480	2900	2700	2900	2700	2700	2800	1600	1400	2600	550	2550	2500	2600	2800	2700	2900	2120	2460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24350	1522	1365	1469	1458	1332	1568	999	985	1493	293	1343	1374	1342	1425	1381	1830	1355	1816					
5	"Число избирательных бюллетеней, выданных вне помещения"	1784	114	107	140	84	108	137	83	123	60	174	98	147	55	51	20	42	8	233					
6	Число погашенных избирательных бюллетеней	17346	1264	1228	1291	1158	1260	1095	518	292	1047	83	1109	979	1203	1324	1299	1028	757	411					
7	Число избирательных бюллетеней в переносных ящиках	1784	114	107	140	84	108	137	83	123	60	174	98	147	55	51	20	42	8	233					
8	Число бюллетеней в стационарных ящиках для голосования	24345	1522	1365	1469	1458	1332	1568	999	984	1493	293	1343	1374	1342	1425	1381	1829	1355	1813					
9	Число недействительных избирательных бюллетеней	135	9	4	11	11	12	20	2	10	3	4	6	9	4	10	3	10	1	6					
10	Число действительных избирательных бюллетеней	25994	1627	1468	1598	1531	1428	1685	1080	1097	1550	463	1435	1512	1393	1466	1398	1861	1362	2040					
11	Число полученных открепительных  удостоверений	435	20	15	20	20	20	40	15	10	15	10	15	15	20	25	15	30	30	100					
12	Число выданных открепительных удостоверений	309	19	10	10	11	12	22	9	3	12	5	12	10	16	24	15	19	30	70					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	160	5	6	3	11	12	21	5	2	9	8	7	10	10	6	16	7	16	6					
14	Число неиспользованных открепительных удостоверений	126	1	5	10	9	8	18	6	7	3	5	3	5	4	1	0	11	0	30					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	2	0	0	0	5	0	0	0	0	1	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	932	76	40	41	60	58	67	22	27	66	14	69	69	60	67	76	67	48	5					
		3.57%	4.65%	2.72%	2.55%	3.89%	4.03%	3.93%	2.03%	2.44%	4.25%	3.00%	4.79%	4.54%	4.29%	4.54%	5.42%	3.58%	3.52%	0.24%					
19	. Малышкин Олег Александрович	697	51	32	45	41	34	29	27	21	47	12	43	43	43	58	37	66	34	34					
		2.67%	3.12%	2.17%	2.80%	2.66%	2.36%	1.70%	2.50%	1.90%	3.03%	2.57%	2.98%	2.83%	3.08%	3.93%	2.64%	3.53%	2.49%	1.66%					
20	. Миронов Сергей Михайлович	169	11	10	14	8	8	8	5	5	13	4	3	13	8	13	10	19	14	3					
		0.65%	0.67%	0.68%	0.87%	0.52%	0.56%	0.47%	0.46%	0.45%	0.84%	0.86%	0.21%	0.85%	0.57%	0.88%	0.71%	1.02%	1.03%	0.15%					
21	. Путин Владимир Владимирович	17495	1058	883	954	970	912	1060	747	768	963	334	884	925	939	948	898	1342	1024	1886					
		66.96%	64.67%	59.99%	59.29%	62.91%	63.33%	62.17%	69.04%	69.38%	62.01%	71.52%	61.35%	60.82%	67.22%	64.23%	64.10%	71.73%	75.13%	92.18%					
22	. Хакамада Ирина Муцуовна	621	34	33	31	36	26	51	25	22	41	4	36	40	35	46	60	42	37	22					
		2.38%	2.08%	2.24%	1.93%	2.33%	1.81%	2.99%	2.31%	1.99%	2.64%	0.86%	2.50%	2.63%	2.51%	3.12%	4.28%	2.24%	2.71%	1.08%					
23	. Харитонов Николай Михайлович	4831	332	392	452	359	334	392	230	216	327	83	336	354	223	225	221	213	117	25					
		18.49%	20.29%	26.63%	28.09%	23.28%	23.19%	22.99%	21.26%	19.51%	21.06%	17.77%	23.32%	23.27%	15.96%	15.24%	15.77%	11.38%	8.58%	1.22%					
																									
24	Против всех	1249	65	78	61	57	56	78	24	38	93	12	64	68	85	109	96	112	88	65					
		4.78%	3.97%	5.30%	3.79%	3.70%	3.89%	4.57%	2.22%	3.43%	5.99%	2.57%	4.44%	4.47%	6.08%	7.38%	6.85%	5.99%	6.46%	3.18%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
