Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Изобильненская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в список"	73080	1839	1174	2026	1820	1502	1410	2273	855	1973	1677	1902	1070	1136	1700	1533	1771	2135	1301	1890	1530	1952	1255	1530	1588	2364	1947	1161	928	339	2423	2749	614	1421	1929	266	600	1560	850	1445	454	1712	582	1877	212	187	923	747	1293	1502	1368	1751	291	331	412					
2	Число полученных избирательных бюллетеней	71200	1700	1000	2000	1800	1500	1350	2100	800	1900	1650	1800	1000	1100	1700	1500	1700	2200	1200	1800	1500	1900	1200	1500	1600	2200	1900	1100	900	500	2400	2800	600	1400	1850	250	800	1550	830	1400	420	1700	600	1830	200	170	900	700	1300	1500	1300	1610	270	320	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	41885	990	566	1199	1058	911	639	1503	488	1187	894	1131	563	623	980	811	1155	1136	754	1014	864	1133	806	866	915	1669	1458	790	566	323	1163	1325	324	742	1056	167	335	878	443	778	260	870	316	1135	125	106	607	448	840	700	841	866	159	160	249					
5	"Число избирательных бюллетеней, выданных вне помещения"	3286	81	223	64	43	62	180	39	44	56	89	78	39	21	68	61	30	24	26	28	14	35	14	42	48	49	23	38	36	16	124	145	52	54	50	22	24	33	47	41	25	70	51	55	9	7	55	105	110	237	121	128	64	49	37					
6	Число погашенных избирательных бюллетеней	26029	629	211	737	699	527	531	558	268	657	667	591	398	456	652	628	515	1040	420	758	622	732	380	592	637	482	419	272	298	161	1113	1330	224	604	744	61	441	639	340	581	135	760	233	640	66	57	238	147	350	563	338	616	47	111	114					
7	Число избирательных бюллетеней в переносных ящиках	3286	81	223	64	43	62	180	39	44	56	89	78	39	21	68	61	30	24	26	28	14	35	14	42	48	49	23	38	36	16	124	145	52	54	50	22	24	33	47	41	25	70	51	55	9	7	55	105	110	237	121	128	64	49	37					
8	Число бюллетеней в стационарных ящиках для голосования	41873	990	566	1199	1056	911	639	1503	488	1187	894	1131	563	623	980	811	1155	1136	754	1014	863	1133	805	866	915	1669	1458	790	566	323	1163	1325	324	742	1056	167	335	870	443	778	260	870	316	1135	125	106	607	448	840	700	841	866	159	160	249					
9	Число недействительных избирательных бюллетеней	302	4	3	10	6	4	5	8	2	3	7	9	5	3	5	6	9	3	6	9	3	7	5	6	10	5	5	9	7	3	9	14	7	4	8	1	1	8	4	3	4	12	3	8	0	1	4	7	10	8	8	5	0	2	4					
10	Число действительных избирательных бюллетеней	44857	1067	786	1253	1093	969	814	1534	530	1240	976	1200	597	641	1043	866	1176	1157	774	1033	874	1161	814	902	953	1713	1476	819	595	336	1278	1456	369	792	1098	188	358	895	486	816	281	928	364	1182	134	112	658	546	940	929	954	989	223	207	282					
