Выборы Президента Российской Федерации																																																												
Дата голосования: 02.03.2008																																																												
																																																												
Наименование Избирательной комиссии:    Изобильненская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
	Число участковых избирательных комиссий	53																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																										
																																																												
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, включенных в списки избирателей"	74774	1953	2088	1667	1455	2311	686	1161	1795	1779	1725	1121	1927	1129	1585	2193	1745	1708	1636	1625	1551	1927	1223	1757	1283	2493	2051	1106	950	643	2526	2652	784	1505	2019	264	785	2539	1552	468	1652	594	1924	207	192	1000	743	1343	1541	1238	1856	400	332	385					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	70500	1800	2000	1600	1400	2000	650	1000	1600	1700	1600	1000	1850	1000	1500	2000	1600	1600	1500	1500	1500	1800	1200	1700	1200	2400	2000	1000	900	600	2350	2550	750	1500	2000	250	700	2500	1500	400	1600	500	1900	200	150	1000	700	1300	1500	1150	1800	350	300	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	46767	1107	1284	1016	664	1531	419	664	1019	1129	964	752	1137	631	940	1332	995	863	1113	1041	984	1179	799	1110	809	1841	1518	775	692	413	1670	1493	392	951	1827	203	490	1447	933	293	951	364	1360	166	136	740	511	941	750	685	1004	267	192	280					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4366	68	90	71	243	51	38	34	60	35	56	104	99	45	52	40	37	96	21	34	39	29	29	35	29	73	52	85	64	36	155	185	132	113	133	27	83	103	76	55	184	64	106	6	10	82	97	160	334	156	169	73	65	53					
6	Число погашенных избирательных бюллетеней	19366	625	626	513	493	418	193	302	521	536	580	144	614	324	508	628	568	640	366	425	477	592	372	555	362	486	430	140	144	151	525	872	226	436	40	20	127	950	491	52	465	72	434	28	4	178	92	199	416	309	627	10	43	17					
