Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Кисловодская городская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
1	"Число избирателей, внесенных в список"	72163	2207	1648	1807	1867	1805	2245	2225	2101	2165	2105	1367	2330	1867	1891	2495	2280	1910	2230	1590	1973	1960	1694	1219	1459	1227	977	2025	1502	1685	2152	1609	1821	1504	1404	1615	1948	1781	1639	894	458	220	24	15	220	145	148	65	135	42	71	162	235					
2	Число полученных избирательных бюллетеней	72450	2100	1620	1780	1800	1840	2160	2010	2100	2230	2070	1385	2210	2010	2000	2400	2205	1850	2210	1660	2070	2080	1620	1120	1456	1210	1167	1930	1580	1800	2200	1690	2060	1472	1430	1710	1810	1965	1500	891	477	260	35	16	220	150	150	73	135	46	80	170	237					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38931	1125	1063	1179	1105	883	1109	1244	1069	1216	1276	797	1388	1009	908	1119	1262	1270	1265	768	1019	1110	870	583	746	558	507	959	805	883	1174	698	878	970	940	754	928	816	854	380	87	220	24	15	220	145	148	65	134	42	71	162	111					
5	"Число избирательных бюллетеней, выданных вне помещения"	5586	48	60	96	88	205	139	73	101	96	89	47	80	160	228	141	60	30	159	187	169	89	138	41	149	188	83	106	97	140	121	220	215	108	46	224	164	99	516	284	177	0	0	0	0	0	0	0	1	0	0	0	124					
6	Число погашенных избирательных бюллетеней	27933	927	497	505	607	752	912	693	930	918	705	541	742	841	864	1140	883	550	786	705	882	881	612	496	561	464	577	865	678	777	905	772	967	394	444	732	718	1050	130	227	213	40	11	1	0	5	2	8	0	4	9	8	2					
7	Число избирательных бюллетеней в переносных ящиках	5586	48	60	96	88	205	139	73	101	96	89	47	80	160	228	141	60	30	159	187	169	89	138	41	149	188	83	106	97	140	121	220	215	108	46	224	164	99	516	284	177	0	0	0	0	0	0	0	1	0	0	0	124					
8	Число бюллетеней в стационарных ящиках для голосования	38904	1125	1063	1179	1105	883	1109	1244	1069	1216	1276	797	1387	1009	908	1119	1261	1270	1264	768	1019	1110	867	583	746	558	507	959	805	883	1174	698	878	970	940	754	928	816	854	380	87	220	24	15	220	145	148	65	113	42	71	162	111					
9	Число недействительных избирательных бюллетеней	342	7	2	7	1	0	7	5	8	2	8	6	6	0	5	9	4	0	7	4	25	6	5	4	10	7	18	2	5	4	7	5	51	3	4	40	4	15	12	0	0	0	0	0	1	20	0	1	0	0	1	0	4					
10	Число действительных избирательных бюллетеней	44148	1166	1121	1268	1192	1088	1241	1312	1162	1310	1357	838	1461	1169	1131	1251	1317	1300	1416	951	1163	1193	1000	620	885	739	572	1063	897	1019	1288	913	1042	1075	982	938	1088	900	1358	664	264	220	24	15	219	125	148	64	114	42	70	162	231					
