Выборы Президента Российской Федерации																																																																											
Дата голосования: 02.03.2008																																																																											
																																																																											
Наименование Избирательной комиссии:    Минераловодская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
	Число участковых избирательных комиссий	68																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	68																																																																									
																																																																											
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №1299					
1	"Число избирателей, включенных в списки избирателей"	95939	910	1307	1797	1697	1407	1153	1995	2714	2487	1400	2196	2438	1622	1293	2284	2116	1741	1911	2295	2076	2385	2743	1519	1560	1656	1217	1650	1935	1288	514	2453	2073	2495	1549	941	2004	539	309	1101	706	1468	342	255	902	629	1814	952	1617	1739	2017	1327	2332	303	1659	1999	172	1303	1353	925	1241	1730	410	104	101	448	658	289	374					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	97700	850	1250	1750	1600	1350	1100	1950	2650	2400	1350	2150	2400	1650	1250	2200	2100	1750	1850	2200	2050	2300	2800	1500	1500	1550	1150	1600	1850	1250	500	2500	2100	2500	1550	950	2100	550	350	1050	650	1700	350	250	1100	800	2000	1000	1800	1800	2150	1350	2450	350	2050	2250	150	1450	1500	950	1450	1900	500	125	125	500	700	350	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	68074	552	675	824	658	775	780	1620	2303	1054	951	1865	1940	789	1170	1994	1825	1335	1670	1943	1701	993	2374	1208	643	1348	524	1323	1557	1006	446	1892	1545	1191	1162	800	1457	324	229	800	515	1174	214	231	563	541	1535	636	876	1030	1704	898	1726	229	1145	1507	118	945	1055	594	924	889	273	92	88	293	522	176	335					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5015	55	51	39	97	48	85	74	72	29	28	79	54	90	27	51	107	135	49	65	64	56	15	35	56	53	60	76	72	41	18	168	93	79	61	59	107	29	49	33	60	96	56	14	99	27	128	64	227	200	147	45	41	33	142	55	12	261	153	151	84	195	55	7	0	73	66	42	23					
6	Число погашенных избирательных бюллетеней	24611	243	524	887	845	527	235	256	275	1317	371	206	406	771	53	155	168	280	131	192	285	1251	411	257	801	149	566	201	221	203	36	440	462	1230	327	91	536	197	72	217	75	430	80	5	438	232	337	300	697	570	299	407	683	88	763	688	20	244	292	205	442	816	172	26	37	134	112	132	92					
