Выборы Президента Российской Федерации																																																										
Дата голосования: 02.03.2008																																																										
																																																										
Наименование Избирательной комиссии:    Новоалександровская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
	Число участковых избирательных комиссий	51																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	51																																																								
																																																										
		Сумма	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №1300	УИК №1301					
1	"Число избирателей, включенных в списки избирателей"	46997	1582	1165	2736	2591	2050	1495	2204	1624	1774	981	1501	139	277	533	147	983	867	639	195	98	330	1848	625	139	218	847	1202	1768	1612	186	189	400	93	187	183	177	180	2404	1222	173	1913	2007	829	362	254	998	323	191	956	1296	304					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	43487	1400	1050	2400	2300	1800	1350	1970	1450	1500	970	1300	140	270	500	145	980	800	600	195	100	300	1700	600	145	220	800	1100	1700	1500	182	195	400	95	180	180	170	180	2300	1200	170	1800	1800	840	350	250	1000	290	180	980	1160	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	29763	808	584	2013	1394	1190	1041	1306	1012	956	464	755	114	179	350	102	568	698	510	172	85	251	1116	373	91	196	502	583	971	997	159	159	300	93	158	177	136	164	1707	866	119	1507	1076	742	301	206	668	162	157	664	656	205					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2620	80	100	126	63	43	113	102	150	79	28	56	5	15	25	3	119	39	19	11	5	34	166	90	14	11	45	52	81	44	23	0	33	0	17	0	24	7	60	46	2	141	250	24	11	8	78	64	16	29	39	30					
6	Число погашенных избирательных бюллетеней	11104	512	366	261	843	567	196	562	288	465	478	489	21	76	125	40	293	63	71	12	10	15	418	137	40	13	253	465	648	459	0	36	67	2	5	3	10	9	533	288	49	152	474	74	38	36	254	64	7	287	465	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2620	80	100	126	63	43	113	102	150	79	28	56	5	15	25	3	119	39	19	11	5	34	166	90	14	11	45	52	81	44	23	0	33	0	17	0	24	7	60	46	2	141	250	24	11	8	78	64	16	29	39	30					
8	Число бюллетеней в стационарных ящиках для голосования	29763	808	584	2013	1394	1190	1041	1306	1012	956	464	755	114	179	350	102	568	698	510	172	85	251	1116	373	91	196	502	583	971	997	159	159	300	93	158	177	136	164	1707	866	119	1507	1076	742	301	206	668	162	157	664	656	205					
9	Число недействительных избирательных бюллетеней	300	7	4	29	11	16	28	8	11	9	3	7	0	0	4	3	44	4	4	1	0	2	6	3	0	0	3	4	12	10	1	1	2	0	1	1	0	0	7	5	1	12	9	3	5	0	7	0	0	5	6	1					
10	Число действительных избирательных бюллетеней	32083	881	680	2110	1446	1217	1126	1400	1151	1026	489	804	119	194	371	102	643	733	525	182	90	283	1276	460	105	207	544	631	1040	1031	181	158	331	93	174	176	160	171	1760	907	120	1636	1317	763	307	214	739	226	173	688	689	234					
11	Число полученных открепительных  удостоверений	420	10	10	20	18	15	13	15	16	20	12	5	3	5	5	3	20	7	5	3	2	2	23	7	5	7	5	5	10	10	2	3	2	2	2	2	2	2	13	41	12	4	6	7	2	4	12	5	2	6	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	294	10	7	12	16	15	12	13	12	11	5	2	0	0	5	1	15	6	1	1	0	2	23	5	4	5	3	3	3	8	1	0	0	0	0	1	1	2	13	31	7	2	6	4	2	3	12	0	0	5	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	153	8	7	4	6	20	6	4	3	3	3	4	0	1	6	2	2	1	3	1	1	0	4	2	3	3	1	3	6	13	0	1	2	1	1	1	1	0	9	0	4	2	2	2	1	1	2	0	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	126	0	3	8	2	0	1	2	4	9	7	3	3	5	0	2	5	1	4	2	2	0	0	2	1	2	2	2	7	2	1	3	2	2	2	1	1	0	0	10	5	2	0	3	0	1	0	5	2	1	1	3					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	6	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	Богданов Андрей Владимирович	233	9	9	10	10	13	12	9	7	5	8	5	0	3	2	0	3	3	1	1	0	1	11	3	2	2	6	6	18	8	0	0	2	2	1	0	1	0	11	11	3	7	7	4	1	1	5	4	0	1	4	1					
		0.72%	1.01%	1.32%	0.47%	0.69%	1.05%	1.04%	0.64%	0.60%	0.48%	1.63%	0.62%	0.00%	1.55%	0.53%	0.00%	0.44%	0.41%	0.19%	0.55%	0.00%	0.35%	0.86%	0.65%	1.90%	0.97%	1.10%	0.94%	1.71%	0.77%	0.00%	0.00%	0.60%	2.15%	0.57%	0.00%	0.63%	0.00%	0.62%	1.21%	2.48%	0.42%	0.53%	0.52%	0.32%	0.47%	0.67%	1.77%	0.00%	0.14%	0.58%	0.43%					
