Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Знаменская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63					
1	"Число избирателей, внесенных в список"	14760	492	458	387	698	228	1926	725	355	360	168	93	928	179	443	77	65	623	101	383	238	664	150	1548	1787	1684					
2	Число полученных избирательных бюллетеней	14622	491	453	387	697	234	1900	725	359	351	171	89	954	181	431	78	68	630	100	383	233	656	153	1522	1723	1653					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8992	305	238	216	459	96	1511	561	208	254	93	60	455	105	254	38	50	365	42	183	84	383	78	965	1004	985					
5	"Число избирательных бюллетеней, выданных вне помещения"	2611	122	139	115	105	91	50	136	113	68	67	27	264	61	149	33	15	158	56	142	122	152	62	83	147	134					
6	Число погашенных избирательных бюллетеней	3019	64	76	56	133	47	339	28	38	29	11	2	235	15	28	7	3	107	2	58	27	121	13	474	572	534					
7	Число избирательных бюллетеней в переносных ящиках	2610	122	139	115	105	91	50	136	113	68	66	27	264	61	149	33	15	158	56	142	122	152	62	83	147	134					
8	Число бюллетеней в стационарных ящиках для голосования	8989	305	238	216	459	96	1511	561	208	254	93	60	455	105	254	38	50	365	42	183	84	383	78	962	1004	985					
9	Число недействительных избирательных бюллетеней	121	8	0	3	4	0	13	6	3	4	0	0	8	0	4	0	2	4	0	7	0	5	14	11	9	16					
10	Число действительных избирательных бюллетеней	11478	419	377	328	560	187	1548	691	318	318	159	87	711	166	399	71	63	519	98	318	206	530	126	1034	1142	1103					
11	Число полученных открепительных  удостоверений	270	5	5	5	6	5	77	5	5	5	5	5	10	5	5	4	4	5	4	5	5	5	0	30	30	30					
12	Число выданных открепительных удостоверений	137	1	2	1	4	0	55	1	0	1	4	0	6	0	2	0	3	2	0	1	5	3	0	19	21	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	3	2	3	3	4	7	3	3	3	1	5	4	1	0	1	3	5	2	4	6	2	0	3	9	3					
14	Число неиспользованных открепительных удостоверений	133	4	3	4	2	5	22	4	5	4	1	5	4	5	3	4	1	3	4	4	0	2	0	11	9	24					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	288	12	7	7	7	2	43	6	8	6	3	1	11	9	10	0	4	7	0	8	4	12	1	29	36	55					
		2.48%	2.81%	1.86%	2.11%	1.24%	1.07%	2.75%	0.86%	2.49%	1.86%	1.89%	1.15%	1.53%	5.42%	2.48%	0.00%	6.15%	1.34%	0.00%	2.46%	1.94%	2.24%	0.71%	2.78%	3.13%	4.92%					
19	. Малышкин Олег Александрович	313	17	6	7	18	5	26	13	6	13	5	5	22	4	9	1	7	6	4	8	5	14	6	30	52	24					
		2.70%	3.98%	1.59%	2.11%	3.19%	2.67%	1.67%	1.87%	1.87%	4.04%	3.14%	5.75%	3.06%	2.41%	2.23%	1.41%	10.77%	1.15%	4.08%	2.46%	2.43%	2.62%	4.29%	2.87%	4.52%	2.14%					
20	. Миронов Сергей Михайлович	62	4	5	2	3	1	12	1	1	0	0	1	1	1	5	0	0	0	0	5	1	2	2	4	4	7					
		0.53%	0.94%	1.33%	0.60%	0.53%	0.53%	0.77%	0.14%	0.31%	0.00%	0.00%	1.15%	0.14%	0.60%	1.24%	0.00%	0.00%	0.00%	0.00%	1.54%	0.49%	0.37%	1.43%	0.38%	0.35%	0.63%					
21	. Путин Владимир Владимирович	7667	249	236	187	402	123	1169	572	225	209	93	56	538	100	195	48	42	313	50	227	128	399	93	644	702	667					
		66.10%	58.31%	62.60%	56.50%	71.28%	65.78%	74.89%	82.07%	70.09%	64.91%	58.49%	64.37%	74.83%	60.24%	48.39%	67.61%	64.62%	59.85%	51.02%	69.85%	62.14%	74.58%	66.43%	61.63%	60.99%	59.61%					
